702075,ANVIK,AK,-9,62.65,-160.183,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2005,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,0,A,7,-3,A,7,78,A,7,1001,E,9,100,A,7,2.1,A,7,16100,B,7,900,A,7,1.2,E,8,0.035,F,8,0.65,F,8,0,1,D,9,0,C,8,273
1/1/2005,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,0,A,7,-3,A,7,78,A,7,1001,E,9,90,A,7,1.5,A,7,16100,B,7,750,A,7,1.1,E,8,0.035,F,8,0.65,F,8,0,1,D,9,0,C,8,272.3398432
1/1/2005,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,-1,A,7,-3,A,7,85,A,7,1001,E,9,90,A,7,2.1,A,7,16100,B,7,960,A,7,1.1,E,8,0.035,F,8,0.65,F,8,0,1,D,9,0,C,8,271.677075
1/1/2005,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,A,7,-1,A,7,-3,A,7,85,A,7,1001,E,9,90,A,7,2.1,A,7,16100,B,7,1020,A,7,1,E,8,0.035,F,8,0.65,F,8,0,1,D,9,0,C,8,271.2024252
1/1/2005,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,9,B,8,-1.6,B,8,-3.6,B,8,85,A,7,1001,E,9,80,B,8,2.3,B,8,13400,C,8,690,B,8,1,E,8,0.035,F,8,0.65,F,8,0,1,D,9,0,C,8,270.7797969
1/1/2005,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-1.5,B,8,-3.4,B,8,85,A,7,1001,E,9,80,B,8,2.4,B,8,10700,C,8,360,B,8,0.9,E,8,0.035,F,8,0.65,F,8,0,1,D,9,0,C,8,270.4820264
1/1/2005,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,-2,A,7,-4,A,7,85,A,7,1001,E,9,70,A,7,2.6,A,7,8000,B,7,30,A,7,0.9,E,8,0.035,F,8,0.65,F,8,0,1,D,9,0,C,8,270.1984156
1/1/2005,8:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,-2,A,7,-5,A,7,78,A,7,1001,E,9,50,A,7,2.6,A,7,800,B,7,30,A,7,1,E,8,0.035,F,8,0.65,F,8,0,1,D,9,0,C,8,269.9629532
1/1/2005,9:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,-2,A,7,-4,A,7,85,A,7,1001,E,9,50,A,7,2.1,A,7,2800,B,7,30,A,7,1,E,8,0.035,F,8,0.65,F,8,0,1,D,9,0,C,8,269.8455681
1/1/2005,10:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,-2,A,7,-4,A,7,85,A,7,1001,E,9,80,A,7,2.1,A,7,16100,B,7,60,A,7,1.1,E,8,0.035,F,8,0.65,F,8,0,1,D,9,0,C,8,269.7880005
1/1/2005,11:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,A,7,-1,A,7,-3,A,7,85,A,7,1001,E,9,60,A,7,3.1,A,7,16100,B,7,77777,A,7,1.3,E,8,0.035,F,8,0.65,F,8,0,1,D,9,0,C,8,270.0882968
1/1/2005,12:00,21,1049,8,1,25,245,1,28,3,1,25,0,1,25,0,1,28,0,1,25,0,1,45,2,E,9,2,A,7,1,A,7,-2,A,7,79,A,7,1001,E,9,60,A,7,2.6,A,7,16100,B,7,77777,A,7,1.4,E,8,0.035,F,8,0.65,F,8,0,1,D,9,0,C,8,272.5185187
1/1/2005,13:00,81,1415,28,1,25,33,1,28,26,1,25,30,1,25,14,1,28,29,1,25,54,1,45,9,E,9,9,A,7,2,A,7,-1,A,7,80,A,7,1001,E,9,70,A,7,2.6,A,7,16100,B,7,990,A,7,1.5,E,8,0.035,F,8,0.65,F,8,0,1,D,9,0,C,8,273.7598616
1/1/2005,14:00,110,1415,56,1,25,0,1,28,56,1,25,59,1,25,0,1,28,59,1,25,122,1,45,9,E,9,9,A,7,2,A,7,-1,A,7,80,A,7,1001,E,9,80,A,7,2.6,A,7,16100,B,7,1110,A,7,1.5,E,8,0.035,F,8,0.65,F,8,0,1,D,9,0,C,8,273.54304
1/1/2005,15:00,100,1415,51,1,25,378,1,28,24,1,25,52,1,25,178,1,28,39,1,25,41,1,45,3,E,9,3,A,7,3,A,7,1,A,7,87,A,7,1001,E,9,90,A,7,3.1,A,7,16100,B,7,77777,A,7,1.5,E,8,0.035,F,8,0.65,F,8,7,1,D,9,0,C,8,274.5278311
1/1/2005,16:00,53,1415,22,1,25,40,1,28,20,1,25,0,1,25,0,1,28,0,1,25,0,1,45,9,E,9,9,A,7,4,A,7,0,A,7,75,A,7,1001,E,9,140,A,7,3.1,A,7,16100,B,7,1440,A,7,1.4,E,8,0.035,F,8,0.65,F,8,10,1,D,9,0,C,8,275.1007153
1/1/2005,17:00,2,342,0,1,25,0,1,28,0,1,25,0,1,25,0,1,28,0,1,25,0,1,45,10,E,9,10,A,7,4,A,7,1,A,7,81,A,7,1001,E,9,140,A,7,4.6,A,7,16100,B,7,720,A,7,1.4,E,8,0.035,F,8,0.65,F,8,12,1,D,9,0,C,8,275.3697607
1/1/2005,18:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,4,A,7,1,A,7,81,A,7,1001,E,9,160,A,7,6.7,A,7,16100,B,7,450,A,7,1.3,E,8,0.035,F,8,0.65,F,8,0,1,D,9,0,C,8,275.5135417
1/1/2005,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3,A,7,0,A,7,81,A,7,1001,E,9,180,A,7,4.6,A,7,14500,B,7,390,A,7,1.2,E,8,0.035,F,8,0.65,F,8,0,1,D,9,0,C,8,275.2664232
1/1/2005,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3,A,7,0,A,7,81,A,7,1001,E,9,180,A,7,6.7,A,7,16100,B,7,450,A,7,1.1,E,8,0.035,F,8,0.65,F,8,0,1,D,9,0,C,8,274.9556952
