702590,KENAI MUNICIPAL AP,AK,-9,60.583,-151.233,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2001,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,A,7,-1.7,A,7,-2.2,A,7,96,A,7,1000,A,7,0,A,7,0,A,7,16000,B,7,366,A,7,0.6,E,8,0.052,F,8,0.62,F,8,0,1,D,9,0,C,8,271.3
1/1/2001,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,9,B,8,-2.2,A,7,-2.8,A,7,95,A,7,1001,A,7,0,A,7,0,A,7,16000,B,7,488,A,7,0.7,E,8,0.052,F,8,0.62,F,8,0,1,D,9,0,C,8,270.5424137
1/1/2001,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-3.9,A,7,-3.9,A,7,100,A,7,1001,A,7,30,A,7,1.5,A,7,1200,B,7,30,A,7,0.7,E,8,0.052,F,8,0.62,F,8,0,1,D,9,45,C,8,269.5924998
1/1/2001,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,-3.9,A,7,-4.4,A,7,96,A,7,1001,A,7,0,A,7,0,A,7,16000,B,7,1128,A,7,0.7,E,8,0.052,F,8,0.62,F,8,0,1,D,9,45,C,8,268.7811959
1/1/2001,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,E,9,3,A,7,-5,A,7,-5.6,A,7,95,A,7,1001,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,0.7,E,8,0.052,F,8,0.62,F,8,0,1,D,9,0,C,8,268.0322717
1/1/2001,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,B,8,7,B,8,-6.1,A,7,-6.7,A,7,95,A,7,1001,A,7,0,A,7,0,A,7,1600,B,7,30,A,7,0.7,E,8,0.052,F,8,0.62,F,8,0,1,D,9,10,C,8,267.1165339
1/1/2001,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,-4.4,A,7,-5.6,A,7,90,A,7,1001,A,7,0,A,7,0,A,7,0,B,7,30,A,7,0.7,E,8,0.052,F,8,0.62,F,8,0,1,D,9,45,C,8,266.937732
1/1/2001,8:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,-4.4,A,7,-4.4,A,7,100,A,7,1001,A,7,0,A,7,0,A,7,400,B,7,30,A,7,0.7,E,8,0.052,F,8,0.62,F,8,0,1,D,9,0,C,8,267.162278
1/1/2001,9:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,-3.9,A,7,-4.4,A,7,96,A,7,1001,A,7,70,A,7,2.1,A,7,400,B,7,30,A,7,0.7,E,8,0.052,F,8,0.62,F,8,0,1,D,9,0,C,8,267.4327329
1/1/2001,10:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,-3.9,A,7,-3.9,A,7,100,A,7,1001,A,7,60,A,7,2.1,A,7,400,B,7,30,A,7,0.7,E,8,0.052,F,8,0.62,F,8,0,1,D,9,45,C,8,267.6561767
1/1/2001,11:00,25,1049,2,1,25,0,1,28,2,1,25,0,1,25,0,1,28,0,1,25,0,1,45,10,E,9,10,A,7,-4.4,A,7,-5,A,7,95,A,7,1001,A,7,40,A,7,1.5,A,7,400,B,7,30,A,7,0.7,E,8,0.052,F,8,0.62,F,8,0,1,D,9,49,C,8,267.5971128
1/1/2001,12:00,104,1415,44,1,25,316,1,28,21,1,25,45,1,25,154,1,28,34,1,25,37,1,45,2,E,9,2,A,7,-4.4,A,7,-5.6,A,7,90,A,7,1001,A,7,30,A,7,2.1,A,7,16000,B,7,77777,A,7,0.7,E,8,0.052,F,8,0.62,F,8,0,1,D,9,45,C,8,269.1477463
1/1/2001,13:00,152,1415,74,1,25,245,1,28,48,1,25,75,1,25,131,1,28,61,1,25,90,1,45,5,E,9,5,A,7,-3,A,7,-3,A,7,100,A,7,1000,A,7,40,A,7,2.6,A,7,16100,B,7,77777,A,7,0.7,E,8,0.052,F,8,0.62,F,8,0,1,D,9,10,C,8,270.4554079
1/1/2001,14:00,158,1415,79,1,25,476,1,28,26,1,25,80,1,25,307,1,28,45,1,25,48,1,45,0,E,9,0,A,7,-2.8,A,7,-3.3,A,7,96,A,7,1000,A,7,40,A,7,3.1,A,7,16000,B,7,77777,A,7,0.7,E,8,0.052,F,8,0.62,F,8,0,1,D,9,0,C,8,271.382895
