702607,HOONAH,AK,-9,58.083,-135.45,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,B,8,0,B,8,-6.7,B,8,-10,B,8,75,A,7,1012,E,9,320,B,8,3.1,B,8,16100,C,8,77777,B,8,0.5,E,8,0.046,F,8,0.55,F,8,0,1,D,9,0,C,8,266.3
1/1/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,B,8,0,B,8,-7.2,B,8,-10.3,B,8,76,A,7,1012,E,9,320,B,8,3.1,B,8,16100,C,8,77777,B,8,0.5,E,8,0.046,F,8,0.55,F,8,0,1,D,9,0,C,8,265.5235185
1/1/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,B,8,0,B,8,-7.2,B,8,-10.5,B,8,75,A,7,1012,E,9,320,B,8,3.1,B,8,16100,C,8,77777,B,8,0.5,E,8,0.046,F,8,0.55,F,8,0,1,D,9,0,C,8,265.0790296
1/1/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,B,8,0,B,8,-7.6,B,8,-11,B,8,74,A,7,1012,E,9,320,B,8,3.1,B,8,16100,C,8,77777,B,8,0.5,E,8,0.046,F,8,0.55,F,8,0,1,D,9,0,C,8,264.7278072
1/1/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,B,8,0,B,8,-8,B,8,-11.2,B,8,75,A,7,1012,E,9,320,B,8,3.1,B,8,16100,C,8,77777,B,8,0.5,E,8,0.046,F,8,0.55,F,8,0,1,D,9,0,C,8,264.3570357
1/1/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,0,A,7,-9,A,7,-12,A,7,77,A,7,1012,E,9,320,A,7,3.1,A,7,16100,B,7,77777,A,7,0.5,E,8,0.046,F,8,0.55,F,8,0,1,D,9,0,C,8,263.7632726
1/1/1998,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,B,8,3,B,8,-8.7,B,8,-11.7,B,8,77,A,7,1012,E,9,330,B,8,2.4,B,8,16100,C,8,15667,B,8,0.5,E,8,0.046,F,8,0.55,F,8,0,1,D,9,0,C,8,263.4002401
1/1/1998,8:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,B,8,6,B,8,-8.4,B,8,-11.3,B,8,77,A,7,1012,E,9,350,B,8,1.7,B,8,16100,C,8,9333,B,8,0.5,E,8,0.046,F,8,0.55,F,8,0,1,D,9,0,C,8,263.3580879
1/1/1998,9:00,1,224,0,2,14,0,2,35,0,2,14,0,2,14,0,2,35,0,2,14,0,2,40,10,E,9,9,A,7,-8,A,7,-11,A,7,77,A,7,1012,E,9,360,A,7,1,A,7,16100,B,7,3000,A,7,0.5,E,8,0.046,F,8,0.55,F,8,0,1,D,9,0,C,8,263.521055
1/1/1998,10:00,72,1415,25,2,14,271,2,35,11,2,14,27,2,14,151,2,35,19,2,14,25,2,40,10,B,8,7,B,8,-6.7,B,8,-9.4,B,8,79,A,7,1012,E,9,60,B,8,2.6,B,8,16100,C,8,12500,B,8,0.5,E,8,0.046,F,8,0.55,F,8,0,1,D,9,0,C,8,265.746153
