702730,ANCHORAGE INTL AP,AK,-9,61.183,-150,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1976,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-6.1,A,7,-7.2,A,7,92,A,7,1024,A,7,110,A,7,2.1,A,7,800,B,7,120,A,7,0.6,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,266.9
1/1/1976,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-6.7,A,7,-7.8,A,7,92,A,7,1024,A,7,50,A,7,2.6,A,7,1300,B,7,60,A,7,0.6,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,266.1148382
1/1/1976,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,A,7,-6.1,A,7,-7.2,A,7,92,A,7,1024,A,7,60,A,7,3.6,A,7,3200,B,7,77777,A,7,0.6,E,8,0,?,0,0,?,0,0,1,D,9,10,C,8,265.798227
1/1/1976,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-7.2,A,7,-8.3,A,7,92,A,7,1024,A,7,100,A,7,2.1,A,7,400,B,7,60,A,7,0.6,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,265.423132
1/1/1976,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-7.2,A,7,-8.3,A,7,92,A,7,1024,A,7,90,A,7,2.1,A,7,400,B,7,60,A,7,0.6,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,265.0248172
1/1/1976,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-7.8,A,7,-8.9,A,7,92,A,7,1023,A,7,100,A,7,2.1,A,7,600,B,7,60,A,7,0.6,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,264.642995
1/1/1976,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,A,7,5,A,7,-8.3,A,7,-10,A,7,88,A,7,1022,A,7,80,A,7,1.5,A,7,1300,B,7,77777,A,7,0.6,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,264.1939031
1/1/1976,8:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-7.8,A,7,-9.4,A,7,88,A,7,1022,A,7,80,A,7,2.1,A,7,8000,B,7,90,A,7,0.6,E,8,0,?,0,0,?,0,0,1,D,9,11,C,8,264.0147709
1/1/1976,9:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-8.9,A,7,-10.6,A,7,88,A,7,1022,A,7,90,A,7,2.6,A,7,800,B,7,90,A,7,0.6,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,263.6915115
1/1/1976,10:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,A,7,8,A,7,-9.4,A,7,-11.1,A,7,88,A,7,1022,A,7,100,A,7,2.1,A,7,400,B,7,77777,A,7,0.6,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,263.1861867
