702735,ANCHORAGE MERRILL FIELD,AK,-9,61.217,-149.85,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2001,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,9,A,7,1,A,7,-1,A,7,86,A,7,998,A,7,70,A,7,1.5,A,7,16100,B,7,3000,A,7,0.7,E,8,0.051,F,8,0.55,F,8,0,1,D,9,12,C,8,274
1/1/2001,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,9,A,7,-2,A,7,-3,A,7,92,A,7,999,A,7,0,A,7,0,A,7,16100,B,7,3000,A,7,0.7,E,8,0.051,F,8,0.55,F,8,0,1,D,9,0,C,8,272.3556761
1/1/2001,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,5,A,7,-2,A,7,-2,A,7,100,A,7,999,A,7,330,A,7,2.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.051,F,8,0.55,F,8,0,1,D,9,0,C,8,271.1140256
1/1/2001,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,E,9,2,A,7,-4,A,7,-5,A,7,92,A,7,999,A,7,120,A,7,2.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.051,F,8,0.55,F,8,0,1,D,9,0,C,8,269.8518938
1/1/2001,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,0,A,7,-4,A,7,-4,A,7,100,A,7,999,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.7,E,8,0.051,F,8,0.55,F,8,0,1,D,9,0,C,8,268.8764964
1/1/2001,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,0,A,7,-4,A,7,-4,A,7,100,A,7,999,A,7,20,A,7,1.5,A,7,16100,B,7,77777,A,7,0.7,E,8,0.051,F,8,0.55,F,8,0,1,D,9,0,C,8,268.3366373
1/1/2001,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,0,A,7,-6,A,7,-7,A,7,92,A,7,998,A,7,0,A,7,0,A,7,11300,B,7,77777,A,7,0.7,E,8,0.051,F,8,0.55,F,8,0,1,D,9,0,C,8,267.4753238
1/1/2001,8:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,0,A,7,-6,A,7,-7,A,7,92,A,7,998,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.7,E,8,0.051,F,8,0.55,F,8,0,1,D,9,0,C,8,266.6391768
1/1/2001,9:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,0,A,7,-7,A,7,-7,A,7,100,A,7,998,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.8,E,8,0.051,F,8,0.55,F,8,0,1,D,9,0,C,8,265.9687249
1/1/2001,10:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,E,9,2,A,7,-7,A,7,-8,A,7,92,A,7,998,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.7,E,8,0.051,F,8,0.55,F,8,0,1,D,9,0,C,8,265.414607
1/1/2001,11:00,23,1002,4,1,25,12,1,28,4,1,25,0,1,25,0,1,28,0,1,25,0,1,45,10,E,9,5,A,7,-8,A,7,-9,A,7,92,A,7,998,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.7,E,8,0.051,F,8,0.55,F,8,0,1,D,9,0,C,8,264.883938
1/1/2001,12:00,96,1415,52,1,25,46,1,28,49,1,25,57,1,25,28,1,28,55,1,25,92,1,45,10,E,9,5,A,7,-7,A,7,-8,A,7,92,A,7,998,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.7,E,8,0.051,F,8,0.55,F,8,0,1,D,9,10,C,8,264.7705835
1/1/2001,13:00,139,1415,50,1,25,32,1,28,46,1,25,54,1,25,21,1,28,52,1,25,102,1,45,10,E,9,9,A,7,-6,A,7,-6,A,7,100,A,7,998,A,7,0,A,7,0,A,7,4800,B,7,6000,A,7,0.7,E,8,0.051,F,8,0.55,F,8,0,1,D,9,0,C,8,265.1135097
1/1/2001,14:00,142,1415,58,1,25,333,1,28,25,1,25,60,1,25,189,1,28,41,1,25,45,1,45,1,E,9,0,A,7,-5,A,7,-6,A,7,92,A,7,997,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.7,E,8,0.051,F,8,0.55,F,8,0,1,D,9,0,C,8,266.5536041
1/1/2001,15:00,103,1415,35,1,25,78,1,28,29,1,25,36,1,25,30,1,28,34,1,25,54,1,45,10,E,9,5,A,7,-6,A,7,-7,A,7,92,A,7,997,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.7,E,8,0.051,F,8,0.55,F,8,0,1,D,9,0,C,8,266.641001
1/1/2001,16:00,30,1167,8,1,25,97,1,28,6,1,25,0,1,25,0,1,28,0,1,25,0,1,45,7,E,9,2,A,7,-6,A,7,-7,A,7,92,A,7,996,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.7,E,8,0.051,F,8,0.55,F,8,0,1,D,9,0,C,8,266.2781044
1/1/2001,17:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,E,9,3,A,7,-7,A,7,-8,A,7,92,A,7,996,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.7,E,8,0.051,F,8,0.55,F,8,0,1,D,9,0,C,8,265.8331887
1/1/2001,18:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,0,A,7,-7,A,7,-8,A,7,92,A,7,996,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.6,E,8,0.051,F,8,0.55,F,8,0,1,D,9,0,C,8,265.3378532
1/1/2001,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,0,A,7,-8,A,7,-9,A,7,92,A,7,995,A,7,0,A,7,0,A,7,11300,B,7,77777,A,7,0.6,E,8,0.051,F,8,0.55,F,8,0,1,D,9,0,C,8,264.7820949
1/1/2001,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,0,A,7,-8,A,7,-9,A,7,92,A,7,995,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.6,E,8,0.051,F,8,0.55,F,8,0,1,D,9,0,C,8,264.3176033
1/1/2001,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,0,A,7,-9,A,7,-10,A,7,92,A,7,995,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.6,E,8,0.051,F,8,0.55,F,8,0,1,D,9,0,C,8,263.7804506
1/1/2001,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,0,A,7,-9,A,7,-11,A,7,84,A,7,995,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.6,E,8,0.051,F,8,0.55,F,8,0,1,D,9,0,C,8,263.3246982
1/1/2001,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,E,9,3,A,7,-11,A,7,-12,A,7,91,A,7,995,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.6,E,8,0.051,F,8,0.55,F,8,0,1,D,9,0,C,8,262.5023703
1/1/2001,24:00:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,5,A,7,-10,A,7,-12,A,7,84,A,7,994,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.6,E,8,0.051,F,8,0.55,F,8,0,1,D,9,0,C,8,262.0115427
1/2/2001,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,9,A,7,-10,A,7,-11,A,7,91,A,7,994,A,7,140,A,7,1.5,A,7,16100,B,7,6000,A,7,0.6,E,8,0.052,F,8,0.55,F,8,0,1,D,9,0,C,8,261.9300995
1/2/2001,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,9,A,7,-10,A,7,-12,A,7,84,A,7,993,A,7,0,A,7,0,A,7,16100,B,7,6000,A,7,0.6,E,8,0.052,F,8,0.55,F,8,0,1,D,9,0,C,8,261.8894806
1/2/2001,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,-9,A,7,-12,A,7,77,A,7,993,A,7,0,A,7,0,A,7,16100,B,7,3600,A,7,0.6,E,8,0.052,F,8,0.55,F,8,0,1,D,9,0,C,8,262.1915696
