702740,PALMER MUNICIPAL,AK,-9,61.6,-149.083,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2001,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,0,A,7,-3,A,7,78,A,7,995,A,7,10,A,7,5.1,A,7,16100,B,7,3300,A,7,0.7,E,8,0.052,F,8,0.55,F,8,0,1,D,9,0,C,8,273
1/1/2001,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,E,9,2,A,7,-1,A,7,-4,A,7,78,A,7,995,A,7,360,A,7,5.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.052,F,8,0.55,F,8,0,1,D,9,0,C,8,271.9022485
1/1/2001,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,A,7,-1,A,7,-4,A,7,78,A,7,995,A,7,360,A,7,5.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.052,F,8,0.55,F,8,0,1,D,9,0,C,8,271.5065771
1/1/2001,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,A,7,-2,A,7,-5,A,7,78,A,7,995,A,7,360,A,7,4.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.052,F,8,0.55,F,8,0,1,D,9,0,C,8,270.8301643
1/1/2001,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,A,7,-3,A,7,-6,A,7,77,A,7,996,A,7,350,A,7,5.7,A,7,16100,B,7,77777,A,7,0.7,E,8,0.052,F,8,0.55,F,8,0,1,D,9,0,C,8,270.1544714
1/1/2001,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,A,7,-3,A,7,-6,A,7,77,A,7,995,A,7,350,A,7,4.6,A,7,16100,B,7,77777,A,7,0.7,E,8,0.052,F,8,0.55,F,8,0,1,D,9,0,C,8,269.728227
1/1/2001,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,E,9,3,A,7,-3,A,7,-7,A,7,71,A,7,995,A,7,350,A,7,5.7,A,7,16100,B,7,77777,A,7,0.8,E,8,0.052,F,8,0.55,F,8,0,1,D,9,0,C,8,269.8336216
1/1/2001,8:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,-3,A,7,-7,A,7,71,A,7,994,A,7,350,A,7,4.1,A,7,16100,B,7,3300,A,7,0.8,E,8,0.052,F,8,0.55,F,8,0,1,D,9,0,C,8,269.4323132
1/1/2001,9:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,A,7,-3,A,7,-7,A,7,71,A,7,994,A,7,350,A,7,4.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.052,F,8,0.55,F,8,0,1,D,9,0,C,8,269.0903443
1/1/2001,10:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,A,7,-4,A,7,-7,A,7,77,A,7,994,A,7,350,A,7,4.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.052,F,8,0.55,F,8,0,1,D,9,0,C,8,268.7326722
