702757,WHITTIER,AK,-9,60.767,-148.683,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1997,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,A,7,-6,A,7,-12,A,7,59,A,7,985,A,7,240,A,7,7.7,A,7,11300,B,7,77777,A,7,0.4,E,8,0.052,F,8,0.55,F,8,0,1,D,9,0,C,8,267
1/1/1997,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,A,7,-7,A,7,-15,A,7,49,A,7,985,A,7,230,A,7,7.7,A,7,11300,B,7,77777,A,7,0.4,E,8,0.052,F,8,0.55,F,8,0,1,D,9,0,C,8,264.2226371
1/1/1997,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,A,7,-6,A,7,-16,A,7,41,A,7,985,A,7,240,A,7,10.3,A,7,11300,B,7,77777,A,7,0.4,E,8,0.052,F,8,0.55,F,8,0,1,D,9,0,C,8,264.8628951
1/1/1997,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,A,7,-7,A,7,-17,A,7,41,A,7,985,A,7,210,A,7,10.3,A,7,11300,B,7,77777,A,7,0.4,E,8,0.052,F,8,0.55,F,8,0,1,D,9,0,C,8,267.5019067
1/1/1997,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,A,7,-7,A,7,-14,A,7,54,A,7,984,A,7,210,A,7,10.3,A,7,11300,B,7,77777,A,7,0.4,E,8,0.052,F,8,0.55,F,8,0,1,D,9,0,C,8,264.3641058
1/1/1997,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,A,7,-6,A,7,-15,A,7,45,A,7,984,A,7,210,A,7,10.3,A,7,11300,B,7,77777,A,7,0.4,E,8,0.052,F,8,0.55,F,8,0,1,D,9,0,C,8,264.9272927
1/1/1997,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,A,7,-6,A,7,-13,A,7,54,A,7,984,A,7,220,A,7,7.7,A,7,11300,B,7,77777,A,7,0.4,E,8,0.052,F,8,0.55,F,8,0,1,D,9,0,C,8,265.3813584
1/1/1997,8:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,A,7,-6,A,7,-13,A,7,54,A,7,984,A,7,210,A,7,10.3,A,7,11300,B,7,77777,A,7,0.4,E,8,0.052,F,8,0.55,F,8,0,1,D,9,0,C,8,269.2168802
1/1/1997,9:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,9,A,7,-6,A,7,-10,A,7,70,A,7,985,A,7,250,A,7,5.1,A,7,32200,B,7,2100,A,7,0.4,E,8,0.052,F,8,0.55,F,8,0,1,D,9,0,C,8,267.2544432
1/1/1997,10:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,9,A,7,-6,A,7,-11,A,7,64,A,7,985,A,7,220,A,7,5.1,A,7,32200,B,7,2100,A,7,0.4,E,8,0.052,F,8,0.55,F,8,0,1,D,9,0,C,8,266.1744425
