703080,ST PAUL ISLAND ARPT,AK,-9,57.167,-170.217,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1987,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-3.9,A,7,-7.2,A,7,78,A,7,988,A,7,350,A,7,9.3,A,7,11300,B,7,700,A,7,0.7,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,269.1
1/1/1987,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-3.9,A,7,-7.8,A,7,75,A,7,988,A,7,10,A,7,7.7,A,7,11300,B,7,700,A,7,0.7,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,270.514187
1/1/1987,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-4.4,A,7,-7.8,A,7,78,A,7,988,A,7,360,A,7,7.2,A,7,8000,B,7,550,A,7,0.7,E,8,0,?,0,0,?,0,0,1,D,9,85,C,8,268.8918291
1/1/1987,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-4.4,A,7,-8.9,A,7,72,A,7,989,A,7,350,A,7,7.7,A,7,8000,B,7,550,A,7,0.6,E,8,0,?,0,0,?,0,0,1,D,9,85,C,8,269.260098
1/1/1987,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-4.4,A,7,-8.9,A,7,72,A,7,989,A,7,350,A,7,8.2,A,7,8000,B,7,640,A,7,0.6,E,8,0,?,0,0,?,0,0,1,D,9,85,C,8,266.6706554
1/1/1987,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-4.4,A,7,-7.8,A,7,78,A,7,990,A,7,340,A,7,7.7,A,7,8000,B,7,700,A,7,0.7,E,8,0,?,0,0,?,0,0,1,D,9,85,C,8,267.0369161
1/1/1987,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-4.4,A,7,-8.3,A,7,75,A,7,990,A,7,330,A,7,9.3,A,7,8000,B,7,700,A,7,0.7,E,8,0,?,0,0,?,0,0,1,D,9,85,C,8,267.2092335
1/1/1987,8:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-3.9,A,7,-8.3,A,7,72,A,7,990,A,7,350,A,7,8.2,A,7,8000,B,7,880,A,7,0.7,E,8,0,?,0,0,?,0,0,1,D,9,85,C,8,267.4548064
1/1/1987,9:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-4.4,A,7,-8.3,A,7,75,A,7,991,A,7,320,A,7,7.2,A,7,9700,B,7,700,A,7,0.7,E,8,0,?,0,0,?,0,0,1,D,9,85,C,8,267.5058663
1/1/1987,10:00,0,0,11,1,13,0,1,9,11,1,13,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-4.4,A,7,-8.9,A,7,72,A,7,992,A,7,340,A,7,8.2,A,7,11300,B,7,700,A,7,0.7,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,267.3971074
