703330,PORT HEIDEN,AK,-9,56.95,-158.617,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2003,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-19,A,7,-21,A,7,83,A,7,982,B,8,40,A,7,11.8,A,7,16100,B,7,77777,A,7,0.3,E,8,0.049,F,8,0.21,F,8,0,1,D,9,0,C,8,254
1/1/2003,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-19,A,7,-21,A,7,83,A,7,982,B,8,50,A,7,12.9,A,7,16100,B,7,77777,A,7,0.3,E,8,0.049,F,8,0.21,F,8,0,1,D,9,0,C,8,252.3078214
1/1/2003,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-20,A,7,-22,A,7,82,A,7,982,A,7,50,A,7,11.8,A,7,16000,B,7,77777,A,7,0.3,E,8,0.049,F,8,0.21,F,8,0,1,D,9,0,C,8,253.7194551
1/1/2003,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-21,A,7,-22,A,7,91,A,7,982,B,8,50,A,7,9.8,A,7,16100,B,7,77777,A,7,0.4,E,8,0.049,F,8,0.21,F,8,0,1,D,9,0,C,8,249.3268977
1/1/2003,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-21,A,7,-23,A,7,82,A,7,982,B,8,30,A,7,9.8,A,7,16100,B,7,77777,A,7,0.4,E,8,0.049,F,8,0.21,F,8,0,1,D,9,0,C,8,250.1941891
1/1/2003,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-20,A,7,-21,A,7,91,A,7,981,B,8,50,A,7,8.2,A,7,16100,B,7,77777,A,7,0.5,E,8,0.049,F,8,0.21,F,8,0,1,D,9,0,C,8,250.9321202
1/1/2003,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-20,A,7,-22,A,7,82,A,7,981,B,8,50,A,7,9.3,A,7,16100,B,7,77777,A,7,0.6,E,8,0.049,F,8,0.21,F,8,0,1,D,9,0,C,8,251.4706261
1/1/2003,8:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-18,A,7,-20,A,7,83,A,7,981,B,8,40,A,7,9.3,A,7,16100,B,7,570,A,7,0.6,E,8,0.049,F,8,0.21,F,8,0,1,D,9,0,C,8,252.3971247
1/1/2003,9:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-18,A,7,-19,A,7,91,A,7,981,A,7,50,A,7,9.3,A,7,16000,B,7,630,A,7,0.7,E,8,0.049,F,8,0.21,F,8,0,1,D,9,0,C,8,253.2108839
1/1/2003,10:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-17,A,7,-18,A,7,91,A,7,980,B,8,50,A,7,8.2,A,7,6400,B,7,510,A,7,0.8,E,8,0.049,F,8,0.21,F,8,0,1,D,9,0,C,8,253.9234501
