703400,ILIAMNA ARPT,AK,-9,59.75,-154.917,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2003,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-20.6,A,7,-22.8,A,7,81,A,7,983,A,7,10,A,7,6.2,A,7,16000,B,7,77777,A,7,0.2,E,8,0.041,F,8,0.22,F,8,0,1,D,9,0,C,8,252.4
1/1/2003,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-20.6,A,7,-22.2,A,7,86,A,7,983,A,7,10,A,7,6.7,A,7,16000,B,7,77777,A,7,0.2,E,8,0.041,F,8,0.22,F,8,0,1,D,9,0,C,8,251.6249342
1/1/2003,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-20,A,7,-21.7,A,7,85,A,7,985,A,7,10,A,7,6.2,A,7,16000,B,7,77777,A,7,0.2,E,8,0.041,F,8,0.22,F,8,0,1,D,9,0,C,8,251.6942671
1/1/2003,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-19.4,A,7,-21.7,A,7,80,A,7,983,A,7,10,A,7,7.7,A,7,16000,B,7,77777,A,7,0.2,E,8,0.041,F,8,0.22,F,8,0,1,D,9,0,C,8,252.0298325
1/1/2003,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-19.4,A,7,-21.7,A,7,80,A,7,983,A,7,10,A,7,7.2,A,7,16000,B,7,77777,A,7,0.2,E,8,0.041,F,8,0.22,F,8,0,1,D,9,0,C,8,252.3055273
1/1/2003,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-19.4,A,7,-21.1,A,7,85,A,7,983,A,7,10,A,7,6.2,A,7,16000,B,7,1372,A,7,0.2,E,8,0.041,F,8,0.22,F,8,0,1,D,9,0,C,8,252.4409167
1/1/2003,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,A,7,-19.4,A,7,-21.1,A,7,85,A,7,983,A,7,10,A,7,5.7,A,7,16000,B,7,1372,A,7,0.2,E,8,0.041,F,8,0.22,F,8,0,1,D,9,0,C,8,252.5083729
1/1/2003,8:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-19.4,A,7,-21.7,A,7,80,A,7,983,A,7,20,A,7,6.2,A,7,16000,B,7,77777,A,7,0.2,E,8,0.041,F,8,0.22,F,8,0,1,D,9,0,C,8,252.5422558
1/1/2003,9:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,3,A,7,-19.4,A,7,-21.1,A,7,85,A,7,984,A,7,10,A,7,5.7,A,7,16000,B,7,77777,A,7,0.2,E,8,0.041,F,8,0.22,F,8,0,1,D,9,0,C,8,252.5593473
1/1/2003,10:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,5,A,7,-19.4,A,7,-21.1,A,7,85,A,7,983,A,7,10,A,7,6.2,A,7,16000,B,7,77777,A,7,0.2,E,8,0.041,F,8,0.22,F,8,0,1,D,9,0,C,8,252.5679877
