703606,TOGIAC VILLAGE AWOS,AK,-9,59.05,-160.4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2003,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,0,A,7,-22,A,7,-35,A,7,26,A,7,1012,E,9,10,A,7,5.1,A,7,16100,B,7,77777,A,7,0.2,E,8,0.043,F,8,0.21,F,8,0,1,D,9,0,C,8,251
1/1/2003,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,0,A,7,-24,A,7,-33.1,B,8,39,A,7,1012,E,9,30,A,7,3.1,A,7,16100,B,7,77777,A,7,0.2,E,8,0.043,F,8,0.21,F,8,0,1,D,9,0,C,8,249.831659
1/1/2003,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,0,A,7,-23,A,7,-32,A,7,40,A,7,1012,E,9,40,A,7,2.6,A,7,16100,B,7,77777,A,7,0.1,E,8,0.043,F,8,0.21,F,8,0,1,D,9,0,C,8,249.2432936
1/1/2003,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,0,A,7,-22,A,7,-28,A,7,55,A,7,1012,E,9,10,A,7,5.7,A,7,16100,B,7,77777,A,7,0.1,E,8,0.043,F,8,0.21,F,8,0,1,D,9,0,C,8,249.4440917
1/1/2003,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,0,A,7,-22,A,7,-29.3,B,8,48,A,7,1012,E,9,10,A,7,6.7,A,7,16100,B,7,77777,A,7,0.1,E,8,0.043,F,8,0.21,F,8,0,1,D,9,0,C,8,249.7279642
1/1/2003,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,0,A,7,-21,A,7,-31.2,B,8,36,A,7,1012,E,9,20,A,7,5.7,A,7,16100,B,7,77777,A,7,0.1,E,8,0.043,F,8,0.21,F,8,0,1,D,9,0,C,8,250.1883558
1/1/2003,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,0,A,7,-22,A,7,-34,A,7,29,A,7,1012,E,9,50,A,7,3.6,A,7,16100,B,7,77777,A,7,0.1,E,8,0.043,F,8,0.21,F,8,0,1,D,9,0,C,8,250.286958
1/1/2003,8:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,0,A,7,-22,A,7,-34,A,7,29,A,7,1012,E,9,30,A,7,4.1,A,7,16100,B,7,77777,A,7,0.1,E,8,0.043,F,8,0.21,F,8,0,1,D,9,0,C,8,250.1531808
1/1/2003,9:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,0,A,7,-23,A,7,-34,A,7,32,A,7,1012,E,9,350,A,7,2.6,A,7,16100,B,7,77777,A,7,0.1,E,8,0.043,F,8,0.21,F,8,0,1,D,9,0,C,8,249.7157677
1/1/2003,10:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,0,A,7,-23,A,7,-34,A,7,32,A,7,1012,E,9,350,A,7,5.1,A,7,16100,B,7,77777,A,7,0.1,E,8,0.043,F,8,0.21,F,8,0,1,D,9,0,C,8,249.3912531
