703855,KAKE SEAPLANE BASE,AK,-9,56.967,-133.95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2004,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,1,A,7,-6,A,7,56,A,7,1013,E,9,60,A,7,7.2,A,7,16100,B,7,77777,A,7,0.8,E,8,0.049,F,8,0.24,F,8,0,1,D,9,0,C,8,274
1/1/2004,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,A,7,1,A,7,-6,A,7,56,A,7,1013,E,9,40,A,7,4.1,A,7,16100,B,7,1500,A,7,0.8,E,8,0.049,F,8,0.24,F,8,0,1,D,9,0,C,8,273.1217084
1/1/2004,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,5,A,7,0,A,7,-7,A,7,55,A,7,1013,E,9,50,A,7,5.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.049,F,8,0.24,F,8,0,1,D,9,0,C,8,272.7141456
1/1/2004,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,1,A,7,-7,A,7,51,A,7,1013,E,9,20,A,7,2.6,A,7,16100,B,7,1500,A,7,0.8,E,8,0.049,F,8,0.24,F,8,0,1,D,9,0,C,8,272.642967
1/1/2004,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,1,A,7,-7,A,7,51,A,7,1013,E,9,20,A,7,3.1,A,7,16100,B,7,1500,A,7,0.8,E,8,0.049,F,8,0.24,F,8,0,1,D,9,0,C,8,272.6665282
1/1/2004,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-1,A,7,-8,A,7,55,A,7,1013,E,9,350,A,7,3.6,A,7,16100,B,7,77777,A,7,0.7,E,8,0.049,F,8,0.24,F,8,0,1,D,9,0,C,8,271.8929393
1/1/2004,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-1,A,7,-9,A,7,50,A,7,1013,E,9,360,A,7,3.6,A,7,16100,B,7,77777,A,7,0.7,E,8,0.049,F,8,0.24,F,8,0,1,D,9,0,C,8,271.3599411
1/1/2004,8:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-2,A,7,-8,A,7,60,A,7,1013,E,9,340,A,7,5.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.049,F,8,0.24,F,8,0,1,D,9,0,C,8,270.3986101
1/1/2004,9:00,9,554,0,2,14,0,2,35,0,2,14,0,2,14,0,2,35,0,2,14,0,2,40,0,E,9,0,A,7,-2,A,7,-9,A,7,55,A,7,1013,E,9,330,A,7,3.6,A,7,16100,B,7,77777,A,7,0.7,E,8,0.049,F,8,0.24,F,8,0,1,D,9,0,C,8,270.0649937
1/1/2004,10:00,104,1415,25,2,14,69,2,35,20,2,14,27,2,14,27,2,35,25,2,14,34,2,40,0,E,9,0,A,7,-2,A,7,-9,A,7,55,A,7,1013,E,9,360,A,7,3.6,A,7,16100,B,7,77777,A,7,0.7,E,8,0.049,F,8,0.24,F,8,0,1,D,9,0,C,8,270.2578829
1/1/2004,11:00,194,1415,101,2,14,292,2,35,60,2,14,101,2,14,180,2,35,76,2,14,112,2,40,0,E,9,0,A,7,-2,A,7,-9,A,7,55,A,7,1013,E,9,350,A,7,4.6,A,7,16100,B,7,77777,A,7,0.7,E,8,0.049,F,8,0.24,F,8,0,1,D,9,0,C,8,271.5048118
1/1/2004,12:00,241,1415,139,2,14,580,2,35,39,2,14,139,2,14,432,2,35,65,2,14,70,2,40,0,E,9,0,A,7,-1,A,7,-10,A,7,46,A,7,1013,E,9,350,A,7,5.7,A,7,16100,B,7,77777,A,7,0.6,E,8,0.049,F,8,0.24,F,8,0,1,D,9,0,C,8,273.0959216
