722039,FORT LAUDERDALE,FL,-5,26.2,-80.167,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1997,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,B,8,3,B,8,16,E,9,14,E,9,88,A,7,1013,E,9,0,B,8,0,B,8,24100,C,8,77777,B,8,2.9,E,8,0.072,F,8,0.15,F,8,0,1,D,9,0,C,8,289
1/1/1997,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,E,9,2,A,7,16,E,9,14,E,9,88,A,7,1013,E,9,0,A,7,0,A,7,24100,B,7,77777,A,7,2.9,E,8,0.072,F,8,0.15,F,8,0,1,D,9,0,C,8,288.1692506
1/1/1997,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,B,8,3,B,8,17,E,9,14,E,9,82,A,7,1013,E,9,0,B,8,0,B,8,21300,C,8,77777,B,8,2.9,E,8,0.072,F,8,0.15,F,8,0,1,D,9,10,C,8,288.1171426
1/1/1997,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,4,B,8,4,B,8,16,E,9,14,E,9,88,A,7,1013,E,9,0,B,8,0,B,8,18500,C,8,77777,B,8,2.9,E,8,0.072,F,8,0.15,F,8,0,1,D,9,10,C,8,287.9555412
1/1/1997,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,4,B,8,4,B,8,16,E,9,14,E,9,88,A,7,1013,E,9,0,B,8,0,B,8,15700,C,8,77777,B,8,2.9,E,8,0.072,F,8,0.15,F,8,0,1,D,9,10,C,8,287.6851893
1/1/1997,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,E,9,5,A,7,17,E,9,14,E,9,82,A,7,1013,E,9,0,A,7,0,A,7,12900,B,7,77777,A,7,2.9,E,8,0.072,F,8,0.15,F,8,0,1,D,9,10,C,8,287.8967849
1/1/1997,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,E,9,5,A,7,17,E,9,15,E,9,88,A,7,1013,E,9,0,A,7,0,A,7,12900,B,7,77777,A,7,2.9,E,8,0.072,F,8,0.15,F,8,0,1,D,9,10,C,8,288.1886968
1/1/1997,8:00,96,1191,34,1,24,172,1,27,20,1,24,36,1,24,91,1,27,28,1,24,37,1,43,2,E,9,2,A,7,18,E,9,16,E,9,88,A,7,1013,E,9,0,A,7,0,A,7,12900,B,7,77777,A,7,2.9,E,8,0.072,F,8,0.15,F,8,0,1,D,9,10,C,8,288.7139649
1/1/1997,9:00,365,1415,136,1,24,130,1,27,103,1,24,148,1,24,113,1,27,119,1,24,227,1,43,5,E,9,5,A,7,21,E,9,16,E,9,73,A,7,1013,E,9,0,A,7,0,A,7,12900,B,7,77777,A,7,2.9,E,8,0.072,F,8,0.15,F,8,0,1,D,9,10,C,8,290.1902371
1/1/1997,10:00,601,1415,240,1,24,191,1,27,159,1,24,264,1,24,191,1,27,182,1,24,378,1,43,5,E,9,5,A,7,24,E,9,16,E,9,61,A,7,1013,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,2.9,E,8,0.072,F,8,0.15,F,8,0,1,D,9,10,C,8,292.7179003
