722040,MELBOURNE REGIONAL AP,FL,-5,28.117,-80.65,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,13,A,7,12,A,7,94,A,7,1019,E,9,290,A,7,1.5,A,7,11300,B,7,77777,A,7,1.8,E,8,0.071,F,8,0.15,F,8,0,1,D,9,0,C,8,286
1/1/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,13,A,7,12,A,7,94,A,7,1019,E,9,280,A,7,1.5,A,7,11300,B,7,77777,A,7,1.8,E,8,0.071,F,8,0.15,F,8,0,1,D,9,0,C,8,285.2266661
1/1/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,13,A,7,12,A,7,94,A,7,1018,E,9,300,A,7,1.5,A,7,11300,B,7,77777,A,7,1.8,E,8,0.071,F,8,0.15,F,8,0,1,D,9,0,C,8,284.8450043
1/1/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,A,7,0,E,9,13,A,7,12,A,7,94,A,7,1018,E,9,320,A,7,1.5,A,7,11300,B,7,77777,A,7,1.8,E,8,0.071,F,8,0.15,F,8,0,1,D,9,0,C,8,284.6604527
1/1/1999,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,A,7,0,E,9,13,A,7,12,A,7,94,A,7,1018,E,9,310,A,7,1.5,A,7,11300,B,7,77777,A,7,1.8,E,8,0.071,F,8,0.15,F,8,0,1,D,9,0,C,8,284.5732319
1/1/1999,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,14,A,7,12,A,7,88,A,7,1018,E,9,290,A,7,1.5,A,7,11300,B,7,77777,A,7,1.8,E,8,0.071,F,8,0.15,F,8,0,1,D,9,0,C,8,284.8725144
1/1/1999,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,14,A,7,12,A,7,88,A,7,1018,E,9,0,A,7,0,A,7,11300,B,7,77777,A,7,1.7,E,8,0.071,F,8,0.15,F,8,0,1,D,9,0,C,8,285.2038861
1/1/1999,8:00,73,1049,14,2,8,242,2,15,3,2,8,23,2,8,150,2,15,12,2,8,12,2,19,3,E,9,3,E,9,14,A,7,13,A,7,94,A,7,1019,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,1.8,E,8,0.071,F,8,0.15,F,8,0,1,D,9,0,C,8,285.4564956
1/1/1999,9:00,331,1415,209,2,8,693,2,15,47,2,8,214,2,8,576,2,15,78,2,8,89,2,19,3,E,9,3,E,9,19,A,7,16,A,7,83,A,7,1019,E,9,360,A,7,2.6,A,7,16100,B,7,77777,A,7,1.9,E,8,0.071,F,8,0.15,F,8,0,1,D,9,0,C,8,288.5277066
1/1/1999,10:00,564,1415,385,2,8,803,2,15,64,2,8,405,2,8,765,2,15,99,2,8,135,2,19,3,E,9,3,E,9,20,A,7,16,A,7,78,A,7,1020,E,9,20,A,7,3.1,A,7,16100,B,7,77777,A,7,1.9,E,8,0.071,F,8,0.15,F,8,0,1,D,9,0,C,8,293.315958
