722055,OCALA MUNI (AWOS),FL,-5,29.167,-82.217,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,6.2,B,8,2.7,B,8,78,A,7,1010,E,9,0,B,8,0,B,8,16100,C,8,77777,B,8,1.6,E,8,0.071,F,8,0.14,F,8,0,1,D,9,0,C,8,279.2
1/1/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6,A,7,3,A,7,81,A,7,1010,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,1.6,E,8,0.071,F,8,0.14,F,8,0,1,D,9,0,C,8,278.4145152
1/1/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,5.8,B,8,2.8,B,8,81,A,7,1010,E,9,0,B,8,0,B,8,13966,C,8,77777,B,8,1.6,E,8,0.071,F,8,0.14,F,8,0,1,D,9,0,C,8,277.944106
1/1/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,B,8,0,B,8,5.8,B,8,2.7,B,8,80,A,7,1010,E,9,0,B,8,0,B,8,11833,C,8,77777,B,8,1.5,E,8,0.071,F,8,0.14,F,8,0,1,D,9,0,C,8,277.6701302
1/1/1999,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,0,A,7,6,A,7,3,A,7,81,A,7,1010,E,9,0,A,7,0,A,7,9700,B,7,77777,A,7,1.5,E,8,0.071,F,8,0.14,F,8,0,1,D,9,0,C,8,277.6007368
1/1/1999,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,5,A,7,3,A,7,87,A,7,1010,E,9,0,A,7,0,A,7,9700,B,7,77777,A,7,1.5,E,8,0.071,F,8,0.14,F,8,0,1,D,9,0,C,8,277.2927029
1/1/1999,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4,A,7,2,A,7,87,A,7,1010,E,9,0,A,7,0,A,7,11300,B,7,77777,A,7,1.5,E,8,0.071,F,8,0.14,F,8,0,1,D,9,0,C,8,276.5915488
1/1/1999,8:00,46,837,3,2,8,138,2,15,1,2,8,10,2,8,81,2,15,6,2,8,4,2,19,0,B,8,0,B,8,5.8,B,8,2.3,B,8,78,A,7,1010,E,9,10,B,8,0.5,B,8,12500,C,8,77777,B,8,1.6,E,8,0.071,F,8,0.14,F,8,0,1,D,9,0,C,8,276.7563111
1/1/1999,9:00,289,1415,179,2,8,609,2,15,53,2,8,183,2,8,470,2,15,86,2,8,96,2,19,1,B,8,0,B,8,9.4,B,8,4,B,8,69,A,7,1010,E,9,30,B,8,1.1,B,8,13700,C,8,77777,B,8,1.6,E,8,0.071,F,8,0.14,F,8,0,1,D,9,0,C,8,279.2060176
1/1/1999,10:00,525,1415,363,2,8,814,2,15,60,2,8,381,2,8,765,2,15,96,2,8,126,2,19,1,B,8,0,B,8,13.3,B,8,4.8,B,8,56,A,7,1010,E,9,40,B,8,1.6,B,8,14900,C,8,77777,B,8,1.7,E,8,0.071,F,8,0.14,F,8,0,1,D,9,0,C,8,284.5819442
