722080,CHARLESTON INTL ARPT,SC,-5,32.9,-80.033,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2000,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,A,7,10,E,9,7.2,A,7,7.2,A,7,100,A,7,1020,A,7,0,A,7,0,A,7,300,B,7,30,A,7,1.7,E,8,0,F,8,0,F,8,0,1,D,9,10,C,8,280.2
1/1/2000,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,0,E,9,6.7,A,7,6.7,A,7,100,A,7,1021,A,7,0,A,7,0,A,7,400,B,7,77777,A,7,1.7,E,8,0,F,8,0,F,8,0,1,D,9,41,C,8,279.3826037
1/1/2000,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,A,7,10,E,9,6.7,A,7,6.7,A,7,100,A,7,1021,A,7,0,A,7,0,A,7,400,B,7,30,A,7,1.7,E,8,0,F,8,0,F,8,0,1,D,9,44,C,8,278.836102
1/1/2000,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,6.7,A,7,6.7,A,7,100,A,7,1021,A,7,0,A,7,0,A,7,800,B,7,457,A,7,1.7,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,278.5582348
1/1/2000,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,A,7,10,E,9,6.1,A,7,6.1,A,7,100,A,7,1021,A,7,110,A,7,1.5,A,7,300,B,7,30,A,7,1.8,E,8,0,F,8,0,F,8,0,1,D,9,44,C,8,278.2355491
1/1/2000,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,A,7,10,E,9,6.1,A,7,6.1,E,9,100,A,7,1022,A,7,0,A,7,0,A,7,400,B,7,30,A,7,1.8,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,277.9633665
1/1/2000,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,E,9,6.7,A,7,6.7,A,7,100,A,7,1023,A,7,0,A,7,0,A,7,2000,B,7,77777,A,7,1.8,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,278.0266065
1/1/2000,8:00,44,837,3,2,8,116,2,15,1,2,8,9,2,8,67,2,15,5,2,8,4,2,19,10,E,9,10,E,9,8.3,A,7,8.3,A,7,100,A,7,1024,A,7,0,A,7,0,A,7,2400,B,7,2286,A,7,1.8,E,8,0,F,8,0,F,8,0,1,D,9,10,C,8,278.8376848
1/1/2000,9:00,273,1415,161,2,8,506,2,15,63,2,8,162,2,8,375,2,15,89,2,8,108,2,19,3,E,9,3,E,9,11.1,A,7,11.1,A,7,100,A,7,1024,A,7,0,A,7,0,A,7,2400,B,7,77777,A,7,1.8,E,8,0,F,8,0,F,8,0,1,D,9,10,C,8,280.9040018
1/1/2000,10:00,493,1415,321,2,8,696,2,15,78,2,8,335,2,8,642,2,15,111,2,8,151,2,19,10,E,9,10,E,9,14.4,A,7,13.3,A,7,93,A,7,1024,A,7,0,A,7,0,A,7,4800,B,7,1676,A,7,1.8,E,8,0,F,8,0,F,8,0,1,D,9,10,C,8,285.1960415
1/1/2000,11:00,659,1415,446,2,8,745,2,15,97,2,8,470,2,8,731,2,15,128,2,8,204,2,19,5,E,9,4,E,9,17.2,A,7,13.9,A,7,81,A,7,1024,A,7,150,A,7,1.5,A,7,4800,B,7,77777,A,7,1.9,E,8,0,F,8,0,F,8,0,1,D,9,10,C,8,290.6450656
1/1/2000,12:00,761,1415,520,2,8,725,2,15,129,2,8,546,2,8,721,2,15,157,2,8,284,2,19,10,E,9,10,E,9,20,A,7,13.3,A,7,65,A,7,1023,A,7,360,A,7,1.5,A,7,11200,B,7,3048,A,7,1.9,E,8,0,F,8,0,F,8,0,1,D,9,5,C,8,295.3507549
1/1/2000,13:00,790,1415,498,2,8,492,2,15,222,2,8,519,2,8,499,2,15,239,2,8,507,2,19,5,E,9,5,E,9,20,A,7,13.3,A,7,65,A,7,1022,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,1.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,296.1347669
1/1/2000,14:00,745,1415,250,2,8,42,2,15,228,2,8,275,2,8,42,2,15,253,2,8,695,2,19,8,E,9,8,E,9,20.6,A,7,13.3,A,7,63,A,7,1022,A,7,190,A,7,2.6,A,7,16000,B,7,1097,A,7,1.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,293.1014074
1/1/2000,15:00,629,1415,201,2,8,35,2,15,185,2,8,220,2,8,34,2,15,205,2,8,534,2,19,8,E,9,8,E,9,20.6,A,7,13.9,A,7,65,A,7,1022,A,7,150,A,7,3.1,A,7,16000,B,7,3353,A,7,1.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,291.8253608
