722110,TAMPA INTERNATIONAL AP,FL,-5,27.967,-82.533,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1996,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,19.4,A,7,19.4,A,7,100,A,7,1010,A,7,180,A,7,3.6,A,7,8000,B,7,61,A,7,4.3,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,292.4
1/1/1996,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,19.4,A,7,19.4,A,7,100,A,7,1009,A,7,200,A,7,1.5,A,7,11200,B,7,183,A,7,4.3,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,291.5776998
1/1/1996,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,21.1,A,7,20.6,A,7,97,A,7,1008,A,7,170,A,7,2.6,A,7,11200,B,7,122,A,7,4.3,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,291.7320155
1/1/1996,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,21.1,A,7,20.6,A,7,97,A,7,1008,A,7,180,A,7,3.1,A,7,16000,B,7,610,A,7,4.4,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,292.1354681
1/1/1996,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,18.9,A,7,18.9,A,7,100,A,7,1007,A,7,190,A,7,4.1,A,7,2000,B,7,30,A,7,4.4,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,291.5082103
1/1/1996,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,19.4,A,7,19.4,A,7,100,A,7,1007,A,7,190,A,7,3.6,A,7,1600,B,7,30,A,7,4.4,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,291.0322797
1/1/1996,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,18.9,A,7,18.9,A,7,100,A,7,1008,A,7,200,A,7,4.6,A,7,6400,B,7,30,A,7,4.4,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,290.7366301
1/1/1996,8:00,51,884,6,1,10,0,1,16,6,1,10,7,1,10,0,1,16,7,1,10,24,1,21,10,E,9,10,E,9,18.9,A,7,18.3,A,7,96,A,7,1008,A,7,190,A,7,4.1,A,7,3200,B,7,91,A,7,4.3,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,290.4789519
1/1/1996,9:00,301,1415,36,1,10,0,1,16,36,1,10,43,1,10,0,1,16,43,1,10,146,1,21,10,E,9,10,E,9,20,A,7,20,A,7,100,A,7,1008,A,7,180,A,7,8.8,A,7,400,B,7,335,A,7,4.3,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,290.6183754
1/1/1996,10:00,540,1415,93,1,11,0,1,16,93,1,11,109,1,11,0,1,16,109,1,11,392,1,22,10,B,8,10,B,8,18.9,A,7,18.3,A,7,96,A,7,1009,A,7,250,A,7,3.1,A,7,1600,B,7,701,A,7,4.2,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,290.2558416
1/1/1996,11:00,725,1415,97,1,24,0,1,27,97,1,24,117,1,24,0,1,27,117,1,24,456,1,43,10,E,9,10,A,7,19.4,A,7,19.4,A,7,100,A,7,1008,A,7,200,A,7,3.6,A,7,1600,B,7,61,A,7,4.2,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,289.9188572
1/1/1996,12:00,844,1415,118,1,10,0,1,16,118,1,10,143,1,10,0,1,16,143,1,10,572,1,21,10,E,9,10,E,9,20,A,7,19.4,A,7,96,A,7,1008,A,7,170,A,7,4.1,A,7,3200,B,7,61,A,7,4.1,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,290.0083326
1/1/1996,13:00,888,1415,180,1,24,0,1,27,180,1,24,213,1,24,0,1,27,213,1,24,830,1,43,10,E,9,10,A,7,19.4,A,7,19.4,A,7,100,A,7,1007,A,7,180,A,7,4.1,A,7,3200,B,7,2134,A,7,4.1,E,8,0,F,8,0,F,8,0,1,D,9,61,C,8,289.6937198
1/1/1996,14:00,853,1415,119,1,24,0,1,27,119,1,24,144,1,24,0,1,27,144,1,24,579,1,43,10,E,9,10,A,7,18.9,A,7,18.9,A,7,100,A,7,1006,A,7,180,A,7,5.2,A,7,2400,B,7,91,A,7,4,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,289.3502118
1/1/1996,15:00,743,1415,100,1,10,0,1,16,100,1,10,121,1,10,0,1,16,121,1,10,473,1,21,10,E,9,10,E,9,18.3,A,7,18.3,A,7,100,A,7,1006,A,7,180,A,7,4.6,A,7,800,B,7,30,A,7,4,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,289.0731742
1/1/1996,16:00,565,1415,99,1,10,0,1,16,99,1,10,116,1,10,0,1,16,116,1,10,421,1,21,10,E,9,10,E,9,20.6,A,7,20,A,7,96,A,7,1005,A,7,160,A,7,4.1,A,7,1200,B,7,549,A,7,3.9,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,289.7179435
1/1/1996,17:00,331,1415,48,1,24,0,1,27,48,1,24,56,1,24,0,1,27,56,1,24,192,1,43,10,E,9,10,A,7,20,A,7,20,A,7,100,A,7,1006,A,7,170,A,7,3.1,A,7,2400,B,7,518,A,7,3.9,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,290.414083
1/1/1996,18:00,73,1049,10,1,24,0,1,27,10,1,24,12,1,24,0,1,27,12,1,24,39,1,43,10,E,9,10,A,7,20.6,A,7,20,A,7,96,A,7,1006,A,7,180,A,7,3.6,A,7,6400,B,7,213,A,7,3.9,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,291.0345592
1/1/1996,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,20.6,A,7,20.6,A,7,100,A,7,1006,A,7,0,A,7,0,A,7,6400,B,7,152,A,7,3.8,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,291.5338457
1/1/1996,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,20,A,7,19.4,A,7,96,A,7,1007,A,7,180,A,7,4.1,A,7,8000,B,7,792,A,7,3.8,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,291.567633
1/1/1996,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,20,A,7,19.4,A,7,96,A,7,1006,A,7,160,A,7,3.6,A,7,4000,B,7,549,A,7,3.7,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,291.4646639
1/1/1996,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,19.4,A,7,18.9,A,7,97,A,7,1007,A,7,160,A,7,4.6,A,7,8000,B,7,366,A,7,3.7,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,291.2190828
1/1/1996,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,20,A,7,19.4,A,7,96,A,7,1006,A,7,180,A,7,3.1,A,7,11200,B,7,244,A,7,3.6,E,8,0,F,8,0,F,8,0,1,D,9,61,C,8,291.1884527
1/1/1996,24:00:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,20,A,7,19.4,A,7,96,A,7,1006,A,7,180,A,7,3.1,A,7,6400,B,7,183,A,7,3.6,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,291.2919683
1/2/1996,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,18.9,A,7,18.3,A,7,96,A,7,1006,A,7,240,A,7,6.7,A,7,4800,B,7,975,A,7,3.5,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,292.1963349
1/2/1996,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,18.9,A,7,17.8,A,7,93,A,7,1006,A,7,180,A,7,1.5,A,7,6400,B,7,1494,A,7,3.5,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,290.8848125
1/2/1996,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,19.4,A,7,18.9,A,7,97,A,7,1006,A,7,0,A,7,0,A,7,11200,B,7,457,A,7,3.4,E,8,0,F,8,0,F,8,0,1,D,9,61,C,8,290.7356219
1/2/1996,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,20.6,A,7,20,A,7,96,A,7,1005,A,7,180,A,7,4.1,A,7,16000,B,7,884,A,7,3.4,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,291.1830579
1/2/1996,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,20.6,A,7,20.6,A,7,100,A,7,1005,A,7,190,A,7,5.2,A,7,4800,B,7,213,A,7,3.3,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,291.6185618
1/2/1996,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,19.4,A,7,19.4,A,7,100,A,7,1006,A,7,190,A,7,3.6,A,7,1600,B,7,610,A,7,3.3,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,291.4099845
1/2/1996,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,E,9,2,A,7,19.4,A,7,18.9,A,7,97,A,7,1006,A,7,190,A,7,6.2,A,7,11200,B,7,77777,A,7,3.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,291.0779678
1/2/1996,8:00,50,861,9,1,24,11,1,27,8,1,24,10,1,24,5,1,27,10,1,24,16,1,43,10,E,9,9,A,7,18.9,A,7,18.3,A,7,96,A,7,1007,A,7,190,A,7,3.6,A,7,8000,B,7,488,A,7,3.2,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,290.7379489
1/2/1996,9:00,300,1415,37,1,24,0,1,27,37,1,24,44,1,24,0,1,27,44,1,24,149,1,43,10,E,9,10,A,7,21.1,A,7,20.6,A,7,97,A,7,1008,A,7,190,A,7,5.2,A,7,3200,B,7,152,A,7,3.3,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,291.1236775
1/2/1996,10:00,540,1415,91,1,10,0,1,16,91,1,10,107,1,10,0,1,16,107,1,10,385,1,21,10,E,9,10,E,9,21.1,A,7,20.6,A,7,97,A,7,1008,A,7,190,A,7,6.7,A,7,3200,B,7,213,A,7,3.3,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,291.4776745
1/2/1996,11:00,726,1415,305,1,10,172,1,16,216,1,10,333,1,10,177,1,16,241,1,10,543,1,21,8,E,9,8,E,9,22.2,A,7,20.6,A,7,91,A,7,1008,A,7,190,A,7,6.7,A,7,11200,B,7,366,A,7,3.3,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,292.2860593
1/2/1996,12:00,845,1415,369,1,11,112,1,16,302,1,11,405,1,11,114,1,16,337,1,11,943,1,22,9,B,8,9,B,8,22.8,A,7,21.1,A,7,90,A,7,1008,A,7,190,A,7,6.7,A,7,11200,B,7,3048,A,7,3.3,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,292.8657944
1/2/1996,13:00,889,1415,194,1,10,0,1,16,194,1,10,228,1,10,0,1,16,228,1,10,881,1,21,10,E,9,10,E,9,22.8,A,7,20.6,A,7,87,A,7,1007,A,7,190,A,7,6.7,A,7,16000,B,7,518,A,7,3.3,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,292.7014219
1/2/1996,14:00,856,1415,185,1,24,0,1,27,185,1,24,217,1,24,0,1,27,217,1,24,834,1,43,10,E,9,10,A,7,22.8,A,7,21.1,A,7,90,A,7,1006,A,7,190,A,7,6.7,A,7,11200,B,7,457,A,7,3.3,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,292.4801066
1/2/1996,15:00,746,1415,159,1,24,0,1,27,159,1,24,185,1,24,0,1,27,185,1,24,693,1,43,10,E,9,10,A,7,22.8,A,7,21.1,A,7,90,A,7,1006,A,7,200,A,7,5.7,A,7,11200,B,7,457,A,7,3.3,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,292.4956693
1/2/1996,16:00,568,1415,97,1,10,0,1,16,97,1,10,114,1,10,0,1,16,114,1,10,415,1,21,10,E,9,10,E,9,22.8,A,7,21.1,A,7,90,A,7,1006,A,7,200,A,7,6.2,A,7,11200,B,7,396,A,7,3.3,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,292.7683009
1/2/1996,17:00,335,1415,61,1,10,0,1,16,61,1,10,70,1,10,0,1,16,70,1,10,233,1,21,10,E,9,10,E,9,21.7,A,7,20.6,A,7,93,A,7,1006,A,7,190,A,7,4.6,A,7,11200,B,7,457,A,7,3.3,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,292.732653
1/2/1996,18:00,75,1073,8,1,10,0,1,16,8,1,10,10,1,10,0,1,16,10,1,10,32,1,21,10,E,9,10,E,9,21.1,A,7,20.6,A,7,97,A,7,1006,A,7,190,A,7,4.6,A,7,8000,B,7,213,A,7,3.4,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,292.5470861
1/2/1996,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,21.1,A,7,20.6,A,7,97,A,7,1007,A,7,210,A,7,4.1,A,7,1200,B,7,701,A,7,3.4,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,292.4820739
1/2/1996,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,20,A,7,19.4,A,7,96,A,7,1007,A,7,200,A,7,4.6,A,7,16000,B,7,1829,A,7,3.4,E,8,0,F,8,0,F,8,0,1,D,9,61,C,8,292.1099317
1/2/1996,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,18.9,A,7,18.3,A,7,96,A,7,1008,A,7,260,A,7,4.1,A,7,8000,B,7,457,A,7,3.4,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,291.4735604
1/2/1996,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,20.6,A,7,19.4,A,7,93,A,7,1008,A,7,280,A,7,2.6,A,7,11200,B,7,518,A,7,3.4,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,291.4165324
1/2/1996,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,9,B,8,19.4,A,7,18.9,A,7,97,A,7,1007,A,7,0,A,7,0,A,7,5600,B,7,2438,A,7,3.4,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,291.3154515
1/2/1996,24:00:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,9,E,9,19.4,A,7,18.3,A,7,93,A,7,1007,A,7,0,A,7,0,A,7,6400,B,7,1189,A,7,3.4,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,291.0330806
1/3/1996,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,18.9,A,7,18.3,A,7,96,A,7,1008,A,7,0,A,7,0,A,7,6400,B,7,1128,A,7,3.4,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,290.7370278
1/3/1996,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,18.9,A,7,17.2,A,7,90,A,7,1008,A,7,290,A,7,3.1,A,7,8000,B,7,1311,A,7,3.4,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,290.5007483
1/3/1996,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,E,9,18.3,A,7,17.2,A,7,93,A,7,1008,A,7,300,A,7,2.6,A,7,11200,B,7,3048,A,7,3.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,290.1946093
1/3/1996,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,E,9,8,E,9,17.8,A,7,16.7,A,7,93,A,7,1008,A,7,330,A,7,4.1,A,7,11200,B,7,914,A,7,3.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,289.7741168
1/3/1996,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,16.7,A,7,15,A,7,90,A,7,1007,A,7,360,A,7,3.6,A,7,11200,B,7,549,A,7,3.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,289.3328014
1/3/1996,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,16.1,A,7,13.9,A,7,87,A,7,1008,A,7,340,A,7,3.1,A,7,11200,B,7,762,A,7,3.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,288.6376259
1/3/1996,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,E,9,15,A,7,13.3,A,7,90,A,7,1008,A,7,360,A,7,1.5,A,7,16000,B,7,77777,A,7,3.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,287.6454369
1/3/1996,8:00,50,861,15,1,10,21,1,16,13,1,10,16,1,10,9,1,16,16,1,10,27,1,21,8,E,9,8,E,9,15,A,7,13.3,A,7,90,A,7,1009,A,7,310,A,7,2.1,A,7,11200,B,7,2134,A,7,3.4,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,287.0063882
1/3/1996,9:00,299,1415,117,1,10,160,1,16,83,1,10,123,1,10,124,1,16,97,1,10,161,1,21,8,E,9,8,E,9,16.1,A,7,13.9,A,7,87,A,7,1010,A,7,310,A,7,4.6,A,7,16000,B,7,3353,A,7,3.3,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,287.0475946
1/3/1996,10:00,539,1415,112,1,24,0,1,27,112,1,24,129,1,24,0,1,27,129,1,24,454,1,43,10,E,9,10,A,7,16.1,A,7,12.8,A,7,81,A,7,1011,A,7,310,A,7,4.1,A,7,16000,B,7,792,A,7,3.3,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,286.9480676
1/3/1996,11:00,726,1415,157,1,24,0,1,27,157,1,24,183,1,24,0,1,27,183,1,24,677,1,43,10,E,9,10,A,7,17.2,A,7,13.3,A,7,78,A,7,1010,A,7,320,A,7,4.1,A,7,16000,B,7,1372,A,7,3.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,286.8940815
1/3/1996,12:00,846,1415,357,1,24,133,1,27,277,1,24,389,1,24,139,1,27,305,1,24,748,1,43,9,E,9,9,A,7,18.3,A,7,11.7,A,7,65,A,7,1009,A,7,270,A,7,4.6,A,7,16000,B,7,1829,A,7,3.1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,287.7660518
1/3/1996,13:00,891,1415,197,1,24,0,1,27,197,1,24,231,1,24,0,1,27,231,1,24,893,1,43,10,E,9,10,A,7,16.7,A,7,11.7,A,7,72,A,7,1009,A,7,290,A,7,5.2,A,7,16000,B,7,1189,A,7,3,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,287.526904
1/3/1996,14:00,858,1415,189,1,10,0,1,16,189,1,10,222,1,10,0,1,16,222,1,10,849,1,21,10,E,9,10,E,9,15,A,7,12.2,A,7,83,A,7,1009,A,7,330,A,7,3.6,A,7,16000,B,7,1372,A,7,3,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,286.2228128
1/3/1996,15:00,749,1415,163,1,24,0,1,27,163,1,24,190,1,24,0,1,27,190,1,24,708,1,43,10,E,9,10,A,7,13.3,A,7,12.2,A,7,93,A,7,1010,A,7,340,A,7,5.7,A,7,3200,B,7,457,A,7,2.9,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,284.8333957
1/3/1996,16:00,571,1415,120,1,24,0,1,27,120,1,24,138,1,24,0,1,27,138,1,24,491,1,43,10,E,9,10,A,7,12.2,A,7,11.1,A,7,93,A,7,1011,A,7,350,A,7,4.6,A,7,3200,B,7,914,A,7,2.8,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,283.693355
1/3/1996,17:00,338,1415,54,1,24,0,1,27,54,1,24,63,1,24,0,1,27,63,1,24,212,1,43,10,E,9,10,A,7,12.2,A,7,11.1,A,7,93,A,7,1012,A,7,320,A,7,3.1,A,7,3200,B,7,335,A,7,2.7,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,283.2669052
1/3/1996,18:00,78,1073,11,1,24,0,1,27,11,1,24,13,1,24,0,1,27,13,1,24,42,1,43,10,E,9,10,A,7,11.1,A,7,10,A,7,93,A,7,1014,A,7,340,A,7,6.7,A,7,3200,B,7,427,A,7,2.7,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,282.9918548
1/3/1996,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,11.1,A,7,10,A,7,93,A,7,1014,A,7,350,A,7,3.6,A,7,16000,B,7,1524,A,7,2.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,282.7768784
1/3/1996,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,A,7,11.1,A,7,9.4,A,7,89,A,7,1015,A,7,360,A,7,4.1,A,7,16000,B,7,1158,A,7,2.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,282.6979618
1/3/1996,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,11.1,A,7,9.4,A,7,89,A,7,1016,A,7,350,A,7,2.1,A,7,16000,B,7,914,A,7,2.4,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,282.6608749
1/3/1996,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,E,9,2,A,7,10.6,A,7,8.9,A,7,89,A,7,1017,A,7,340,A,7,2.6,A,7,16000,B,7,77777,A,7,2.4,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,282.4813435
1/3/1996,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,B,8,3,B,8,10,A,7,8.3,A,7,89,A,7,1017,A,7,350,A,7,2.6,A,7,16000,B,7,77777,A,7,2.3,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,282.1115186
1/3/1996,24:00:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,B,8,3,B,8,10.6,A,7,7.8,A,7,83,A,7,1018,A,7,10,A,7,1.5,A,7,16000,B,7,77777,A,7,2.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,282.0103758
1/4/1996,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,4,E,9,4,E,9,9.4,A,7,8.3,A,7,93,A,7,1018,A,7,0,A,7,0,A,7,11200,B,7,77777,A,7,2.1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,281.6959885
1/4/1996,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,10,A,7,7.8,A,7,86,A,7,1018,A,7,30,A,7,1.5,A,7,11200,B,7,975,A,7,2.1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,281.5039551
1/4/1996,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,9,A,7,8.9,A,7,6.7,A,7,86,A,7,1018,A,7,10,A,7,4.1,A,7,16000,B,7,1524,A,7,2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,281.1780966
