722115,SARASOTA BRADENTON,FL,-5,27.383,-82.55,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2003,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,18,A,7,18,A,7,100,A,7,1010,A,7,200,A,7,5.1,A,7,16100,B,7,2700,A,7,3.9,E,8,0.072,F,8,0.14,F,8,0,1,D,9,17,C,8,291
1/1/2003,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,18,A,7,18,A,7,100,A,7,1010,A,7,190,A,7,4.1,A,7,12900,B,7,90,A,7,3.8,E,8,0.072,F,8,0.14,F,8,0,1,D,9,17,C,8,290.5433658
1/1/2003,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,18,A,7,18,A,7,100,A,7,1009,A,7,190,A,7,5.1,A,7,16100,B,7,90,A,7,3.7,E,8,0.072,F,8,0.14,F,8,5,1,D,9,0,C,8,289.9530557
1/1/2003,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,18,A,7,18,A,7,100,A,7,1010,A,7,180,A,7,5.1,A,7,16100,B,7,2100,A,7,3.6,E,8,0.072,F,8,0.14,F,8,0,1,D,9,0,C,8,289.6643862
1/1/2003,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,18,A,7,18,A,7,100,A,7,1010,A,7,180,A,7,5.7,A,7,16100,B,7,2100,A,7,3.5,E,8,0.072,F,8,0.14,F,8,0,1,D,9,0,C,8,289.528597
1/1/2003,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,18,A,7,18,A,7,100,A,7,1010,A,7,200,A,7,4.6,A,7,16100,B,7,1470,A,7,3.3,E,8,0.072,F,8,0.14,F,8,0,1,D,9,0,C,8,289.4656906
1/1/2003,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,18,A,7,18,A,7,100,A,7,1010,A,7,190,A,7,4.6,A,7,16100,B,7,77777,A,7,3.2,E,8,0.072,F,8,0.14,F,8,0,1,D,9,0,C,8,289.4367403
1/1/2003,8:00,55,908,5,2,8,127,2,15,2,2,8,11,2,8,76,2,15,7,2,8,8,2,19,0,E,9,0,E,9,19,A,7,19,A,7,100,A,7,1011,A,7,220,A,7,5.1,A,7,16100,B,7,77777,A,7,3,E,8,0.072,F,8,0.14,F,8,0,1,D,9,0,C,8,289.8048393
1/1/2003,9:00,308,1415,175,2,8,479,2,15,70,2,8,176,2,8,373,2,15,95,2,8,120,2,19,0,E,9,0,E,9,20,A,7,19,A,7,94,A,7,1012,A,7,220,A,7,4.6,A,7,16100,B,7,77777,A,7,2.8,E,8,0.072,F,8,0.14,F,8,0,1,D,9,0,C,8,291.1445272
1/1/2003,10:00,549,1415,355,2,8,706,2,15,80,2,8,373,2,8,670,2,15,112,2,8,160,2,19,0,E,9,0,E,9,21,A,7,19,A,7,88,A,7,1012,A,7,220,A,7,4.1,A,7,16100,B,7,77777,A,7,2.7,E,8,0.072,F,8,0.14,F,8,0,1,D,9,0,C,8,294.2095901
