722119,LAKELAND LINDER RGN,FL,-5,27.983,-82.017,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2001,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,B,8,2,B,8,0.6,B,8,-1.7,B,8,83,A,7,1008,E,9,0,B,8,0,B,8,16100,C,8,77777,B,8,0.9,E,8,0.072,F,8,0.14,F,8,0,1,D,9,0,C,8,273.6
1/1/2001,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,B,8,3,B,8,0.5,B,8,-2,B,8,82,A,7,1008,E,9,0,B,8,0,B,8,16100,C,8,77777,B,8,0.9,E,8,0.072,F,8,0.14,F,8,0,1,D,9,0,C,8,272.9144082
1/1/2001,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,B,8,3,B,8,0.4,B,8,-2.2,B,8,81,A,7,1008,E,9,0,B,8,0,B,8,16100,C,8,77777,B,8,0.9,E,8,0.072,F,8,0.14,F,8,0,1,D,9,0,C,8,272.5221952
1/1/2001,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,B,8,4,B,8,0.3,B,8,-2.5,B,8,79,A,7,1008,E,9,0,B,8,0,B,8,16100,C,8,77777,B,8,0.9,E,8,0.072,F,8,0.14,F,8,0,1,D,9,0,C,8,272.2743026
1/1/2001,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,B,8,4,B,8,0.1,B,8,-2.7,B,8,79,A,7,1008,E,9,0,B,8,0,B,8,16100,C,8,77777,B,8,1,E,8,0.072,F,8,0.14,F,8,0,1,D,9,0,C,8,272.0705429
1/1/2001,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,5,A,7,0,A,7,-3,A,7,78,A,7,1008,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,1,E,8,0.072,F,8,0.14,F,8,0,1,D,9,0,C,8,271.9013059
1/1/2001,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,5,A,7,-1,A,7,-3,A,7,85,A,7,1008,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,1,E,8,0.072,F,8,0.14,F,8,0,1,D,9,0,C,8,271.5005125
1/1/2001,8:00,56,931,6,2,8,137,2,15,2,2,8,12,2,8,82,2,15,7,2,8,8,2,19,4,E,9,2,A,7,-1,A,7,-3,A,7,85,A,7,1008,E,9,350,A,7,1.5,A,7,16100,B,7,77777,A,7,1,E,8,0.072,F,8,0.14,F,8,0,1,D,9,0,C,8,271.1557124
1/1/2001,9:00,309,1415,174,2,8,499,2,15,64,2,8,176,2,8,391,2,15,90,2,8,113,2,19,4,E,9,3,A,7,3,A,7,-4,A,7,58,A,7,1008,E,9,10,A,7,1.5,A,7,16100,B,7,77777,A,7,1,E,8,0.072,F,8,0.14,F,8,0,1,D,9,0,C,8,273.0141525
1/1/2001,10:00,547,1415,368,2,8,780,2,15,65,2,8,384,2,8,737,2,15,98,2,8,135,2,19,0,E,9,0,A,7,5,A,7,-5,A,7,46,A,7,1008,E,9,10,A,7,4.1,A,7,24100,B,7,77777,A,7,1,E,8,0.072,F,8,0.14,F,8,0,1,D,9,0,C,8,277.5288751
