722137,BRUNSWICK MALCOLM MCKINNON AP,GA,-5,31.15,-81.383,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2002,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4.4,A,7,-5,A,7,48,A,7,1018,A,7,330,A,7,3.1,A,7,16000,B,7,77777,A,7,1.3,E,8,0.072,F,8,0.15,F,8,0,1,D,9,0,C,8,277.4
1/1/2002,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3.9,A,7,-3.9,A,7,55,A,7,1018,A,7,300,A,7,2.6,A,7,16000,B,7,77777,A,7,1.2,E,8,0.072,F,8,0.15,F,8,0,1,D,9,0,C,8,276.2348067
1/1/2002,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2.8,A,7,-3.9,A,7,59,A,7,1018,A,7,290,A,7,1.5,A,7,16000,B,7,77777,A,7,1.2,E,8,0.072,F,8,0.15,F,8,0,1,D,9,0,C,8,275.3431079
1/1/2002,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2.8,A,7,-4.4,A,7,57,A,7,1019,A,7,310,A,7,2.6,A,7,16000,B,7,77777,A,7,1.1,E,8,0.072,F,8,0.15,F,8,0,1,D,9,0,C,8,274.8987706
1/1/2002,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2.2,A,7,-5,A,7,56,A,7,1019,A,7,320,A,7,3.1,A,7,16000,B,7,77777,A,7,1.2,E,8,0.072,F,8,0.15,F,8,0,1,D,9,0,C,8,274.4925736
1/1/2002,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,1.1,A,7,-5,A,7,61,A,7,1019,A,7,320,A,7,3.6,A,7,16000,B,7,77777,A,7,1.3,E,8,0.072,F,8,0.15,F,8,0,1,D,9,0,C,8,273.4836506
1/1/2002,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,1.1,A,7,-5.6,A,7,58,A,7,1019,A,7,320,A,7,3.6,A,7,16000,B,7,77777,A,7,1.3,E,8,0.072,F,8,0.15,F,8,0,1,D,9,0,C,8,273.1313305
1/1/2002,8:00,42,814,2,2,8,117,2,15,1,2,8,9,2,8,68,2,15,5,2,8,4,2,19,0,E,9,0,E,9,1.1,A,7,-6.1,A,7,55,A,7,1020,A,7,320,A,7,3.1,A,7,16000,B,7,77777,A,7,1.3,E,8,0.072,F,8,0.15,F,8,0,1,D,9,0,C,8,273.0437316
1/1/2002,9:00,276,1415,172,2,8,557,2,15,63,2,8,173,2,8,415,2,15,92,2,8,108,2,19,0,E,9,0,E,9,2.2,A,7,-6.1,A,7,51,A,7,1021,A,7,340,A,7,4.6,A,7,16000,B,7,77777,A,7,1.4,E,8,0.072,F,8,0.15,F,8,0,1,D,9,0,C,8,273.8294299
1/1/2002,10:00,504,1415,322,2,8,658,2,15,86,2,8,334,2,8,608,2,15,116,2,8,165,2,19,0,E,9,0,E,9,5,A,7,-6.1,A,7,42,A,7,1021,A,7,320,B,8,3.1,A,7,16000,B,7,77777,A,7,1.4,E,8,0.072,F,8,0.15,F,8,0,1,D,9,0,C,8,276.96281
