722160,ALBANY DOUGHERTY COUNTY AP,GA,-5,31.533,-84.183,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,A,7,0,E,9,-1,A,7,-5,A,7,71,A,7,1023,E,9,300,A,7,2.6,A,7,16100,B,7,77777,A,7,1.2,E,8,0.065,F,8,0.17,F,8,0,1,D,9,0,C,8,272
1/1/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,A,7,0,E,9,-2,A,7,-5,A,7,78,A,7,1023,E,9,340,A,7,2.6,A,7,16100,B,7,77777,A,7,1.2,E,8,0.065,F,8,0.17,F,8,0,1,D,9,0,C,8,270.9190964
1/1/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,A,7,0,E,9,-2,A,7,-5,A,7,78,A,7,1023,E,9,230,A,7,2.6,A,7,16100,B,7,77777,A,7,1.2,E,8,0.065,F,8,0.17,F,8,0,1,D,9,0,C,8,270.3686377
1/1/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,A,7,0,E,9,-2,A,7,-5,A,7,78,A,7,1023,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,1.2,E,8,0.065,F,8,0.17,F,8,0,1,D,9,0,C,8,270.0493299
1/1/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,A,7,0,E,9,-4,A,7,-6,A,7,84,A,7,1022,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,1.2,E,8,0.065,F,8,0.17,F,8,0,1,D,9,0,C,8,269.2725705
1/1/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-3,A,7,-6,A,7,77,A,7,1022,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,1.2,E,8,0.065,F,8,0.17,F,8,0,1,D,9,0,C,8,268.8205058
1/1/1998,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-3,A,7,-5,A,7,84,A,7,1023,E,9,10,A,7,1.5,A,7,16100,B,7,77777,A,7,1.2,E,8,0.065,F,8,0.17,F,8,0,1,D,9,0,C,8,268.78347
1/1/1998,8:00,17,531,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,0,E,9,0,E,9,-4,A,7,-6,A,7,84,A,7,1023,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,1.2,E,8,0.065,F,8,0.17,F,8,0,1,D,9,0,C,8,268.4636201
1/1/1998,9:00,223,1415,135,2,8,571,2,15,45,2,8,138,2,8,393,2,15,75,2,8,79,2,19,0,E,9,0,E,9,-1,A,7,-3,A,7,85,A,7,1024,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,1.2,E,8,0.065,F,8,0.17,F,8,0,1,D,9,0,C,8,269.599871
1/1/1998,10:00,459,1415,309,2,8,760,2,15,62,2,8,318,2,8,689,2,15,94,2,8,120,2,19,0,B,8,0,B,8,1.5,B,8,-4.3,B,8,63,A,7,1025,E,9,30,B,8,2.6,B,8,16100,C,8,77777,B,8,1.2,E,8,0.065,F,8,0.17,F,8,0,1,D,9,0,C,8,273.2679941
