722215,CRESTVIEW BOB SIKES AP,FL,-6,30.783,-86.517,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2002,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,1.7,A,7,-3.9,A,7,64,A,7,1016,A,7,350,B,8,2.1,A,7,16000,B,7,1158,A,7,1.4,E,8,0.064,F,8,0.16,F,8,0,1,D,9,0,C,8,274.7
1/1/2002,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,2.2,A,7,-4.4,A,7,59,A,7,1016,A,7,360,A,7,3.1,A,7,16000,B,7,1311,A,7,1.4,E,8,0.064,F,8,0.16,F,8,0,1,D,9,0,C,8,274.1414906
1/1/2002,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,2.2,A,7,-5,A,7,56,A,7,1016,A,7,20,A,7,3.1,A,7,16000,B,7,1311,A,7,1.5,E,8,0.064,F,8,0.16,F,8,0,1,D,9,0,C,8,274.0011186
1/1/2002,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,0.6,A,7,-5.6,A,7,60,A,7,1016,A,7,10,B,8,2.1,A,7,16000,B,7,77777,A,7,1.5,E,8,0.064,F,8,0.16,F,8,0,1,D,9,0,C,8,273.2706996
1/1/2002,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,0,A,7,-5,A,7,66,A,7,1016,A,7,360,A,7,2.1,A,7,16000,B,7,3048,A,7,1.5,E,8,0.064,F,8,0.16,F,8,0,1,D,9,0,C,8,272.454053
1/1/2002,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,-1.1,A,7,-6.1,A,7,66,A,7,1016,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,1.5,E,8,0.064,F,8,0.16,F,8,0,1,D,9,0,C,8,271.6291588
1/1/2002,7:00,7,342,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,0,E,9,0,E,9,-1.7,A,7,-5.6,A,7,72,A,7,1017,A,7,360,A,7,2.1,A,7,16000,B,7,77777,A,7,1.6,E,8,0.064,F,8,0.16,F,8,0,1,D,9,0,C,8,270.8001589
1/1/2002,8:00,193,1415,107,2,8,275,2,15,69,2,8,106,2,8,168,2,15,83,2,8,132,2,19,1,E,9,1,E,9,0,A,7,-6.1,A,7,60,A,7,1017,A,7,10,A,7,3.1,A,7,16000,B,7,77777,A,7,1.6,E,8,0.064,F,8,0.16,F,8,0,1,D,9,0,C,8,271.2374496
1/1/2002,9:00,437,1415,117,2,8,0,2,15,117,2,8,131,2,8,0,2,15,131,2,8,421,2,19,4,E,9,3,E,9,1.7,A,7,-7.2,A,7,48,A,7,1018,A,7,360,A,7,3.1,A,7,16000,B,7,77777,A,7,1.6,E,8,0.064,F,8,0.16,F,8,0,1,D,9,0,C,8,271.7186477
1/1/2002,10:00,633,1415,172,2,8,0,2,15,172,2,8,195,2,8,0,2,15,195,2,8,672,2,19,8,E,9,8,E,9,2.8,A,7,-7.8,A,7,42,A,7,1017,A,7,10,A,7,3.6,A,7,16000,B,7,77777,A,7,1.6,E,8,0.064,F,8,0.16,F,8,0,1,D,9,0,C,8,272.1924
1/1/2002,11:00,767,1415,119,2,8,0,2,15,119,2,8,142,2,8,0,2,15,142,2,8,555,2,19,9,E,9,9,E,9,4.4,A,7,-8.3,A,7,36,A,7,1016,A,7,20,A,7,3.6,A,7,16000,B,7,3048,A,7,1.7,E,8,0.064,F,8,0.16,F,8,0,1,D,9,0,C,8,273.2924008
1/1/2002,12:00,830,1415,389,2,8,199,2,15,272,2,8,424,2,8,208,2,15,301,2,8,727,2,19,9,E,9,9,E,9,5.6,A,7,-8.3,A,7,33,A,7,1015,A,7,20,B,8,2.6,A,7,16000,B,7,3048,A,7,1.7,E,8,0.064,F,8,0.16,F,8,0,1,D,9,0,C,8,275.1871919
1/1/2002,13:00,817,1415,177,2,8,6,2,15,174,2,8,208,2,8,5,2,15,205,2,8,777,2,19,9,E,9,8,E,9,6.7,A,7,-7.8,A,7,32,A,7,1015,A,7,10,A,7,2.6,A,7,16000,B,7,77777,A,7,1.8,E,8,0.064,F,8,0.16,F,8,0,1,D,9,0,C,8,276.2917144
1/1/2002,14:00,729,1415,211,2,8,12,2,15,205,2,8,241,2,8,10,2,15,235,2,8,823,2,19,10,E,9,5,E,9,7.2,A,7,-8.3,A,7,30,A,7,1014,A,7,340,A,7,2.6,A,7,16000,B,7,77777,A,7,1.8,E,8,0.064,F,8,0.16,F,8,0,1,D,9,0,C,8,276.6356742
1/1/2002,15:00,573,1415,98,2,8,0,2,15,98,2,8,115,2,8,0,2,15,115,2,8,419,2,19,10,E,9,6,E,9,6.7,A,7,-8.3,A,7,31,A,7,1015,A,7,350,B,8,2.1,A,7,16000,B,7,77777,A,7,1.9,E,8,0.064,F,8,0.16,F,8,0,1,D,9,0,C,8,276.9572965
1/1/2002,16:00,358,1415,48,2,8,0,2,15,48,2,8,57,2,8,0,2,15,57,2,8,196,2,19,9,E,9,6,E,9,6.1,A,7,-7.8,A,7,33,A,7,1016,A,7,350,A,7,2.1,A,7,16000,B,7,77777,A,7,1.9,E,8,0.064,F,8,0.16,F,8,0,1,D,9,0,C,8,277.1162272
1/1/2002,17:00,106,1285,11,2,8,0,2,15,11,2,8,13,2,8,0,2,15,13,2,8,43,2,19,10,E,9,10,E,9,5,A,7,-5,A,7,46,A,7,1015,A,7,360,A,7,2.1,A,7,16000,B,7,2134,A,7,2,E,8,0.064,F,8,0.16,F,8,0,1,D,9,61,C,8,276.933452
