722255,COLUMBUS METROPOLITAN ARPT,GA,-6,32.517,-84.95,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1987,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,5.6,A,7,4.4,A,7,93,A,7,999,A,7,20,A,7,5.7,A,7,4800,B,7,850,A,7,1.4,E,8,0,?,0,0,?,0,30,1,D,9,45,C,8,278.6
1/1/1987,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,5.6,A,7,4.4,A,7,93,A,7,998,A,7,20,A,7,4.1,A,7,4800,B,7,490,A,7,1.4,E,8,0,?,0,0,?,0,33,1,D,9,45,C,8,278.1541018
1/1/1987,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,5.6,A,7,4.4,A,7,93,A,7,998,A,7,20,A,7,5.7,A,7,4000,B,7,150,A,7,1.4,E,8,0,?,0,0,?,0,38,1,D,9,45,C,8,277.6790636
1/1/1987,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,5,A,7,3.9,A,7,93,A,7,997,A,7,20,A,7,5.2,A,7,4000,B,7,150,A,7,1.4,E,8,0,?,0,0,?,0,20,1,D,9,45,C,8,277.2574302
1/1/1987,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,5,A,7,3.9,A,7,93,A,7,996,A,7,20,A,7,5.7,A,7,6400,B,7,700,A,7,1.4,E,8,0,?,0,0,?,0,5,1,D,9,45,C,8,276.9336151
1/1/1987,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,5.6,A,7,3.9,A,7,89,A,7,997,A,7,10,A,7,5.2,A,7,4800,B,7,490,A,7,1.4,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,276.9686643
1/1/1987,7:00,10,389,0,1,0,0,1,0,0,1,0,0,1,1,0,1,2,0,1,2,0,1,1,10,A,7,10,A,7,5.6,A,7,3.9,A,7,89,A,7,997,A,7,350,A,7,4.6,A,7,9700,B,7,760,A,7,1.4,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,277.1001577
1/1/1987,8:00,197,1415,9,1,13,0,1,9,9,1,13,11,1,13,0,1,9,11,1,13,38,1,21,10,A,7,10,A,7,5.6,A,7,4.4,A,7,93,A,7,998,A,7,340,A,7,3.6,A,7,6400,B,7,310,A,7,1.4,E,8,0,F,8,0,?,0,0,1,D,9,45,C,8,277.1297194
1/1/1987,9:00,432,1415,69,1,13,0,1,9,69,1,13,81,1,13,0,1,9,81,1,13,283,1,21,10,A,7,10,A,7,6.1,A,7,3.9,A,7,86,A,7,999,A,7,350,A,7,3.6,A,7,8000,B,7,310,A,7,1.4,E,8,0,F,8,0,?,0,0,1,D,9,45,C,8,277.0799921
1/1/1987,10:00,618,1415,153,1,9,1,1,9,153,1,13,175,1,9,1,1,9,175,1,13,612,1,18,10,A,7,10,A,7,6.7,A,7,4.4,A,7,86,A,7,1000,A,7,320,A,7,4.1,A,7,16100,B,7,340,A,7,1.4,E,8,0,F,8,0,?,0,0,1,D,9,45,C,8,276.9511905
1/1/1987,11:00,743,1415,205,1,9,75,1,9,172,1,13,233,1,9,74,1,9,194,1,13,552,1,18,9,A,7,9,A,7,7.2,A,7,0,A,7,61,A,7,1000,A,7,350,A,7,4.1,A,7,16100,B,7,370,A,7,1.1,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,277.2629593
1/1/1987,12:00,796,1415,339,1,9,192,1,9,238,1,13,379,1,9,200,1,9,266,1,13,623,1,18,9,A,7,9,A,7,8.3,A,7,-0.6,A,7,54,A,7,1000,A,7,320,A,7,5.2,A,7,19300,B,7,400,A,7,1,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,278.5162336
1/1/1987,13:00,776,1415,220,1,9,1,1,9,220,1,13,252,1,9,1,1,9,251,1,13,896,1,18,10,A,7,10,A,7,8.9,A,7,-0.6,A,7,52,A,7,999,A,7,300,A,7,4.6,A,7,19300,B,7,430,A,7,1,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,278.8691445
1/1/1987,14:00,682,1415,317,1,9,35,1,9,297,1,13,344,1,9,35,1,9,327,1,13,955,1,18,10,A,7,10,A,7,8.9,A,7,-1.1,A,7,50,A,7,999,A,7,310,A,7,5.7,A,7,19300,B,7,430,A,7,1,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,278.534951
1/1/1987,15:00,522,1415,258,1,9,11,1,9,253,1,13,276,1,9,11,1,9,272,1,13,690,1,18,10,A,7,10,A,7,9.4,A,7,-0.6,A,7,50,A,7,999,A,7,300,A,7,5.2,A,7,19300,B,7,460,A,7,1,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,278.5681718
1/1/1987,16:00,307,1415,158,1,9,8,1,9,155,1,13,165,1,9,6,1,9,164,1,13,354,1,18,10,A,7,10,A,7,10,A,7,0,A,7,50,A,7,999,A,7,310,A,7,5.2,A,7,19300,B,7,490,A,7,1.1,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,279.2100648
1/1/1987,17:00,66,1026,135,1,13,267,1,9,77,1,13,92,1,13,91,1,9,86,1,13,196,1,21,6,A,7,6,A,7,10.6,A,7,0,A,7,48,A,7,1000,A,7,290,A,7,4.1,A,7,19300,B,7,760,A,7,1.1,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,282.1028227
1/1/1987,18:00,0,0,42,1,13,286,1,9,13,1,13,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,8.9,A,7,0,A,7,54,A,7,1000,A,7,330,A,7,2.1,A,7,19300,B,7,77777,A,7,1.1,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,283.7862431
1/1/1987,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,6.7,A,7,0,A,7,63,A,7,1000,A,7,240,A,7,1.5,A,7,19300,B,7,77777,A,7,1.1,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,281.4947547
1/1/1987,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,6.7,A,7,0,A,7,63,A,7,1001,A,7,270,A,7,3.1,A,7,19300,B,7,77777,A,7,1.1,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,279.177326
1/1/1987,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,6.1,A,7,0,A,7,65,A,7,1001,A,7,260,A,7,3.6,A,7,19300,B,7,77777,A,7,1.1,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,278.7609101
1/1/1987,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,5.6,A,7,0,A,7,68,A,7,1002,A,7,260,A,7,4.1,A,7,19300,B,7,77777,A,7,1.1,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,278.2365267
