722267,TROY AF,AL,-6,31.867,-86.017,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1994,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,12,E,9,11,E,9,94,A,7,1012,E,9,0,E,9,0,E,9,4800,C,8,77777,E,9,1.3,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,285
1/1/1994,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,12,E,9,10,E,9,88,A,7,1014,E,9,60,E,9,1.5,E,9,4800,C,8,77777,E,9,1.3,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,284.238033
1/1/1994,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,10,E,9,9,E,9,93,A,7,1013,E,9,70,E,9,1.5,E,9,4800,C,8,77777,E,9,1.4,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,283.1608293
1/1/1994,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,11,E,9,10,E,9,94,A,7,1013,E,9,0,E,9,0,E,9,4800,C,8,77777,E,9,1.4,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,282.6380354
1/1/1994,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,11,E,9,10,E,9,94,A,7,1014,E,9,80,E,9,2.1,E,9,4800,C,8,77777,E,9,1.4,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,282.5805609
1/1/1994,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,12,E,9,11,E,9,94,A,7,1014,E,9,80,E,9,2.6,E,9,4800,C,8,77777,E,9,1.4,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,282.8925369
1/1/1994,7:00,7,342,0,1,18,0,1,22,0,1,18,0,1,18,0,1,22,0,1,18,0,1,34,10,E,9,10,E,9,10,E,9,9,E,9,93,A,7,1014,E,9,60,E,9,1.5,E,9,4800,C,8,77777,E,9,1.4,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,282.5900127
1/1/1994,8:00,188,1415,42,1,18,0,1,22,42,1,18,47,1,18,0,1,22,47,1,18,143,1,34,10,E,9,10,E,9,11,E,9,10,E,9,94,A,7,1015,E,9,30,E,9,1.5,E,9,4800,C,8,77777,E,9,1.4,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,282.2205661
1/1/1994,9:00,427,1415,110,1,18,0,1,22,110,1,18,124,1,18,0,1,22,124,1,18,399,1,34,10,E,9,10,E,9,14,E,9,12,E,9,88,A,7,1015,E,9,70,E,9,1.5,E,9,4800,C,8,77777,E,9,1.4,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,282.9954854
1/1/1994,10:00,619,1415,168,1,18,0,1,22,168,1,18,190,1,18,0,1,22,190,1,18,653,1,34,10,E,9,10,E,9,17,E,9,13,E,9,77,A,7,1015,E,9,100,E,9,3.1,E,9,4800,C,8,77777,E,9,1.4,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,284.7572157
1/1/1994,11:00,749,1415,208,1,18,0,1,22,208,1,18,238,1,18,0,1,22,238,1,18,845,1,34,10,E,9,10,E,9,18,E,9,13,E,9,73,A,7,1015,E,9,120,E,9,2.1,E,9,4800,C,8,77777,E,9,1.4,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,286.224692
1/1/1994,12:00,809,1415,226,1,18,0,1,22,226,1,18,259,1,18,0,1,22,259,1,18,936,1,34,10,E,9,10,E,9,21,E,9,14,E,9,64,A,7,1014,E,9,130,E,9,4.1,E,9,4800,C,8,77777,E,9,1.4,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,288.0612718
1/1/1994,13:00,793,1415,385,1,18,287,1,22,223,1,18,414,1,18,303,1,22,244,1,18,529,1,34,8,E,9,8,E,9,22,E,9,13,E,9,57,A,7,1013,E,9,140,E,9,4.6,E,9,4800,C,8,77777,E,9,1.5,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,291.4886475
1/1/1994,14:00,704,1415,501,1,18,895,1,22,55,1,18,529,1,18,873,1,22,93,1,18,141,1,34,0,E,9,0,E,9,21,E,9,13,E,9,60,A,7,1013,E,9,160,E,9,3.6,E,9,4800,C,8,77777,E,9,1.5,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,298.0033617
1/1/1994,15:00,548,1415,373,1,18,847,1,22,46,1,18,396,1,18,799,1,22,86,1,18,115,1,34,0,E,9,0,E,9,21,E,9,13,E,9,60,A,7,1013,E,9,120,E,9,1.5,E,9,4800,C,8,77777,E,9,1.5,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,301.3377519
1/1/1994,16:00,334,1415,184,1,18,441,1,22,80,1,18,192,1,18,356,1,22,107,1,18,147,1,34,3,E,9,3,E,9,21,E,9,13,E,9,60,A,7,1013,E,9,130,E,9,2.6,E,9,4800,C,8,77777,E,9,1.5,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,299.4299263
1/1/1994,17:00,87,1167,37,1,18,318,1,22,13,1,18,41,1,18,198,1,22,25,1,18,33,1,34,0,E,9,0,E,9,19,E,9,13,E,9,68,A,7,1013,E,9,90,E,9,1.5,E,9,4800,C,8,77777,E,9,1.5,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,296.3189522
1/1/1994,18:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,E,9,17,E,9,13,E,9,77,A,7,1013,E,9,0,E,9,0,E,9,4800,C,8,77777,E,9,1.5,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,292.3291502
1/1/1994,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,E,9,16,E,9,13,E,9,82,A,7,1014,E,9,0,E,9,0,E,9,4800,C,8,77777,E,9,1.5,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,289.2805297
