722270,MARIETTA DOBBINS AFB,GA,-5,33.917,-84.517,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1994,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,-2.3,A,7,-6.7,A,7,69,A,7,986,A,7,150,A,7,1,A,7,11300,B,7,77777,A,7,0.8,E,8,0.074,F,8,0.17,F,8,0,1,D,9,0,C,8,270.7
1/1/1994,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,E,9,-2.8,A,7,-7.8,A,7,65,A,7,987,A,7,120,A,7,1,A,7,11300,B,7,77777,A,7,0.8,E,8,0.074,F,8,0.17,F,8,0,1,D,9,0,C,8,269.7954023
1/1/1994,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,3,E,9,-2.8,A,7,-10,A,7,54,A,7,986,A,7,120,A,7,1.5,A,7,11300,B,7,77777,A,7,0.8,E,8,0.074,F,8,0.17,F,8,0,1,D,9,0,C,8,269.3741231
1/1/1994,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,E,9,-3.4,A,7,-12.3,A,7,46,A,7,986,A,7,160,A,7,0.5,A,7,11300,B,7,77777,A,7,0.8,E,8,0.074,F,8,0.17,F,8,0,1,D,9,0,C,8,268.9800093
1/1/1994,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,-2.8,A,7,-5,A,7,83,A,7,985,A,7,90,A,7,2,A,7,11300,B,7,77777,A,7,0.8,E,8,0.074,F,8,0.17,F,8,0,1,D,9,0,C,8,268.8514572
1/1/1994,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,-1.7,A,7,-5.6,A,7,72,A,7,986,A,7,130,A,7,2,A,7,11300,B,7,77777,A,7,0.8,E,8,0.074,F,8,0.17,F,8,0,1,D,9,0,C,8,269.2647619
1/1/1994,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-1.7,A,7,-7.3,A,7,62,A,7,986,A,7,110,A,7,1.5,A,7,16100,B,7,7500,A,7,0.8,E,8,0.074,F,8,0.17,F,8,0,1,D,9,0,C,8,269.6687039
1/1/1994,8:00,8,366,0,1,11,0,1,17,0,1,11,0,1,11,0,1,17,0,1,11,0,1,23,9,A,7,9,E,9,-1.7,A,7,-7.8,A,7,59,A,7,986,A,7,60,A,7,4.1,A,7,16100,B,7,7500,A,7,0.8,E,8,0.074,F,8,0.17,F,8,0,1,D,9,0,C,8,269.8570252
1/1/1994,9:00,186,1415,44,1,11,9,1,17,43,1,11,49,1,11,1,1,17,49,1,11,145,1,23,9,A,7,9,E,9,-0.6,A,7,-7.8,A,7,54,A,7,986,A,7,70,A,7,2.5,A,7,24100,B,7,3900,A,7,0.8,E,8,0.074,F,8,0.17,F,8,0,1,D,9,0,C,8,270.171353
1/1/1994,10:00,415,1415,64,1,11,0,1,17,64,1,11,75,1,11,0,1,17,75,1,11,262,1,23,10,A,7,10,E,9,2.2,A,7,-5.6,A,7,53,A,7,986,A,7,110,A,7,3.6,A,7,12900,B,7,600,A,7,0.9,E,8,0.074,F,8,0.17,F,8,0,1,D,9,0,C,8,271.3721063
