722317,BATON ROUGE RYAN ARPT,LA,-6,30.533,-91.15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1997,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,17.8,A,7,17.8,A,7,100,A,7,1018,A,7,190,A,7,1.5,A,7,400,B,7,30,A,7,2.9,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,290.8
1/1/1997,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,18.3,A,7,18.3,A,7,100,A,7,1018,A,7,0,A,7,0,A,7,400,B,7,30,A,7,2.9,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,290.1418041
1/1/1997,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,17.8,A,7,17.8,A,7,100,A,7,1017,A,7,0,A,7,0,A,7,400,B,7,30,A,7,2.9,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,289.7482992
1/1/1997,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,17.8,A,7,17.8,A,7,100,A,7,1017,A,7,0,A,7,0,A,7,400,B,7,30,A,7,2.9,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,289.4641452
1/1/1997,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,18,A,7,18,A,7,100,A,7,1017,A,7,0,A,7,0,A,7,400,B,7,15,A,7,2.9,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,289.3970941
1/1/1997,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,17.8,A,7,17.8,A,7,100,A,7,1017,A,7,0,A,7,0,A,7,300,B,7,30,A,7,2.8,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,289.3382523
1/1/1997,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,17.8,A,7,17.8,A,7,100,A,7,1017,A,7,30,A,7,1.5,A,7,300,B,7,30,A,7,2.8,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,289.2720492
1/1/1997,8:00,116,1332,13,1,24,0,1,27,13,1,24,16,1,24,0,1,27,16,1,24,50,1,43,10,E,9,10,A,7,17.8,A,7,17.8,A,7,100,A,7,1017,A,7,50,A,7,1.5,A,7,300,B,7,30,A,7,2.8,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,289.1949316
1/1/1997,9:00,370,1415,52,1,24,0,1,27,52,1,24,61,1,24,0,1,27,61,1,24,212,1,43,10,E,9,10,A,7,17.8,A,7,17.8,A,7,100,A,7,1018,A,7,0,A,7,0,A,7,1600,B,7,122,A,7,2.8,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,288.9935645
1/1/1997,10:00,583,1415,88,1,24,0,1,27,88,1,24,104,1,24,0,1,27,104,1,24,386,1,43,10,E,9,10,A,7,18.3,A,7,17.8,A,7,97,A,7,1018,A,7,0,A,7,0,A,7,1600,B,7,122,A,7,2.8,E,8,0,F,8,0,F,8,0,1,D,9,10,C,8,288.8705339
