722329,PATTERSON MEMORIAL,LA,-6,29.717,-91.333,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2000,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,11,A,7,-2,A,7,39,A,7,1013,E,9,0,A,7,0,A,7,400,C,8,30,A,7,1.6,E,8,0.068,F,8,0.12,F,8,0,1,D,9,0,C,8,284
1/1/2000,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,11,A,7,-2,A,7,39,A,7,1013,E,9,0,A,7,0,A,7,400,C,8,270,A,7,1.7,E,8,0.068,F,8,0.12,F,8,0,1,D,9,0,C,8,283.1045534
1/1/2000,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,9,A,7,-2,A,7,45,A,7,1013,E,9,0,A,7,0,A,7,400,C,8,30,A,7,1.7,E,8,0.068,F,8,0.12,F,8,0,1,D,9,0,C,8,281.7541946
1/1/2000,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,9,A,7,-3,A,7,41,A,7,1013,E,9,0,A,7,0,A,7,400,C,8,30,A,7,1.8,E,8,0.068,F,8,0.12,F,8,0,1,D,9,0,C,8,281.1517654
1/1/2000,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,8,A,7,-4,A,7,41,A,7,1013,E,9,90,A,7,1.5,A,7,400,B,7,15,A,7,1.9,E,8,0.068,F,8,0.12,F,8,0,1,D,9,0,C,8,280.5528232
1/1/2000,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,7,A,7,-4,A,7,44,A,7,1013,E,9,0,A,7,0,A,7,400,B,7,15,A,7,1.9,E,8,0.068,F,8,0.12,F,8,0,1,D,9,0,C,8,279.3657203
1/1/2000,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,7,A,7,-5,A,7,40,A,7,1013,E,9,0,A,7,0,A,7,400,B,7,15,A,7,2,E,8,0.068,F,8,0.12,F,8,0,1,D,9,0,C,8,278.9704008
1/1/2000,8:00,123,1380,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,10,E,9,10,A,7,7,A,7,-5,A,7,40,A,7,1013,E,9,0,A,7,0,A,7,400,B,7,15,A,7,2.1,E,8,0.068,F,8,0.12,F,8,0,1,D,9,0,C,8,278.7745031
1/1/2000,9:00,379,1415,234,2,8,594,2,15,74,2,8,239,2,8,503,2,15,104,2,8,134,2,19,0,E,9,0,E,9,10,A,7,-2,A,7,42,A,7,1013,E,9,0,A,7,0,A,7,8250,C,8,77777,A,7,2.1,E,8,0.068,F,8,0.12,F,8,0,1,D,9,0,C,8,280.512356
1/1/2000,10:00,594,1415,397,2,8,736,2,15,87,2,8,419,2,8,709,2,15,119,2,8,177,2,19,0,E,9,0,E,9,13,A,7,-1,A,7,38,A,7,1013,E,9,120,A,7,1.5,A,7,16100,B,7,77777,A,7,2.2,E,8,0.068,F,8,0.12,F,8,0,1,D,9,0,C,8,284.5930082
1/1/2000,11:00,751,1415,502,2,8,705,2,15,127,2,8,527,2,8,700,2,15,154,2,8,278,2,19,0,E,9,0,E,9,17,A,7,-1,A,7,29,A,7,1013,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,2.3,E,8,0.068,F,8,0.12,F,8,0,1,D,9,0,C,8,289.866436
1/1/2000,12:00,838,1415,583,2,8,790,2,15,114,2,8,607,2,8,783,2,15,141,2,8,252,2,19,0,E,9,0,E,9,20,A,7,-1,A,7,24,A,7,1013,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,2.3,E,8,0.068,F,8,0.12,F,8,0,1,D,9,0,C,8,294.8361566
1/1/2000,13:00,849,1415,590,2,8,791,2,15,114,2,8,615,2,8,786,2,15,142,2,8,256,2,19,0,E,9,0,E,9,22,A,7,2,A,7,27,A,7,1013,E,9,210,A,7,3.1,A,7,16100,B,7,77777,A,7,2.3,E,8,0.068,F,8,0.12,F,8,0,1,D,9,0,C,8,296.8889977
1/1/2000,14:00,784,1415,526,2,8,738,2,15,115,2,8,558,2,8,741,2,15,146,2,8,263,2,19,0,E,9,0,E,9,23,A,7,2,A,7,25,A,7,1013,E,9,250,A,7,2.6,A,7,16100,B,7,77777,A,7,2.3,E,8,0.068,F,8,0.12,F,8,0,1,D,9,0,C,8,298.4502479
1/1/2000,15:00,647,1415,427,2,8,753,2,15,81,2,8,445,2,8,729,2,15,110,2,8,168,2,19,0,E,9,0,E,9,23,A,7,3,A,7,27,A,7,1013,E,9,190,A,7,4.1,A,7,16100,B,7,77777,A,7,2.3,E,8,0.068,F,8,0.12,F,8,0,1,D,9,0,C,8,299.4426221
1/1/2000,16:00,448,1415,270,2,8,659,2,15,61,2,8,278,2,8,594,2,15,89,2,8,118,2,19,0,E,9,0,E,9,22,A,7,3,A,7,29,A,7,1013,E,9,200,A,7,3.6,A,7,16100,B,7,77777,A,7,2.3,E,8,0.068,F,8,0.12,F,8,0,1,D,9,0,C,8,299.0822202
1/1/2000,17:00,200,1415,96,2,8,479,2,15,28,2,8,98,2,8,338,2,15,50,2,8,55,2,19,0,E,9,0,E,9,21,A,7,3,A,7,30,A,7,1013,E,9,190,A,7,4.1,A,7,16100,B,7,77777,A,7,2.3,E,8,0.068,F,8,0.12,F,8,0,1,D,9,0,C,8,297.0770453
1/1/2000,18:00,9,366,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,0,E,9,0,E,9,19,A,7,3,A,7,34,A,7,1013,E,9,180,A,7,3.1,A,7,16100,B,7,77777,A,7,2.3,E,8,0.068,F,8,0.12,F,8,0,1,D,9,0,C,8,292.304744
1/1/2000,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,A,7,18,A,7,4,A,7,39,A,7,1013,E,9,160,A,7,2.6,A,7,12900,B,7,77777,A,7,2.2,E,8,0.068,F,8,0.12,F,8,0,1,D,9,0,C,8,290.0416255
1/1/2000,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,18,A,7,4,A,7,39,A,7,1013,E,9,150,A,7,2.6,A,7,16100,B,7,77777,A,7,2.2,E,8,0.068,F,8,0.12,F,8,0,1,D,9,0,C,8,289.7068903
1/1/2000,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,18,A,7,4,A,7,39,A,7,1013,E,9,160,A,7,2.1,A,7,12900,B,7,77777,A,7,2.2,E,8,0.068,F,8,0.12,F,8,0,1,D,9,0,C,8,289.5484091
1/1/2000,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,17,A,7,4,A,7,42,A,7,1013,E,9,140,A,7,3.1,A,7,12100,C,8,77777,A,7,2.2,E,8,0.068,F,8,0.12,F,8,0,1,D,9,0,C,8,289.1532057
1/1/2000,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,17,A,7,4,A,7,42,A,7,1013,E,9,150,A,7,3.1,A,7,11300,B,7,77777,A,7,2.2,E,8,0.068,F,8,0.12,F,8,0,1,D,9,0,C,8,288.7705524
1/1/2000,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,18,A,7,4,A,7,39,A,7,1013,E,9,150,A,7,3.1,A,7,11300,C,8,77777,B,8,2.2,E,8,0.068,F,8,0.12,F,8,0,1,D,9,0,C,8,288.9262265
