722357,NATCHEZ/HARDY(AWOS),MS,-6,31.617,-91.3,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1995,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,11.6,A,7,10.5,A,7,93,A,7,1003,E,9,0,A,7,0,A,7,3200,B,7,30,A,7,1.3,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,284.6
1/1/1995,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,11.6,A,7,10.5,A,7,93,A,7,1003,E,9,0,A,7,0,A,7,3200,B,7,30,A,7,1.3,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,283.8396
1/1/1995,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,8,E,9,12.2,A,7,11.1,A,7,93,A,7,1003,E,9,320,A,7,2.5,A,7,4000,B,7,570,A,7,1.2,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,283.6568818
1/1/1995,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,11.6,A,7,10.5,A,7,93,A,7,1003,E,9,340,A,7,4.1,A,7,3200,B,7,30,A,7,1.2,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,283.4896422
1/1/1995,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,11.6,A,7,10,A,7,90,A,7,1003,E,9,350,A,7,2.5,A,7,6400,B,7,270,A,7,1.2,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,283.2946702
1/1/1995,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,11.1,A,7,10,A,7,93,A,7,1003,E,9,360,A,7,1.5,A,7,6400,B,7,330,A,7,1.2,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,283.0413482
1/1/1995,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,3,E,9,10,A,7,8.8,A,7,92,A,7,1003,E,9,360,A,7,1.5,A,7,2000,B,7,77777,A,7,1.2,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,282.4923187
1/1/1995,8:00,102,1262,11,1,24,0,1,27,11,1,24,13,1,24,0,1,27,13,1,24,43,1,43,10,A,7,10,E,9,10,A,7,8.8,A,7,92,A,7,1003,E,9,0,A,7,0,A,7,0,B,7,15,A,7,1.2,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,281.9670863
1/1/1995,9:00,351,1415,106,1,24,111,1,27,79,1,24,117,1,24,95,1,27,94,1,24,173,1,43,9,A,7,8,E,9,11.6,A,7,10,A,7,90,A,7,1003,E,9,360,A,7,3.6,A,7,11300,B,7,240,A,7,1.2,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,282.1875144
1/1/1995,10:00,562,1415,202,1,24,184,1,27,129,1,24,219,1,24,182,1,27,146,1,24,261,1,43,9,A,7,7,E,9,12.7,A,7,10,A,7,84,A,7,1003,E,9,340,A,7,4.1,A,7,16100,B,7,840,A,7,1.2,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,283.0827848
1/1/1995,11:00,716,1415,331,1,24,192,1,27,234,1,24,360,1,24,197,1,27,260,1,24,586,1,43,9,A,7,8,E,9,12.7,A,7,8.8,A,7,77,A,7,1003,E,9,350,A,7,4.6,A,7,16100,B,7,960,A,7,1.3,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,283.7437257
1/1/1995,12:00,801,1415,167,1,24,0,1,27,167,1,24,196,1,24,0,1,27,196,1,24,746,1,43,10,A,7,10,E,9,13.8,A,7,8.3,A,7,69,A,7,1003,E,9,350,A,7,5.1,A,7,16100,B,7,1080,A,7,1.3,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,283.8341188
1/1/1995,13:00,812,1415,433,1,24,299,1,27,261,1,24,462,1,24,316,1,27,280,1,24,644,1,43,9,A,7,8,E,9,13.8,A,7,7.7,A,7,67,A,7,1003,E,9,330,A,7,6.1,A,7,16100,B,7,1260,A,7,1.3,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,285.1578306
1/1/1995,14:00,748,1415,153,1,24,0,1,27,153,1,24,179,1,24,0,1,27,179,1,24,674,1,43,10,A,7,10,E,9,13.8,A,7,7.7,A,7,67,A,7,1003,E,9,330,A,7,4.6,A,7,16100,B,7,960,A,7,1.3,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,285.2881542
1/1/1995,15:00,614,1415,275,1,24,270,1,27,157,1,24,295,1,24,273,1,27,176,1,24,331,1,43,9,A,7,8,E,9,13.3,A,7,7.2,A,7,67,A,7,1003,E,9,330,A,7,5.6,A,7,16100,B,7,1440,A,7,1.3,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,286.0711886
1/1/1995,16:00,418,1415,72,1,24,0,1,27,72,1,24,84,1,24,0,1,27,84,1,24,289,1,43,10,A,7,10,E,9,12.2,A,7,7.7,A,7,74,A,7,1003,E,9,340,A,7,6.6,A,7,16100,B,7,690,A,7,1.3,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,285.805264
1/1/1995,17:00,176,1415,22,1,24,0,1,27,22,1,24,26,1,24,0,1,27,26,1,24,84,1,43,10,A,7,10,E,9,10.5,A,7,7.7,A,7,83,A,7,1003,E,9,340,A,7,7.2,A,7,16100,B,7,300,A,7,1.4,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,283.3410233
1/1/1995,18:00,4,271,0,1,24,0,1,27,0,1,24,0,1,24,0,1,27,0,1,24,0,1,43,10,A,7,10,E,9,7.7,A,7,6.1,A,7,90,A,7,1003,E,9,340,A,7,6.6,A,7,4000,B,7,120,A,7,1.4,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,281.2166611
1/1/1995,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,7.2,A,7,5.5,A,7,89,A,7,1003,E,9,340,A,7,6.1,A,7,4800,B,7,150,A,7,1.4,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,279.0976183
1/1/1995,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,6.1,A,7,3.3,A,7,82,A,7,1003,E,9,340,A,7,6.6,A,7,16100,B,7,240,A,7,1.4,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,278.9210509
1/1/1995,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,5.5,A,7,1.6,A,7,76,A,7,1003,E,9,340,A,7,4.6,A,7,16100,B,7,450,A,7,1.4,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,277.6237379
1/1/1995,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,5,A,7,1.1,A,7,76,A,7,1003,E,9,340,A,7,5.6,A,7,16100,B,7,450,A,7,1.4,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,277.2107409
1/1/1995,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,4.4,A,7,0,A,7,73,A,7,1003,E,9,10,A,7,4.6,A,7,16100,B,7,630,A,7,1.4,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,276.7313457
1/1/1995,24:00:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,7,E,9,3.3,A,7,-1.2,A,7,71,A,7,1003,E,9,10,A,7,6.1,A,7,16100,B,7,690,A,7,1.5,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,275.9615138
1/2/1995,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,B,8,8,B,8,1.6,A,7,-2.8,A,7,71,A,7,1003,E,9,360,A,7,4.6,A,7,16100,B,7,1627,B,8,1.5,E,8,0.065,F,8,0.17,F,8,0,1,D,9,0,C,8,275.2264982
1/2/1995,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,B,8,8,B,8,1.1,A,7,-2.3,A,7,76,A,7,1003,E,9,360,A,7,3,A,7,16100,B,7,2939,B,8,1.5,E,8,0.065,F,8,0.17,F,8,0,1,D,9,0,C,8,273.7271127
1/2/1995,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,4,B,8,4,B,8,0.5,A,7,-2.8,A,7,76,A,7,1003,E,9,360,A,7,3.6,A,7,16100,B,7,13871,B,8,1.5,E,8,0.065,F,8,0.17,F,8,0,1,D,9,0,C,8,273.128394
