722358,MCCOMB PIKE COUNTY AP,MS,-6,31.233,-90.467,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1996,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,16.1,A,7,16.1,A,7,100,A,7,990,A,7,180,A,7,3,A,7,800,B,7,30,A,7,2.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,45,C,8,289.1
1/1/1996,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,16.1,A,7,16.1,A,7,100,A,7,989,A,7,200,A,7,2.5,A,7,800,B,7,30,A,7,2.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,45,C,8,288.3134555
1/1/1996,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,16.1,A,7,15.5,A,7,96,A,7,989,A,7,190,A,7,1.5,A,7,800,B,7,30,A,7,2.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,45,C,8,287.9085138
1/1/1996,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,15.5,A,7,15.5,A,7,100,A,7,989,A,7,170,A,7,1,A,7,400,B,7,30,A,7,2.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,45,C,8,287.5227377
1/1/1996,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,16.1,A,7,16.1,A,7,100,A,7,989,A,7,0,A,7,0,A,7,400,B,7,30,A,7,2.8,E,8,0.066,F,8,0.17,F,8,0,1,D,9,45,C,8,287.4189666
1/1/1996,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,16.1,A,7,16.1,A,7,100,A,7,989,A,7,0,A,7,0,A,7,400,B,7,60,B,8,2.8,E,8,0.066,F,8,0.17,F,8,0,1,D,9,45,C,8,287.4870624
1/1/1996,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,15.5,A,7,15,A,7,97,A,7,988,A,7,0,A,7,0,A,7,300,B,7,90,A,7,2.8,E,8,0.066,F,8,0.17,F,8,0,1,D,9,45,C,8,287.3202418
1/1/1996,8:00,120,1380,12,1,11,0,1,16,12,1,11,14,1,11,0,1,16,14,1,11,47,1,22,10,A,7,10,E,9,15.5,A,7,15.5,A,7,100,A,7,988,A,7,0,A,7,0,A,7,1000,B,7,60,A,7,2.8,E,8,0.066,F,8,0.17,F,8,0,1,D,9,45,C,8,287.0824217
1/1/1996,9:00,370,1415,46,1,11,0,1,16,46,1,11,55,1,11,0,1,16,55,1,11,191,1,22,10,A,7,10,E,9,16.1,A,7,16.1,A,7,100,A,7,988,A,7,60,A,7,2,A,7,2800,B,7,60,A,7,2.8,E,8,0.066,F,8,0.17,F,8,0,1,D,9,45,C,8,287.0283506
1/1/1996,10:00,579,1415,81,1,11,0,1,16,81,1,11,97,1,11,0,1,16,97,1,11,359,1,22,10,A,7,10,E,9,16.6,A,7,16.6,A,7,100,A,7,988,A,7,110,A,7,2,A,7,2400,B,7,60,A,7,2.8,E,8,0.066,F,8,0.17,F,8,0,1,D,9,45,C,8,287.1062237
