722446,LUFKIN ANGELINA CO,TX,-6,31.233,-94.75,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1995,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,10,A,7,9.4,A,7,96,A,7,1010,A,7,0,A,7,0,A,7,1600,B,7,244,A,7,1.3,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,283
1/1/1995,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,10,A,7,10,A,7,100,A,7,1011,A,7,0,A,7,0,A,7,4800,B,7,305,A,7,1.3,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,282.265682
1/1/1995,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,9,A,7,10,A,7,9.4,A,7,96,A,7,1011,A,7,330,A,7,2.6,A,7,6400,B,7,366,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,281.8924897
1/1/1995,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,A,7,2,A,7,10,A,7,8.9,A,7,93,A,7,1011,A,7,330,A,7,2.6,A,7,8000,B,7,77777,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,281.7103702
1/1/1995,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,10.6,A,7,9.4,A,7,92,A,7,1011,A,7,320,A,7,3.1,A,7,3200,B,7,762,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,281.8229062
1/1/1995,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,10,A,7,9.4,A,7,96,A,7,1012,A,7,330,A,7,4.1,A,7,3200,B,7,152,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,281.7929213
1/1/1995,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,10,A,7,8.9,A,7,93,A,7,1013,A,7,330,A,7,5.2,A,7,4800,B,7,610,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,281.6628513
1/1/1995,8:00,59,955,8,1,10,0,1,16,8,1,10,10,1,10,0,1,16,10,1,10,31,1,21,10,A,7,10,A,7,9.4,A,7,8.3,A,7,93,A,7,1014,A,7,330,A,7,4.1,A,7,6400,B,7,488,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,281.3804393
1/1/1995,9:00,302,1415,38,1,10,0,1,16,38,1,10,45,1,10,0,1,16,45,1,10,153,1,21,10,A,7,10,A,7,8.9,A,7,7.8,A,7,93,A,7,1015,A,7,330,A,7,5.2,A,7,6400,B,7,183,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,280.8486669
1/1/1995,10:00,525,1415,90,1,10,0,1,16,90,1,10,105,1,10,0,1,16,105,1,10,378,1,21,10,A,7,10,A,7,8.9,A,7,6.7,A,7,86,A,7,1016,A,7,340,A,7,4.1,A,7,12800,B,7,213,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,280.2479164
1/1/1995,11:00,693,1415,149,1,10,0,1,16,149,1,10,173,1,10,0,1,16,173,1,10,636,1,21,10,A,7,10,A,7,9.4,A,7,6.1,A,7,80,A,7,1016,A,7,340,A,7,6.7,A,7,16000,B,7,457,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,51,C,8,279.8282976
1/1/1995,12:00,795,1415,146,1,10,0,1,16,146,1,10,173,1,10,0,1,16,173,1,10,668,1,21,10,A,7,10,A,7,8.3,A,7,5.6,A,7,83,A,7,1016,A,7,130,A,7,6.2,A,7,19200,B,7,366,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,279.2546928
1/1/1995,13:00,824,1415,152,1,10,0,1,16,152,1,10,180,1,10,0,1,16,180,1,10,701,1,21,10,A,7,10,A,7,7.2,A,7,4.4,A,7,82,A,7,1016,A,7,320,A,7,9.3,A,7,19200,B,7,366,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,281.1528228
1/1/1995,14:00,777,1415,142,1,10,0,1,16,142,1,10,168,1,10,0,1,16,168,1,10,646,1,21,10,A,7,10,A,7,6.7,A,7,3.3,A,7,79,A,7,1016,A,7,340,A,7,6.2,A,7,19200,B,7,366,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,277.9993061
1/1/1995,15:00,657,1415,117,1,10,0,1,16,117,1,10,138,1,10,0,1,16,138,1,10,513,1,21,10,A,7,10,A,7,7.2,A,7,2.8,A,7,74,A,7,1017,A,7,350,A,7,6.2,A,7,19200,B,7,396,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,277.6347577
1/1/1995,16:00,474,1415,311,1,10,690,1,16,80,1,10,324,1,10,628,1,16,112,1,10,152,1,21,2,A,7,2,A,7,6.7,A,7,1.1,A,7,67,A,7,1017,A,7,340,A,7,5.2,A,7,19200,B,7,77777,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,282.0474096
1/1/1995,17:00,240,1415,109,1,10,340,1,16,51,1,10,114,1,10,236,1,16,74,1,10,92,1,21,3,A,7,3,A,7,6.7,A,7,0.6,A,7,65,A,7,1017,A,7,350,A,7,5.2,A,7,19200,B,7,77777,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,284.0805481
1/1/1995,18:00,24,601,7,1,10,34,1,16,5,1,10,0,1,10,0,1,16,0,1,10,0,1,21,7,A,7,4,A,7,4.4,A,7,0,A,7,73,A,7,1018,A,7,340,A,7,5.2,A,7,19200,B,7,77777,A,7,1.3,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,280.9282794
1/1/1995,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,1,A,7,2.8,A,7,-1.1,A,7,75,A,7,1019,A,7,330,A,7,4.6,A,7,19200,B,7,77777,A,7,1.3,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,277.5274001
1/1/1995,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,A,7,2.2,A,7,-1.1,A,7,78,A,7,1019,A,7,340,A,7,3.1,A,7,19200,B,7,77777,A,7,1.3,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,275.5047596
1/1/1995,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,A,7,1,A,7,1.7,A,7,-1.7,A,7,77,A,7,1020,A,7,340,A,7,4.6,A,7,19200,B,7,77777,A,7,1.3,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,274.0385053
1/1/1995,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,1.7,A,7,-2.2,A,7,74,A,7,1020,A,7,330,A,7,3.6,A,7,19200,B,7,77777,A,7,1.3,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,273.7030454
1/1/1995,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,0,A,7,-2.2,A,7,83,A,7,1021,A,7,330,A,7,2.6,A,7,19200,B,7,77777,A,7,1.3,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,272.9745012
1/1/1995,24:00:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-1.1,A,7,-2.2,A,7,91,A,7,1021,A,7,310,A,7,2.6,A,7,19200,B,7,77777,A,7,1.3,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,271.9031305
