722480,SHREVEPORT REGIONAL ARPT,LA,-6,32.45,-93.817,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2001,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.8,A,7,-3.3,A,7,96,A,7,1021,A,7,20,A,7,3.1,A,7,4800,B,7,335,A,7,1.3,E,8,0,F,8,0,F,8,0,1,D,9,10,C,8,270.2
1/1/2001,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.8,A,7,-3.3,A,7,96,A,7,1021,A,7,10,A,7,3.1,A,7,4800,B,7,366,A,7,1.3,E,8,0,F,8,0,F,8,0,1,D,9,10,C,8,269.5919242
1/1/2001,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.8,A,7,-3.9,A,7,91,A,7,1022,A,7,10,A,7,3.6,A,7,4800,B,7,579,A,7,1.3,E,8,0,F,8,0,F,8,0,1,D,9,71,C,8,269.2678554
1/1/2001,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.8,A,7,-3.9,A,7,91,A,7,1022,A,7,10,A,7,3.6,A,7,4800,B,7,305,A,7,1.3,E,8,0,F,8,0,F,8,0,1,D,9,10,C,8,269.1038497
1/1/2001,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.8,A,7,-4.4,A,7,87,A,7,1022,A,7,20,A,7,4.1,A,7,16000,B,7,671,A,7,1.3,E,8,0,F,8,0,F,8,0,1,D,9,88,C,8,269.0227569
1/1/2001,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.8,A,7,-4.4,A,7,87,A,7,1022,A,7,20,A,7,4.1,A,7,16000,B,7,396,A,7,1.3,E,8,0,F,8,0,F,8,0,1,D,9,88,C,8,268.9830694
1/1/2001,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.8,A,7,-4.4,A,7,87,A,7,1023,A,7,20,A,7,3.6,A,7,16000,B,7,396,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,268.9637384
1/1/2001,8:00,60,979,4,2,8,6,2,15,4,2,8,5,2,8,3,2,15,5,2,8,8,2,19,10,E,9,10,E,9,-2.8,A,7,-5.6,A,7,79,A,7,1023,A,7,30,A,7,5.7,A,7,16000,B,7,335,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,268.9542276
1/1/2001,9:00,299,1415,85,2,8,20,2,15,81,2,8,93,2,8,17,2,15,90,2,8,202,2,19,10,E,9,10,E,9,-2.8,A,7,-6.7,A,7,72,A,7,1024,A,7,50,A,7,5.7,A,7,16000,B,7,1158,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,268.6989301
1/1/2001,10:00,516,1415,90,2,8,0,2,15,90,2,8,105,2,8,0,2,15,105,2,8,375,2,19,10,E,9,10,E,9,-2.2,A,7,-7.2,A,7,65,A,7,1024,A,7,50,A,7,4.1,A,7,16000,B,7,1158,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,268.5627993
1/1/2001,11:00,679,1415,186,2,8,6,2,15,184,2,8,213,2,8,5,2,15,211,2,8,733,2,19,10,E,9,10,E,9,-1.7,A,7,-7.2,A,7,63,A,7,1024,A,7,60,A,7,4.1,A,7,16000,B,7,1219,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,268.4513595
1/1/2001,12:00,776,1415,185,2,8,6,2,15,182,2,8,215,2,8,5,2,15,212,2,8,783,2,19,8,E,9,8,E,9,-1.1,A,7,-7.2,A,7,60,A,7,1023,A,7,50,A,7,4.6,A,7,16000,B,7,1158,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,268.5659098
1/1/2001,13:00,800,1415,389,2,8,186,2,15,284,2,8,422,2,8,193,2,15,312,2,8,745,2,19,3,E,9,3,E,9,-0.6,A,7,-6.7,A,7,60,A,7,1023,A,7,50,A,7,3.1,A,7,16000,B,7,4267,A,7,1.1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,269.6095515
1/1/2001,14:00,749,1415,360,2,8,155,2,15,278,2,8,388,2,8,159,2,15,304,2,8,709,2,19,3,E,9,3,E,9,0,A,7,-5.6,A,7,62,A,7,1022,A,7,30,A,7,3.6,A,7,16000,B,7,77777,A,7,1.1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,270.7554187
1/1/2001,15:00,627,1415,345,2,8,389,2,15,172,2,8,369,2,8,394,2,15,194,2,8,370,2,19,3,E,9,3,E,9,0.6,A,7,-5,A,7,63,A,7,1022,A,7,20,A,7,4.1,A,7,16000,B,7,77777,A,7,1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,273.503525
1/1/2001,16:00,443,1415,237,2,8,425,2,15,103,2,8,248,2,8,381,2,15,128,2,8,194,2,19,3,E,9,3,E,9,0.6,A,7,-5.6,A,7,60,A,7,1023,A,7,20,A,7,4.1,A,7,16000,B,7,77777,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,276.3293477
1/1/2001,17:00,210,1415,96,2,8,321,2,15,48,2,8,100,2,8,207,2,15,69,2,8,87,2,19,8,E,9,8,E,9,0,A,7,-5.6,A,7,62,A,7,1022,A,7,20,A,7,6.2,A,7,16000,B,7,884,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,276.952
1/1/2001,18:00,13,460,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,10,E,9,10,E,9,-0.6,A,7,-6.1,A,7,63,A,7,1023,A,7,20,A,7,5.2,A,7,16000,B,7,884,A,7,0.8,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,274.6381173
1/1/2001,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-0.6,A,7,-6.1,A,7,63,A,7,1024,A,7,20,A,7,5.2,A,7,16000,B,7,945,A,7,0.8,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,272.4489111
1/1/2001,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1.1,A,7,-6.7,A,7,62,A,7,1024,A,7,40,A,7,5.7,A,7,16000,B,7,884,A,7,0.7,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,272.391721
1/1/2001,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1.1,A,7,-6.7,A,7,62,A,7,1025,A,7,40,A,7,5.7,A,7,16000,B,7,945,A,7,0.7,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,271.4616025
1/1/2001,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,E,9,-2.2,A,7,-7.2,A,7,65,A,7,1025,A,7,60,A,7,4.1,A,7,16000,B,7,77777,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,270.6876748
