722499,NACOGDOCHES (AWOS),TX,-6,31.583,-94.717,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1996,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,12.8,B,8,10.8,B,8,88,A,7,1000,E,9,150,A,7,2.5,A,7,400,B,7,30,A,7,2.2,E,8,0.069,F,8,0.17,F,8,0,1,D,9,0,C,8,285.8
1/1/1996,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,12.8,B,8,11,B,8,89,A,7,1000,E,9,150,A,7,2,A,7,800,B,7,30,A,7,2.2,E,8,0.069,F,8,0.17,F,8,0,1,D,9,0,C,8,285.0102573
1/1/1996,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,12.7,A,7,11.1,A,7,90,A,7,1000,E,9,120,A,7,2.5,A,7,6400,B,7,120,A,7,2.2,E,8,0.069,F,8,0.17,F,8,0,1,D,9,0,C,8,284.6076024
1/1/1996,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,13.1,B,8,11.6,B,8,91,A,7,1000,E,9,60,B,8,1.3,B,8,3800,C,8,60,A,7,2.2,E,8,0.069,F,8,0.17,F,8,0,1,D,9,0,C,8,284.5240049
1/1/1996,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,13.1,B,8,11.5,B,8,90,A,7,1000,E,9,0,A,7,0,A,7,1200,B,7,30,A,7,2.2,E,8,0.069,F,8,0.17,F,8,0,1,D,9,0,C,8,284.5622121
1/1/1996,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,13.3,A,7,11.6,A,7,89,A,7,1000,E,9,110,A,7,2.5,A,7,4000,B,7,30,A,7,2.2,E,8,0.069,F,8,0.17,F,8,0,1,D,9,0,C,8,284.646946
1/1/1996,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,12.8,B,8,11.9,B,8,94,A,7,1000,E,9,360,A,7,1.5,A,7,4000,B,7,60,A,7,2.2,E,8,0.069,F,8,0.17,F,8,0,1,D,9,0,C,8,284.5596765
1/1/1996,8:00,57,955,6,1,25,0,1,28,6,1,25,7,1,25,0,1,28,7,1,25,24,1,45,10,E,9,10,A,7,12,B,8,11.6,B,8,97,A,7,1000,E,9,80,A,7,2,A,7,2800,B,7,60,A,7,2.2,E,8,0.069,F,8,0.17,F,8,0,1,D,9,0,C,8,284.1477714
1/1/1996,9:00,297,1415,42,1,25,0,1,28,42,1,25,49,1,25,0,1,28,49,1,25,166,1,45,10,E,9,10,A,7,12.8,B,8,12,B,8,95,A,7,1000,E,9,0,A,7,0,A,7,2800,B,7,90,A,7,2.2,E,8,0.069,F,8,0.17,F,8,0,1,D,9,0,C,8,283.9141517
1/1/1996,10:00,519,1415,79,1,25,0,1,28,79,1,25,93,1,25,0,1,28,93,1,25,338,1,45,10,E,9,10,A,7,13.8,A,7,12.2,A,7,90,A,7,1000,E,9,80,A,7,3.6,A,7,1200,B,7,60,A,7,2.2,E,8,0.069,F,8,0.17,F,8,0,1,D,9,0,C,8,284.1084898
