722536,RANDOLPH AFB,TX,-6,29.533,-98.283,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1997,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,17,A,7,16,A,7,94,A,7,991,A,7,100,A,7,2.6,A,7,11300,B,7,210,A,7,2.4,E,8,0.061,F,8,0.18,F,8,0,1,D,9,0,C,8,290
1/1/1997,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,17,A,7,16,A,7,94,A,7,991,A,7,50,A,7,1.5,A,7,11300,B,7,210,A,7,2.4,E,8,0.061,F,8,0.18,F,8,0,1,D,9,10,C,8,289.1795674
1/1/1997,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,17,A,7,17,A,7,100,A,7,991,A,7,40,A,7,2.1,A,7,6400,B,7,120,A,7,2.4,E,8,0.061,F,8,0.18,F,8,0,1,D,9,10,C,8,288.7831234
1/1/1997,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,17,A,7,16,A,7,94,A,7,990,A,7,40,B,8,1,A,7,4800,B,7,120,A,7,2.4,E,8,0.061,F,8,0.18,F,8,0,1,D,9,10,C,8,288.593691
1/1/1997,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,16,A,7,16,A,7,100,A,7,990,A,7,30,A,7,2.1,A,7,8000,B,7,240,A,7,2.4,E,8,0.061,F,8,0.18,F,8,0,1,D,9,10,C,8,288.1854824
1/1/1997,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,16,A,7,16,A,7,100,A,7,990,A,7,60,A,7,2.1,A,7,11300,B,7,240,A,7,2.5,E,8,0.061,F,8,0.18,F,8,0,1,D,9,10,C,8,287.7960827
1/1/1997,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,16,A,7,16,A,7,100,A,7,991,A,7,30,A,7,2.6,A,7,1200,B,7,60,A,7,2.4,E,8,0.061,F,8,0.18,F,8,0,1,D,9,10,C,8,287.6092947
1/1/1997,8:00,33,719,3,1,11,0,1,17,3,1,11,4,1,11,0,1,17,4,1,11,12,1,23,10,A,7,10,E,9,16,A,7,16,A,7,100,A,7,991,A,7,30,A,7,2.1,A,7,600,B,7,15,A,7,2.4,E,8,0.061,F,8,0.18,F,8,0,1,D,9,45,C,8,287.5110395
1/1/1997,9:00,266,1415,28,1,11,0,1,17,28,1,11,33,1,11,0,1,17,33,1,11,114,1,23,10,A,7,10,E,9,16,A,7,16,A,7,100,A,7,992,A,7,40,A,7,2.1,A,7,800,B,7,120,A,7,2.4,E,8,0.061,F,8,0.18,F,8,0,1,D,9,44,C,8,287.3698059
1/1/1997,10:00,504,1415,61,1,11,0,1,17,61,1,11,73,1,11,0,1,17,73,1,11,268,1,23,10,A,7,10,E,9,17,A,7,16,A,7,94,A,7,992,A,7,20,A,7,2.6,A,7,1600,B,7,120,A,7,2.4,E,8,0.061,F,8,0.18,F,8,0,1,D,9,10,C,8,287.4840519
1/1/1997,11:00,690,1415,93,1,11,0,1,17,93,1,11,112,1,11,0,1,17,112,1,11,432,1,23,10,A,7,10,E,9,17,A,7,16,A,7,94,A,7,992,A,7,70,A,7,2.6,A,7,4800,B,7,120,A,7,2.4,E,8,0.061,F,8,0.18,F,8,0,1,D,9,10,C,8,287.5557701
1/1/1997,12:00,811,1415,138,1,11,0,1,17,138,1,11,165,1,11,0,1,17,165,1,11,643,1,23,10,A,7,10,E,9,19,A,7,17,A,7,88,A,7,991,A,7,60,A,7,3.1,A,7,9700,B,7,210,A,7,2.4,E,8,0.061,F,8,0.18,F,8,0,1,D,9,10,C,8,288.102887
1/1/1997,13:00,858,1415,148,1,11,0,1,17,148,1,11,177,1,11,0,1,17,177,1,11,698,1,23,10,A,7,10,E,9,19,A,7,17,A,7,88,A,7,991,A,7,60,A,7,3.1,A,7,11300,B,7,330,A,7,2.3,E,8,0.061,F,8,0.18,F,8,0,1,D,9,10,C,8,288.6195937
1/1/1997,14:00,829,1415,142,1,11,0,1,17,142,1,11,169,1,11,0,1,17,169,1,11,665,1,23,10,A,7,10,E,9,20,A,7,17,A,7,83,A,7,990,A,7,70,A,7,2.6,A,7,11300,B,7,390,A,7,2.3,E,8,0.061,F,8,0.18,F,8,0,1,D,9,10,C,8,289.20885
1/1/1997,15:00,724,1415,142,1,11,0,1,17,142,1,11,166,1,11,0,1,17,166,1,11,626,1,23,10,A,7,10,E,9,21,A,7,17,A,7,78,A,7,989,A,7,110,A,7,1.5,A,7,11300,B,7,540,A,7,2.3,E,8,0.061,F,8,0.18,F,8,0,1,D,9,10,C,8,290.0476122
1/1/1997,16:00,552,1415,325,1,11,459,1,17,146,1,11,338,1,11,437,1,17,167,1,11,289,1,23,5,A,7,5,E,9,22,A,7,17,A,7,73,A,7,989,A,7,90,A,7,3.1,A,7,11300,B,7,77777,A,7,2.3,E,8,0.061,F,8,0.18,F,8,0,1,D,9,10,C,8,294.0371875
