722540,AUSTIN MUELLER MUNICIPAL AP [UT],TX,-6,30.29,-97.74,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1994,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,11.7,A,7,8.9,A,7,83,A,7,997,A,7,170,A,7,3.1,A,7,16000,B,7,427,A,7,2,E,8,0.068,F,8,0.18,F,8,0,1,D,9,0,C,8,284.7
1/1/1994,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,12.2,A,7,8.9,A,7,80,A,7,996,A,7,180,A,7,2.6,A,7,16000,B,7,427,A,7,2,E,8,0.068,F,8,0.18,F,8,0,1,D,9,0,C,8,284.0554942
1/1/1994,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,12.2,A,7,8.9,A,7,80,A,7,996,A,7,160,A,7,2.6,A,7,16000,B,7,335,A,7,2,E,8,0.068,F,8,0.18,F,8,0,1,D,9,0,C,8,283.8727599
1/1/1994,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,4,A,7,11.1,A,7,9.4,A,7,89,A,7,996,A,7,230,A,7,1.5,A,7,14400,B,7,77777,A,7,2,E,8,0.068,F,8,0.18,F,8,0,1,D,9,0,C,8,283.4423192
1/1/1994,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,A,7,3,A,7,10,A,7,8.9,A,7,93,A,7,996,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,2,E,8,0.068,F,8,0.18,F,8,0,1,D,9,0,C,8,282.650875
1/1/1994,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,9.4,A,7,8.3,A,7,93,A,7,996,A,7,230,A,7,1.5,A,7,16000,B,7,77777,A,7,2,E,8,0.068,F,8,0.18,F,8,0,1,D,9,1,C,8,281.9231732
1/1/1994,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,8.3,A,7,7.8,A,7,97,A,7,997,A,7,170,A,7,1.5,A,7,16000,B,7,77777,A,7,2,E,8,0.068,F,8,0.18,F,8,0,1,D,9,0,C,8,281.1066789
1/1/1994,8:00,34,719,12,1,10,126,1,16,6,1,10,14,1,10,66,1,16,10,1,10,15,1,21,0,A,7,0,A,7,11.7,A,7,10,A,7,89,A,7,997,A,7,270,A,7,3.1,A,7,16000,B,7,77777,A,7,1.9,E,8,0.068,F,8,0.18,F,8,0,1,D,9,0,C,8,281.9267753
1/1/1994,9:00,265,1415,143,1,10,589,1,16,33,1,10,148,1,10,460,1,16,62,1,10,67,1,21,0,A,7,0,A,7,13.3,A,7,10,A,7,80,A,7,997,A,7,250,A,7,1.5,A,7,24000,B,7,77777,A,7,1.9,E,8,0.068,F,8,0.18,F,8,0,1,D,9,0,C,8,284.2198537
1/1/1994,10:00,499,1415,327,1,10,786,1,16,49,1,10,345,1,10,730,1,16,86,1,10,113,1,21,0,A,7,0,A,7,15,A,7,10.6,A,7,75,A,7,998,A,7,270,A,7,6.2,A,7,24000,B,7,77777,A,7,1.9,E,8,0.068,F,8,0.18,F,8,0,1,D,9,0,C,8,287.0853066
