722550,VICTORIA REGIONAL AP,TX,-6,28.867,-96.933,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1994,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,12.8,A,7,10,A,7,83,A,7,1016,A,7,50,A,7,2.6,A,7,16000,B,7,914,A,7,1.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,285.8
1/1/1994,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,12.8,A,7,10.6,A,7,86,A,7,1016,A,7,10,A,7,2.1,A,7,11200,B,7,701,A,7,1.9,E,8,0,F,8,0,F,8,3,1,D,9,0,C,8,284.9949648
1/1/1994,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,12.2,A,7,10.6,A,7,90,A,7,1016,A,7,210,A,7,3.1,A,7,16000,B,7,518,A,7,1.9,E,8,0,F,8,0,F,8,3,1,D,9,61,C,8,284.4490211
1/1/1994,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,12.2,A,7,10.6,A,7,90,A,7,1015,A,7,290,A,7,1.5,A,7,16000,B,7,396,A,7,1.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,284.0637263
1/1/1994,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,12.2,A,7,8.9,A,7,80,A,7,1015,A,7,300,A,7,2.6,A,7,11200,B,7,213,A,7,1.8,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,283.8767094
1/1/1994,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,11.7,A,7,6.7,A,7,71,A,7,1016,A,7,310,A,7,2.1,A,7,11200,B,7,274,A,7,1.8,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,283.6271026
1/1/1994,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,A,7,5,A,7,11.1,A,7,10,A,7,93,A,7,1016,A,7,320,A,7,1.5,A,7,16000,B,7,7620,A,7,1.8,E,8,0,F,8,0,F,8,0,1,D,9,2,C,8,283.2239794
1/1/1994,8:00,51,884,16,1,10,15,1,16,15,1,10,18,1,10,8,1,16,17,1,10,38,1,21,7,A,7,7,A,7,10.6,A,7,8.3,A,7,86,A,7,1016,A,7,340,A,7,1.5,A,7,11200,B,7,7620,A,7,1.8,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,282.7385648
1/1/1994,9:00,298,1415,123,1,10,191,1,16,83,1,10,130,1,10,147,1,16,98,1,10,162,1,21,9,A,7,9,A,7,12.2,A,7,10.6,A,7,90,A,7,1016,A,7,0,A,7,0,A,7,11200,B,7,1524,A,7,1.8,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,282.9432313
1/1/1994,10:00,534,1415,110,1,10,0,1,16,110,1,10,127,1,10,0,1,16,127,1,10,446,1,21,10,A,7,10,A,7,13.9,A,7,11.7,A,7,87,A,7,1017,A,7,340,A,7,2.1,A,7,11200,B,7,1372,A,7,1.8,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,283.5759467
