722576,ROBERT GRAY AAF,TX,-6,31.067,-97.833,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1997,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,14,A,7,13,A,7,94,A,7,981,A,7,240,A,7,0.5,A,7,9700,B,7,1200,A,7,2.4,E,8,0.056,F,8,0.18,F,8,0,1,D,9,10,C,8,287
1/1/1997,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,13,A,7,13,A,7,100,A,7,981,A,7,290,A,7,2.6,A,7,9700,B,7,600,A,7,2.4,E,8,0.056,F,8,0.18,F,8,0,1,D,9,10,C,8,285.9032894
1/1/1997,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,15,A,7,14,A,7,94,A,7,981,A,7,240,B,8,0.5,A,7,9700,B,7,600,A,7,2.4,E,8,0.056,F,8,0.18,F,8,0,1,D,9,10,C,8,285.8535123
1/1/1997,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,15,A,7,15,A,7,100,A,7,981,A,7,190,A,7,2.1,A,7,11300,B,7,540,A,7,2.4,E,8,0.056,F,8,0.18,F,8,0,1,D,9,10,C,8,286.1869894
1/1/1997,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,16,A,7,15,A,7,94,A,7,981,A,7,170,A,7,1.5,A,7,11300,B,7,270,A,7,2.4,E,8,0.056,F,8,0.18,F,8,0,1,D,9,10,C,8,286.6846026
1/1/1997,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,16,A,7,16,A,7,100,A,7,981,A,7,180,A,7,1.5,A,7,1600,B,7,60,A,7,2.4,E,8,0.056,F,8,0.18,F,8,0,1,D,9,10,C,8,287.1033367
1/1/1997,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,16,A,7,15,A,7,94,A,7,982,A,7,190,B,8,2.1,A,7,200,B,7,30,A,7,2.4,E,8,0.056,F,8,0.18,F,8,0,1,D,9,44,C,8,287.2901254
1/1/1997,8:00,29,672,11,1,11,9,1,17,10,1,11,11,1,11,5,1,17,11,1,11,25,1,23,9,A,7,9,E,9,15,A,7,15,A,7,100,A,7,982,A,7,190,A,7,2.1,A,7,600,B,7,30,A,7,2.4,E,8,0.056,F,8,0.18,F,8,0,1,D,9,44,C,8,287.0411364
1/1/1997,9:00,252,1415,34,1,11,0,1,17,34,1,11,40,1,11,0,1,17,40,1,11,133,1,23,10,A,7,10,E,9,16,A,7,16,A,7,100,A,7,982,A,7,160,A,7,1.5,A,7,400,B,7,30,A,7,2.4,E,8,0.056,F,8,0.18,F,8,0,1,D,9,44,C,8,286.9363902
1/1/1997,10:00,485,1415,73,1,11,0,1,17,73,1,11,86,1,11,0,1,17,86,1,11,309,1,23,10,A,7,10,E,9,17,A,7,17,A,7,100,A,7,982,A,7,180,A,7,3.1,A,7,400,B,7,30,A,7,2.4,E,8,0.056,F,8,0.18,F,8,0,1,D,9,44,C,8,287.2417196
