722577,DRAUGHON MILLER CEN,TX,-6,31.15,-97.4,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1997,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,A,7,13,A,7,12,A,7,94,A,7,988,E,9,0,A,7,0,A,7,16100,B,7,2700,A,7,2.5,E,8,0.058,F,8,0.18,F,8,0,1,D,9,0,C,8,286
1/1/1997,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,12.2,E,9,11.3,E,9,94,A,7,988,E,9,0,E,9,0,E,9,16100,C,8,0,E,9,2.5,E,8,0.058,F,8,0.18,F,8,0,1,D,9,0,C,8,284.9152199
1/1/1997,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,12.5,E,9,11.1,E,9,91,A,7,988,E,9,20,E,9,0.7,E,9,16100,C,8,0,E,9,2.5,E,8,0.058,F,8,0.18,F,8,0,1,D,9,0,C,8,284.3901962
1/1/1997,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,12.3,E,9,10.9,E,9,91,A,7,988,E,9,50,E,9,2.2,E,9,16100,C,8,0,E,9,2.5,E,8,0.058,F,8,0.18,F,8,0,1,D,9,0,C,8,284.122507
1/1/1997,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,12.1,E,9,11.3,E,9,95,A,7,988,E,9,60,E,9,0.4,E,9,16100,C,8,0,E,9,2.5,E,8,0.058,F,8,0.18,F,8,0,1,D,9,0,C,8,283.8917615
1/1/1997,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,E,9,12.4,E,9,11.6,E,9,95,A,7,988,E,9,60,E,9,2.9,E,9,16100,C,8,0,E,9,2.6,E,8,0.058,F,8,0.18,F,8,0,1,D,9,0,C,8,283.8419631
1/1/1997,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,E,9,12.1,E,9,10.9,E,9,92,A,7,988,E,9,80,E,9,2.1,E,9,16100,C,8,0,E,9,2.5,E,8,0.058,F,8,0.18,F,8,0,1,D,9,0,C,8,283.7776606
1/1/1997,8:00,32,719,7,1,28,12,1,31,6,1,28,8,1,28,5,1,31,8,1,28,12,1,50,9,E,9,9,E,9,11.8,E,9,10.8,E,9,94,A,7,988,E,9,90,E,9,3.5,E,9,16100,C,8,0,E,9,2.5,E,8,0.058,F,8,0.18,F,8,0,1,D,9,0,C,8,283.6075382
1/1/1997,9:00,259,1415,124,1,28,38,1,31,117,1,28,135,1,28,31,1,31,129,1,28,241,1,50,9,E,9,9,E,9,12.2,E,9,11.1,E,9,93,A,7,988,E,9,110,E,9,4.4,E,9,16100,C,8,0,E,9,2.5,E,8,0.058,F,8,0.18,F,8,0,1,D,9,0,C,8,283.2428152
1/1/1997,10:00,490,1415,143,1,28,191,1,31,77,1,28,159,1,28,182,1,31,96,1,28,143,1,50,8,E,9,8,E,9,13.1,E,9,11.5,E,9,90,A,7,988,E,9,120,E,9,3.1,E,9,16100,C,8,0,E,9,2.5,E,8,0.058,F,8,0.18,F,8,0,1,D,9,0,C,8,283.7598855
1/1/1997,11:00,670,1415,303,1,28,227,1,31,196,1,28,324,1,28,233,1,31,213,1,28,436,1,50,6,E,9,6,E,9,14,E,9,11.3,E,9,84,A,7,988,E,9,120,E,9,5.6,E,9,16100,C,8,7031,E,9,2.5,E,8,0.058,F,8,0.18,F,8,0,1,D,9,0,C,8,284.8022592
