722583,DALLAS LOVE FIELD,TX,-6,32.85,-96.85,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2002,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1.7,A,7,-8.3,A,7,44,A,7,1010,A,7,30,A,7,4.1,A,7,16000,B,7,2438,A,7,1.3,E,8,0.059,F,8,0.18,F,8,0,1,D,9,0,C,8,274.7
1/1/2002,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,1.7,A,7,-8.3,A,7,44,A,7,1011,A,7,30,A,7,3.6,A,7,16000,B,7,2743,A,7,1.3,E,8,0.059,F,8,0.18,F,8,0,1,D,9,0,C,8,274.1382768
1/1/2002,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,8,E,9,1.1,A,7,-8.3,A,7,46,A,7,1011,A,7,30,A,7,3.6,A,7,16000,B,7,7620,A,7,1.3,E,8,0.059,F,8,0.18,F,8,0,1,D,9,0,C,8,273.8009237
1/1/2002,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1.1,A,7,-9.4,A,7,41,A,7,1011,A,7,20,A,7,3.6,A,7,16000,B,7,1981,A,7,1.3,E,8,0.059,F,8,0.18,F,8,0,1,D,9,0,C,8,273.2967261
1/1/2002,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,1.1,A,7,-9.4,A,7,41,A,7,1010,A,7,40,A,7,3.1,A,7,16000,B,7,3658,A,7,1.3,E,8,0.059,F,8,0.18,F,8,0,1,D,9,0,C,8,273.0365098
1/1/2002,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,1.1,A,7,-9.4,A,7,41,A,7,1010,A,7,20,A,7,3.6,A,7,16000,B,7,3353,A,7,1.2,E,8,0.059,F,8,0.18,F,8,0,1,D,9,0,C,8,272.9077346
1/1/2002,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,0.6,A,7,-8.9,A,7,45,A,7,1011,A,7,20,A,7,2.6,A,7,16000,B,7,3353,A,7,1.2,E,8,0.059,F,8,0.18,F,8,0,1,D,9,0,C,8,272.6889771
1/1/2002,8:00,28,672,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,10,E,9,10,E,9,1.1,A,7,-8.9,A,7,43,A,7,1012,A,7,30,A,7,3.1,A,7,16000,B,7,2743,A,7,1.2,E,8,0.059,F,8,0.18,F,8,0,1,D,9,0,C,8,272.6456842
1/1/2002,9:00,244,1415,144,2,8,315,2,15,89,2,8,147,2,8,217,2,15,110,2,8,183,2,19,7,E,9,7,E,9,1.7,A,7,-8.3,A,7,44,A,7,1013,A,7,30,A,7,3.1,A,7,16000,B,7,4267,A,7,1.2,E,8,0.059,F,8,0.18,F,8,0,1,D,9,0,C,8,273.2641297
1/1/2002,10:00,470,1415,156,2,8,38,2,15,143,2,8,171,2,8,36,2,15,159,2,8,377,2,19,9,E,9,9,E,9,2.2,A,7,-8.3,A,7,42,A,7,1014,A,7,40,A,7,4.1,A,7,16000,B,7,2286,A,7,1.2,E,8,0.059,F,8,0.18,F,8,0,1,D,9,0,C,8,273.1578667
