722590,DALLAS-FORT WORTH INTL AP,TX,-6,32.9,-97.017,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1981,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,7.8,A,7,-0.6,A,7,56,A,7,1000,A,7,330,A,7,3.6,A,7,24100,B,7,77777,A,7,1.3,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,280.8
1/1/1981,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,6.7,A,7,-0.6,A,7,60,A,7,1000,A,7,320,A,7,4.1,A,7,24100,B,7,77777,A,7,1.3,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,278.8965176
1/1/1981,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,5.6,A,7,-1.1,A,7,63,A,7,1000,A,7,320,A,7,3.6,A,7,24100,B,7,77777,A,7,1.3,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,277.9494886
1/1/1981,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,5,A,7,-0.6,A,7,68,A,7,1001,A,7,330,A,7,4.1,A,7,19300,B,7,77777,A,7,1.3,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,277.3995985
1/1/1981,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,5.6,A,7,-0.6,A,7,65,A,7,1001,A,7,320,A,7,4.1,A,7,19300,B,7,77777,A,7,1.3,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,277.1924518
1/1/1981,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,6.7,A,7,-0.6,A,7,60,A,7,1002,A,7,310,A,7,4.6,A,7,19300,B,7,77777,A,7,1.3,E,8,0,F,8,0,?,0,0,1,D,9,2,C,8,277.5757655
1/1/1981,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,5,A,7,-0.6,A,7,68,A,7,1003,A,7,320,A,7,3.6,A,7,19300,B,7,77777,A,7,1.3,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,277.4166137
1/1/1981,8:00,26,649,18,1,13,54,1,13,12,1,13,16,1,13,17,1,13,15,1,13,21,1,23,3,A,7,3,A,7,4.4,A,7,-0.6,A,7,70,A,7,1004,A,7,320,A,7,4.1,A,7,24100,B,7,77777,A,7,1.3,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,277.1877885
1/1/1981,9:00,240,1415,113,1,13,299,1,13,62,1,13,116,1,13,207,1,13,81,1,13,114,1,23,6,A,7,3,A,7,8.9,A,7,0.6,A,7,56,A,7,1005,A,7,310,A,7,3.6,A,7,19300,B,7,77777,A,7,1.3,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,278.6553135
1/1/1981,10:00,466,1415,246,1,13,401,1,13,113,1,13,256,1,13,365,1,13,136,1,13,215,1,23,9,A,7,3,A,7,11.1,A,7,0.6,A,7,49,A,7,1006,A,7,320,A,7,3.1,A,7,19300,B,7,77777,A,7,1.3,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,281.0471946
