722594,FORT WORTH ALLIANCE,TX,-6,32.983,-97.317,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1994,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,9,B,8,8.1,B,8,0.7,B,8,60,A,7,990,E,9,180,B,8,5.1,B,8,32200,C,8,14750,B,8,1.4,E,8,0.071,F,8,0.18,F,8,0,1,D,9,0,C,8,281.1
1/1/1994,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,8.3,A,7,-1.7,A,7,48,A,7,989,E,9,180,A,7,5.1,A,7,32200,B,7,7500,A,7,1.5,E,8,0.071,F,8,0.18,F,8,0,1,D,9,0,C,8,280.1902193
1/1/1994,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,B,8,8,B,8,7.4,B,8,-0.3,B,8,58,A,7,988,E,9,190,B,8,4.6,B,8,30175,C,8,11125,B,8,1.5,E,8,0.071,F,8,0.18,F,8,0,1,D,9,0,C,8,279.7484017
1/1/1994,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,B,8,5,B,8,6.3,B,8,0.7,B,8,67,A,7,988,E,9,200,B,8,4.1,B,8,28150,C,8,14750,B,8,1.5,E,8,0.071,F,8,0.18,F,8,0,1,D,9,0,C,8,278.5827421
1/1/1994,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,B,8,3,B,8,4.9,B,8,1.5,B,8,79,A,7,987,E,9,210,B,8,3.5,B,8,26125,C,8,18375,B,8,1.5,E,8,0.071,F,8,0.18,F,8,0,1,D,9,0,C,8,277.9117826
1/1/1994,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,3.8,A,7,2.7,A,7,93,A,7,986,E,9,220,A,7,3,A,7,24100,B,7,77777,A,7,1.5,E,8,0.071,F,8,0.18,F,8,0,1,D,9,0,C,8,276.8049795
1/1/1994,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,3.3,A,7,2.7,A,7,96,A,7,986,E,9,0,A,7,0,A,7,24100,B,7,77777,A,7,1.5,E,8,0.071,F,8,0.18,F,8,0,1,D,9,0,C,8,275.9798986
1/1/1994,8:00,23,625,6,1,24,57,1,27,4,1,24,0,1,24,0,1,27,0,1,24,0,1,43,0,A,7,0,E,9,2.2,A,7,1.6,A,7,96,A,7,985,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,1.5,E,8,0.071,F,8,0.18,F,8,0,1,D,9,0,C,8,275.3168916
1/1/1994,9:00,235,1415,116,1,24,472,1,27,38,1,24,120,1,24,337,1,27,64,1,24,70,1,43,0,A,7,0,E,9,8.3,A,7,5,A,7,80,A,7,985,E,9,300,A,7,6.1,A,7,16100,B,7,77777,A,7,1.5,E,8,0.071,F,8,0.18,F,8,0,1,D,9,0,C,8,277.5863127
1/1/1994,10:00,461,1415,288,1,24,707,1,27,58,1,24,300,1,24,644,1,27,89,1,24,116,1,43,0,A,7,0,E,9,11.1,A,7,2.2,A,7,54,A,7,984,E,9,360,A,7,7.7,A,7,32200,B,7,77777,A,7,1.5,E,8,0.071,F,8,0.18,F,8,0,1,D,9,0,C,8,281.4844215
