722595,FORT WORTH NAS,TX,-6,32.767,-97.45,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2002,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,-7,A,7,51,A,7,1004,A,7,30,A,7,3.1,A,7,11200,B,7,2438,A,7,1.4,E,8,0.058,F,8,0.18,F,8,0,1,D,9,0,C,8,274
1/1/2002,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,-7,A,7,51,A,7,1005,B,8,30,A,7,2.6,A,7,11200,B,7,2286,A,7,1.4,E,8,0.058,F,8,0.18,F,8,0,1,D,9,0,C,8,273.2886056
1/1/2002,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,6.1,A,7,-6.7,A,7,37,A,7,1005,A,7,20,A,7,2.6,A,7,11200,B,7,2286,A,7,1.4,E,8,0.058,F,8,0.18,F,8,0,1,D,9,0,C,8,274.7665468
1/1/2002,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,-6,A,7,56,A,7,1004,A,7,360,A,7,2.6,A,7,11200,B,7,2286,A,7,1.3,E,8,0.058,F,8,0.18,F,8,0,1,D,9,0,C,8,274.4838956
1/1/2002,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,A,7,8,E,9,1,A,7,-6,A,7,56,A,7,1004,A,7,20,A,7,2.6,A,7,11200,B,7,2438,A,7,1.3,E,8,0.058,F,8,0.18,F,8,0,1,D,9,0,C,8,273.3911207
1/1/2002,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,B,8,8,B,8,0.6,B,8,-5.9,B,8,58,A,7,1004,B,8,10,B,8,2.6,B,8,11200,C,8,2743,B,8,1.2,E,8,0.058,F,8,0.18,F,8,0,1,D,9,0,C,8,272.9188481
1/1/2002,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,8,E,9,0,A,7,-6,A,7,60,A,7,1005,A,7,360,A,7,2.6,A,7,11200,B,7,3048,A,7,1.2,E,8,0.058,F,8,0.18,F,8,0,1,D,9,0,C,8,272.4281554
1/1/2002,8:00,24,625,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,9,E,9,9,E,9,1.7,A,7,-6.1,A,7,53,A,7,1007,A,7,20,A,7,4.6,A,7,11200,B,7,3048,A,7,1.2,E,8,0.058,F,8,0.18,F,8,0,1,D,9,0,C,8,272.6093538
1/1/2002,9:00,235,1415,79,2,8,43,2,15,72,2,8,87,2,8,33,2,15,81,2,8,169,2,19,10,B,8,9,B,8,2.1,B,8,-6.4,B,8,50,A,7,1007,B,8,30,B,8,4.9,B,8,11200,C,8,3048,B,8,1.2,E,8,0.058,F,8,0.18,F,8,0,1,D,9,0,C,8,272.9904105
1/1/2002,10:00,463,1415,142,2,8,13,2,15,138,2,8,158,2,8,9,2,15,155,2,8,483,2,19,10,E,9,10,E,9,3,A,7,-7,A,7,45,A,7,1007,A,7,30,A,7,5.2,A,7,11200,B,7,3048,A,7,1.2,E,8,0.058,F,8,0.18,F,8,0,1,D,9,0,C,8,273.1546731
