722656,WINK WINKLER COUNTY AP,TX,-6,31.783,-103.2,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,A,7,3,E,9,2,A,7,-1,A,7,80,A,7,922,A,7,130,A,7,4.1,A,7,32200,B,7,77777,A,7,0.9,E,8,0.056,F,8,0.19,F,8,0,1,D,9,0,C,8,275
1/1/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,A,7,0,E,9,2,A,7,0,A,7,87,A,7,921,A,7,120,A,7,4.1,A,7,32200,B,7,77777,A,7,0.9,E,8,0.056,F,8,0.19,F,8,0,1,D,9,0,C,8,274.2863504
1/1/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,A,7,3,E,9,2,A,7,1,A,7,93,A,7,921,A,7,120,A,7,3.6,A,7,32200,B,7,77777,A,7,0.9,E,8,0.056,F,8,0.19,F,8,0,1,D,9,0,C,8,273.9739764
1/1/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,A,7,0,E,9,2,A,7,0,A,7,87,A,7,920,A,7,120,A,7,3.1,A,7,32200,B,7,77777,A,7,0.9,E,8,0.056,F,8,0.19,F,8,0,1,D,9,0,C,8,273.8186976
1/1/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2,A,7,0,A,7,87,A,7,920,A,7,120,A,7,4.1,A,7,32200,B,7,77777,A,7,0.9,E,8,0.056,F,8,0.19,F,8,0,1,D,9,0,C,8,273.7430886
1/1/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,A,7,2,E,9,1,A,7,1,A,7,100,A,7,920,A,7,130,A,7,4.1,A,7,32200,B,7,77777,A,7,0.9,E,8,0.056,F,8,0.19,F,8,0,1,D,9,0,C,8,273.4004243
1/1/1998,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,A,7,3,E,9,2,A,7,0,A,7,87,A,7,920,A,7,130,A,7,4.6,A,7,32200,B,7,77777,A,7,0.9,E,8,0.056,F,8,0.19,F,8,0,1,D,9,0,C,8,273.3554968
1/1/1998,8:00,1,130,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,2,A,7,2,E,9,0,A,7,-1,A,7,92,A,7,920,A,7,130,A,7,4.1,A,7,32200,B,7,77777,A,7,0.9,E,8,0.056,F,8,0.19,F,8,0,1,D,9,0,C,8,272.5904991
1/1/1998,9:00,152,1415,92,2,8,429,2,15,46,2,8,91,2,8,236,2,15,65,2,8,72,2,19,3,A,7,3,E,9,2,A,7,0,A,7,87,A,7,921,A,7,120,A,7,2.6,A,7,32200,B,7,77777,A,7,0.9,E,8,0.056,F,8,0.19,F,8,0,1,D,9,0,C,8,273.5267531
1/1/1998,10:00,396,1415,280,2,8,807,2,15,53,2,8,288,2,8,707,2,15,89,2,8,103,2,19,2,A,7,2,E,9,5,A,7,1,A,7,75,A,7,922,A,7,140,A,7,4.6,A,7,32200,B,7,77777,A,7,0.9,E,8,0.056,F,8,0.19,F,8,0,1,D,9,0,C,8,276.2270027
