722695,LAS CRUCES INTL,NM,-7,32.283,-106.917,1393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1997,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,7.1,B,8,-1.4,B,8,54,A,7,859,E,9,80,B,8,0.8,B,8,64400,C,8,6000,B,8,1.6,E,8,0.039,F,8,0.21,F,8,0,1,D,9,0,C,8,280.1
1/1/1997,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,9,B,8,7,B,8,-1.7,B,8,53,A,7,859,E,9,80,B,8,0.8,B,8,64400,C,8,6188,B,8,1.6,E,8,0.039,F,8,0.21,F,8,0,1,D,9,0,C,8,279.2779903
1/1/1997,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,9,B,8,6.7,B,8,-2.4,B,8,51,A,7,859,E,9,90,B,8,0.9,B,8,64400,C,8,6375,B,8,1.6,E,8,0.039,F,8,0.21,F,8,0,1,D,9,0,C,8,278.8351319
1/1/1997,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,9,B,8,6.6,B,8,-3,B,8,49,A,7,859,E,9,100,B,8,1,B,8,64400,C,8,6563,B,8,1.6,E,8,0.039,F,8,0.21,F,8,0,1,D,9,0,C,8,278.5266772
1/1/1997,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,9,B,8,6.5,B,8,-3.2,B,8,48,A,7,859,E,9,110,B,8,1.1,B,8,64400,C,8,6750,B,8,1.7,E,8,0.039,F,8,0.21,F,8,0,1,D,9,0,C,8,278.3250399
1/1/1997,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,9,B,8,6.8,B,8,-3,B,8,48,A,7,859,E,9,120,B,8,1.2,B,8,64400,C,8,6938,B,8,1.7,E,8,0.039,F,8,0.21,F,8,0,1,D,9,0,C,8,278.3060518
1/1/1997,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,9,B,8,6.9,B,8,-3.4,B,8,46,A,7,859,E,9,130,B,8,1.3,B,8,64400,C,8,7125,B,8,1.7,E,8,0.039,F,8,0.21,F,8,0,1,D,9,0,C,8,278.387581
1/1/1997,8:00,86,1167,15,1,25,18,1,28,14,1,25,18,1,25,9,1,28,17,1,25,29,1,45,9,B,8,9,B,8,9,B,8,-2.3,B,8,44,A,7,859,E,9,140,B,8,1.4,B,8,64400,C,8,7313,B,8,1.7,E,8,0.039,F,8,0.21,F,8,0,1,D,9,0,C,8,279.2126561
1/1/1997,9:00,331,1415,73,1,25,50,1,28,62,1,25,82,1,25,42,1,28,72,1,25,135,1,45,9,E,9,9,A,7,12,A,7,-3,A,7,34,A,7,859,E,9,150,A,7,1.5,A,7,64400,B,7,7500,A,7,1.7,E,8,0.039,F,8,0.21,F,8,0,1,D,9,0,C,8,281.0104594
1/1/1997,10:00,543,1415,200,1,28,73,1,31,172,1,28,219,1,28,70,1,31,192,1,28,466,1,50,9,E,9,9,E,9,12.5,E,9,-3.6,E,9,31,A,7,859,E,9,120,E,9,0.1,E,9,66700,C,8,7029,E,9,1.7,E,8,0.039,F,8,0.21,F,8,0,1,D,9,0,C,8,282.1537937
1/1/1997,11:00,698,1415,278,1,28,32,1,31,262,1,28,309,1,28,30,1,31,294,1,28,924,1,50,9,E,9,9,E,9,13.7,E,9,-2.4,E,9,32,A,7,859,E,9,70,E,9,0.1,E,9,69000,C,8,6557,E,9,1.7,E,8,0.039,F,8,0.21,F,8,0,1,D,9,0,C,8,282.5893187
1/1/1997,12:00,786,1415,311,1,28,86,1,31,263,1,28,341,1,28,87,1,31,293,1,28,805,1,50,9,E,9,9,E,9,16,E,9,-3.1,E,9,26,A,7,859,E,9,80,E,9,1.2,E,9,71300,C,8,6086,E,9,1.7,E,8,0.039,F,8,0.21,F,8,0,1,D,9,0,C,8,283.9674301
1/1/1997,13:00,801,1415,296,1,28,0,1,31,296,1,28,332,1,28,0,1,31,332,1,28,1097,1,50,9,E,9,9,E,9,17.2,E,9,-2.8,E,9,25,A,7,859,E,9,70,E,9,2.4,E,9,73600,C,8,5614,E,9,1.7,E,8,0.039,F,8,0.21,F,8,0,1,D,9,0,C,8,285.1396849
1/1/1997,14:00,741,1415,155,1,28,47,1,31,131,1,28,172,1,28,46,1,31,148,1,28,435,1,50,9,E,9,9,E,9,18.5,E,9,-2.5,E,9,23,A,7,859,E,9,40,E,9,1.5,E,9,75900,C,8,5143,E,9,1.7,E,8,0.039,F,8,0.21,F,8,0,1,D,9,0,C,8,286.8952923
1/1/1997,15:00,610,1415,307,1,28,186,1,31,226,1,28,329,1,28,185,1,31,249,1,28,540,1,50,9,E,9,9,E,9,18.7,E,9,-2.3,E,9,23,A,7,859,E,9,0,E,9,0,E,9,78200,C,8,4671,E,9,1.7,E,8,0.039,F,8,0.21,F,8,0,1,D,9,0,C,8,288.8792231
1/1/1997,16:00,418,1415,135,1,25,94,1,28,107,1,25,148,1,25,86,1,28,122,1,25,239,1,45,9,E,9,9,A,7,18,A,7,-3,A,7,23,A,7,859,E,9,0,A,7,0,A,7,80500,B,7,4200,A,7,1.7,E,8,0.039,F,8,0.21,F,8,0,1,D,9,0,C,8,289.7089349
1/1/1997,17:00,180,1415,76,1,25,88,1,28,65,1,25,81,1,25,55,1,28,74,1,25,137,1,45,9,B,8,9,B,8,17.3,B,8,-3.9,B,8,22,A,7,859,E,9,360,B,8,0.1,B,8,79493,C,8,5313,B,8,1.7,E,8,0.039,F,8,0.21,F,8,0,1,D,9,0,C,8,289.7274787
