722789,SCOTTSDALE MUNI,AZ,-7,33.617,-111.917,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,B,8,2,B,8,13,B,8,2.3,B,8,48,A,7,959,E,9,0,B,8,0,B,8,48300,C,8,77777,B,8,1.5,E,8,0.046,F,8,0.2,F,8,0,1,D,9,0,C,8,286
1/1/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,B,8,2,B,8,12.7,B,8,2.4,B,8,49,A,7,959,E,9,0,B,8,0,B,8,48300,C,8,77777,B,8,1.5,E,8,0.046,F,8,0.2,F,8,0,1,D,9,0,C,8,284.597152
1/1/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,B,8,2,B,8,12.2,B,8,2.6,B,8,52,A,7,959,E,9,0,B,8,0,B,8,48300,C,8,77777,B,8,1.5,E,8,0.046,F,8,0.2,F,8,0,1,D,9,0,C,8,284.2301249
1/1/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,B,8,2,B,8,11.9,B,8,2.8,B,8,54,A,7,959,E,9,0,B,8,0,B,8,48300,C,8,77777,B,8,1.5,E,8,0.046,F,8,0.2,F,8,0,1,D,9,0,C,8,283.8623328
1/1/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,B,8,2,B,8,11.7,B,8,3.4,B,8,57,A,7,959,E,9,0,B,8,0,B,8,48300,C,8,77777,B,8,1.5,E,8,0.046,F,8,0.2,F,8,0,1,D,9,0,C,8,283.5631528
1/1/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,2,A,7,12,A,7,3,A,7,54,A,7,959,E,9,0,A,7,0,A,7,48300,B,7,77777,A,7,1.6,E,8,0.046,F,8,0.2,F,8,0,1,D,9,0,C,8,283.4790199
1/1/1998,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,11,A,7,0,A,7,47,A,7,959,E,9,0,A,7,0,A,7,48300,B,7,77777,A,7,1.6,E,8,0.046,F,8,0.2,F,8,0,1,D,9,0,C,8,283.1773012
1/1/1998,8:00,23,625,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,A,7,13,A,7,0,A,7,41,A,7,959,E,9,0,A,7,0,A,7,80500,B,7,77777,A,7,1.6,E,8,0.046,F,8,0.2,F,8,0,1,D,9,0,C,8,283.5108672
1/1/1998,9:00,232,1415,119,2,9,580,2,21,23,2,9,126,2,9,448,2,21,52,2,9,59,2,25,0,E,9,0,A,7,13,A,7,-2,A,7,35,A,7,959,E,9,240,A,7,3.1,A,7,80500,B,7,77777,A,7,1.6,E,8,0.046,F,8,0.2,F,8,0,1,D,9,0,C,8,286.2988821
1/1/1998,10:00,456,1415,287,2,9,737,2,21,49,2,9,303,2,9,675,2,21,85,2,9,104,2,25,0,E,9,0,A,7,15,A,7,0,A,7,36,A,7,959,E,9,240,A,7,1.5,A,7,80500,B,7,77777,A,7,1.7,E,8,0.046,F,8,0.2,F,8,0,1,D,9,0,C,8,288.3425215
1/1/1998,11:00,629,1415,450,2,9,856,2,21,68,2,9,471,2,9,822,2,21,104,2,9,141,2,25,0,E,9,0,A,7,17,A,7,-1,A,7,29,A,7,959,E,9,260,A,7,2.1,A,7,80500,B,7,77777,A,7,1.7,E,8,0.046,F,8,0.2,F,8,0,1,D,9,0,C,8,290.3428043
1/1/1998,12:00,738,1415,526,2,9,855,2,21,78,2,9,548,2,9,836,2,21,111,2,9,164,2,25,0,E,9,0,A,7,18,A,7,-1,A,7,27,A,7,959,E,9,240,A,7,2.6,A,7,80500,B,7,77777,A,7,1.7,E,8,0.046,F,8,0.2,F,8,0,1,D,9,0,C,8,293.0380058
1/1/1998,13:00,777,1415,578,2,9,891,2,21,87,2,9,612,2,9,885,2,21,124,2,9,199,2,25,0,E,9,0,A,7,21,A,7,-1,A,7,23,A,7,959,E,9,190,A,7,2.1,A,7,80500,B,7,77777,A,7,1.7,E,8,0.046,F,8,0.2,F,8,0,1,D,9,0,C,8,295.9329501
1/1/1998,14:00,742,1415,540,2,9,886,2,21,73,2,9,564,2,9,867,2,21,107,2,9,162,2,25,0,B,8,0,B,8,22.1,B,8,-1.2,B,8,21,A,7,959,E,9,180,B,8,2.4,B,8,80500,C,8,77777,B,8,1.8,E,8,0.046,F,8,0.2,F,8,0,1,D,9,0,C,8,297.3406396
1/1/1998,15:00,635,1415,450,2,9,828,2,21,77,2,9,471,2,9,801,2,21,110,2,9,161,2,25,0,E,9,0,A,7,23,A,7,-1,A,7,20,A,7,959,E,9,160,A,7,2.6,A,7,80500,B,7,77777,A,7,1.8,E,8,0.046,F,8,0.2,F,8,0,1,D,9,0,C,8,298.3592835
1/1/1998,16:00,465,1415,338,2,9,772,2,21,83,2,9,349,2,9,698,2,21,119,2,9,156,2,25,0,E,9,0,A,7,23,A,7,-1,A,7,20,A,7,959,E,9,210,A,7,3.1,A,7,80500,B,7,77777,A,7,1.8,E,8,0.046,F,8,0.2,F,8,0,1,D,9,0,C,8,298.4856056
1/1/1998,17:00,244,1415,192,2,9,726,2,21,67,2,9,191,2,9,505,2,21,104,2,9,108,2,25,0,E,9,0,A,7,23,A,7,-1,A,7,20,A,7,959,E,9,170,A,7,3.6,A,7,80500,B,7,77777,A,7,1.8,E,8,0.046,F,8,0.2,F,8,0,1,D,9,0,C,8,298.1433066
1/1/1998,18:00,29,696,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,5,E,9,2,A,7,21,A,7,0,A,7,25,A,7,959,E,9,0,A,7,0,A,7,48300,B,7,77777,A,7,1.9,E,8,0.046,F,8,0.2,F,8,0,1,D,9,0,C,8,293.7011914
