722869,RIVERSIDE MUNI,CA,-8,33.95,-117.45,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,7,A,7,5,A,7,87,A,7,984,A,7,160,A,7,2.1,A,7,4000,B,7,77777,A,7,1.2,E,8,0.091,F,8,0.16,F,8,0,1,D,9,10,C,8,280
1/1/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,7,A,7,5,A,7,87,A,7,984,A,7,140,A,7,2.6,A,7,4000,B,7,77777,A,7,1.2,E,8,0.091,F,8,0.16,F,8,0,1,D,9,10,C,8,279.2769774
1/1/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3,A,7,2,A,7,93,A,7,985,A,7,0,A,7,0,A,7,3200,B,7,77777,A,7,1.2,E,8,0.091,F,8,0.16,F,8,0,1,D,9,10,C,8,277.5977646
1/1/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4,A,7,3,A,7,93,A,7,985,A,7,0,A,7,0,A,7,2800,B,7,77777,A,7,1.2,E,8,0.091,F,8,0.16,F,8,0,1,D,9,10,C,8,276.3867688
1/1/1999,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4,A,7,3,A,7,93,A,7,985,A,7,0,A,7,0,A,7,2400,B,7,77777,A,7,1.2,E,8,0.091,F,8,0.16,F,8,0,1,D,9,10,C,8,276.0075038
1/1/1999,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2,A,7,2,A,7,100,A,7,986,A,7,0,A,7,0,A,7,2800,B,7,77777,A,7,1.2,E,8,0.091,F,8,0.16,F,8,0,1,D,9,10,C,8,275.2562868
1/1/1999,7:00,0,83,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,0,E,9,0,E,9,3,A,7,2,A,7,93,A,7,986,A,7,130,A,7,3.1,A,7,3200,B,7,77777,A,7,1.1,E,8,0.091,F,8,0.16,F,8,0,1,D,9,0,C,8,274.7784339
1/1/1999,8:00,137,1415,49,2,8,254,2,15,24,2,8,50,2,8,141,2,15,36,2,8,43,2,19,0,E,9,0,E,9,6,A,7,3,A,7,81,A,7,987,A,7,140,A,7,3.1,A,7,16100,B,7,77777,A,7,1.1,E,8,0.091,F,8,0.16,F,8,0,1,D,9,0,C,8,277.3137341
1/1/1999,9:00,373,1415,203,2,8,492,2,15,73,2,8,208,2,8,414,2,15,98,2,8,132,2,19,0,E,9,0,E,9,13,A,7,3,A,7,51,A,7,987,A,7,60,A,7,3.1,A,7,16100,B,7,77777,A,7,1.1,E,8,0.091,F,8,0.16,F,8,0,1,D,9,0,C,8,283.3240671
1/1/1999,10:00,566,1415,361,2,8,662,2,15,95,2,8,376,2,8,628,2,15,124,2,8,187,2,19,0,E,9,0,E,9,20,A,7,-4,A,7,19,A,7,988,A,7,120,A,7,5.7,A,7,16100,B,7,77777,A,7,1.1,E,8,0.091,F,8,0.16,F,8,0,1,D,9,0,C,8,289.9899609
