722885,SANTA MONICA MUNI,CA,-8,34.017,-118.45,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,B,8,8,B,8,8.8,B,8,8.8,B,8,100,A,7,1012,E,9,30,B,8,2.7,B,8,1600,C,8,9070,B,8,1.2,E,8,0.105,F,8,0.14,F,8,0,1,D,9,0,C,8,281.8
1/1/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,B,8,7,B,8,8.5,B,8,8.5,B,8,100,A,7,1012,E,9,30,B,8,2.9,B,8,1600,C,8,11225,B,8,1.2,E,8,0.105,F,8,0.14,F,8,0,1,D,9,0,C,8,281.0420655
1/1/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,B,8,7,B,8,8.3,B,8,8.3,B,8,100,A,7,1013,E,9,30,B,8,3,B,8,1600,C,8,13380,B,8,1.2,E,8,0.105,F,8,0.14,F,8,0,1,D,9,10,C,8,280.4871722
1/1/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,B,8,6,B,8,8,B,8,8,B,8,100,A,7,1012,E,9,20,B,8,3.1,B,8,1600,C,8,15535,B,8,1.2,E,8,0.105,F,8,0.14,F,8,0,1,D,9,10,C,8,280.077038
1/1/1999,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,B,8,6,B,8,7.8,B,8,7.8,B,8,100,A,7,1013,E,9,20,B,8,3.3,B,8,1600,C,8,17690,B,8,1.2,E,8,0.105,F,8,0.14,F,8,0,1,D,9,10,C,8,279.7552634
1/1/1999,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,B,8,5,B,8,7.8,B,8,7.8,B,8,100,A,7,1013,E,9,10,B,8,3.5,B,8,1600,C,8,19845,B,8,1.2,E,8,0.105,F,8,0.14,F,8,0,1,D,9,10,C,8,279.5601798
1/1/1999,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,8,A,7,8,A,7,100,A,7,1014,E,9,10,A,7,3.6,A,7,1600,B,7,77777,A,7,1.2,E,8,0.105,F,8,0.14,F,8,0,1,D,9,10,C,8,279.5315602
1/1/1999,8:00,120,1403,41,2,8,267,2,15,19,2,8,45,2,8,146,2,15,32,2,8,35,2,19,4,E,9,4,E,9,8,A,7,8,A,7,100,A,7,1015,E,9,350,A,7,3.6,A,7,3200,B,7,77777,A,7,1.2,E,8,0.105,F,8,0.14,F,8,0,1,D,9,10,C,8,281.20565
1/1/1999,9:00,358,1415,203,2,8,563,2,15,60,2,8,210,2,8,472,2,15,90,2,8,111,2,19,4,E,9,4,E,9,10,A,7,9,A,7,93,A,7,1016,E,9,0,A,7,0,A,7,3200,B,7,77777,A,7,1.1,E,8,0.105,F,8,0.14,F,8,0,1,D,9,10,C,8,285.0259473
1/1/1999,10:00,553,1415,368,2,8,723,2,15,84,2,8,386,2,8,686,2,15,116,2,8,167,2,19,4,E,9,4,E,9,13,A,7,10,A,7,82,A,7,1017,E,9,0,A,7,0,A,7,4800,B,7,77777,A,7,1.1,E,8,0.105,F,8,0.14,F,8,0,1,D,9,5,C,8,287.9745723
1/1/1999,11:00,691,1415,471,2,8,725,2,15,116,2,8,493,2,8,712,2,15,144,2,8,244,2,19,4,E,9,4,E,9,15,A,7,10,A,7,72,A,7,1016,E,9,210,A,7,3.6,A,7,4800,B,7,77777,A,7,1.1,E,8,0.105,F,8,0.14,F,8,0,1,D,9,5,C,8,289.4670252
1/1/1999,12:00,760,1415,533,2,8,778,2,15,114,2,8,565,2,8,777,2,15,145,2,8,255,2,19,0,E,9,0,E,9,17,A,7,9,A,7,59,A,7,1015,E,9,210,A,7,3.6,A,7,6400,B,7,77777,A,7,1.1,E,8,0.105,F,8,0.14,F,8,0,1,D,9,5,C,8,291.4524719
1/1/1999,13:00,757,1415,536,2,8,783,2,15,116,2,8,567,2,8,781,2,15,147,2,8,258,2,19,0,E,9,0,E,9,17,A,7,9,A,7,59,A,7,1014,E,9,230,A,7,4.1,A,7,8000,B,7,77777,A,7,1.1,E,8,0.105,F,8,0.14,F,8,0,1,D,9,5,C,8,292.8358809
1/1/1999,14:00,682,1415,485,2,8,774,2,15,110,2,8,508,2,8,760,2,15,141,2,8,231,2,19,0,E,9,0,E,9,18,A,7,11,A,7,64,A,7,1014,E,9,190,A,7,4.1,A,7,8000,B,7,77777,A,7,1.1,E,8,0.105,F,8,0.14,F,8,0,1,D,9,5,C,8,294.4588478
1/1/1999,15:00,539,1415,360,2,8,640,2,15,115,2,8,368,2,8,593,2,15,141,2,8,214,2,19,0,E,9,0,E,9,17,A,7,11,A,7,68,A,7,1014,E,9,200,A,7,4.1,A,7,8000,B,7,77777,A,7,1.1,E,8,0.105,F,8,0.14,F,8,0,1,D,9,5,C,8,294.6642576
1/1/1999,16:00,338,1415,230,2,8,505,2,15,109,2,8,232,2,8,408,2,15,134,2,8,209,2,19,0,E,9,0,E,9,15,A,7,11,A,7,77,A,7,1014,E,9,230,A,7,5.1,A,7,8000,B,7,77777,A,7,1.1,E,8,0.105,F,8,0.14,F,8,0,1,D,9,5,C,8,293.1536086
1/1/1999,17:00,100,1285,31,2,8,236,2,15,15,2,8,36,2,8,139,2,15,24,2,8,32,2,19,0,E,9,0,E,9,14,A,7,11,A,7,82,A,7,1014,E,9,200,A,7,4.1,A,7,6400,B,7,77777,A,7,1,E,8,0.105,F,8,0.14,F,8,0,1,D,9,5,C,8,290.7624398
