722886,VAN NUYS AIRPORT,CA,-8,34.217,-118.483,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,8,A,7,6,A,7,87,A,7,986,A,7,30,A,7,1.5,A,7,4000,B,7,77777,A,7,1.2,E,8,0.091,F,8,0.14,F,8,0,1,D,9,10,C,8,281
1/1/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,7,A,7,6,A,7,93,A,7,986,A,7,0,A,7,0,A,7,2800,B,7,77777,A,7,1.2,E,8,0.091,F,8,0.14,F,8,0,1,D,9,10,C,8,279.9019757
1/1/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,6,A,7,4,A,7,87,A,7,986,A,7,0,A,7,0,A,7,2800,B,7,77777,A,7,1.2,E,8,0.091,F,8,0.14,F,8,0,1,D,9,10,C,8,278.8448215
1/1/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,5,A,7,3,A,7,87,A,7,986,A,7,0,A,7,0,A,7,3200,B,7,77777,A,7,1.2,E,8,0.091,F,8,0.14,F,8,0,1,D,9,10,C,8,277.8140079
1/1/1999,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,6,A,7,4,A,7,87,A,7,986,A,7,150,A,7,2.1,A,7,2800,B,7,77777,A,7,1.2,E,8,0.091,F,8,0.14,F,8,0,1,D,9,10,C,8,277.5250804
1/1/1999,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6,A,7,4,A,7,87,A,7,987,A,7,70,A,7,3.6,A,7,4800,B,7,77777,A,7,1.2,E,8,0.091,F,8,0.14,F,8,0,1,D,9,5,C,8,277.5701586
1/1/1999,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,7,A,7,4,A,7,81,A,7,988,A,7,80,A,7,3.6,A,7,4800,B,7,77777,A,7,1.2,E,8,0.091,F,8,0.14,F,8,0,1,D,9,10,C,8,277.9280366
1/1/1999,8:00,117,1380,40,2,8,284,2,15,17,2,8,43,2,8,171,2,15,28,2,8,35,2,19,0,E,9,0,E,9,6,A,7,4,A,7,87,A,7,988,A,7,0,A,7,0,A,7,4800,B,7,77777,A,7,1.2,E,8,0.091,F,8,0.14,F,8,0,1,D,9,5,C,8,279.7253611
1/1/1999,9:00,354,1415,203,2,8,589,2,15,55,2,8,211,2,8,494,2,15,87,2,8,103,2,19,0,E,9,0,E,9,9,A,7,6,A,7,81,A,7,989,A,7,110,A,7,1.5,A,7,6400,B,7,77777,A,7,1.1,E,8,0.091,F,8,0.14,F,8,0,1,D,9,5,C,8,283.6807186
1/1/1999,10:00,549,1415,363,2,8,717,2,15,83,2,8,380,2,8,679,2,15,115,2,8,165,2,19,0,E,9,0,E,9,13,A,7,6,A,7,62,A,7,989,A,7,140,A,7,2.1,A,7,8000,B,7,77777,A,7,1.1,E,8,0.091,F,8,0.14,F,8,0,1,D,9,5,C,8,287.1344958
