722895,LOMPOC (AWOS),CA,-8,34.667,-120.467,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2001,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,1,E,9,-0.3,E,9,-3.9,E,9,74,A,7,1010,E,9,160,E,9,5.4,E,9,16100,C,8,16707,E,9,0.9,E,8,0.07,F,8,0.12,F,8,0,1,D,9,0,C,8,272.7
1/1/2001,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,-1.2,E,9,-3.9,E,9,80,A,7,1010,E,9,180,E,9,5.1,E,9,16100,C,8,17993,E,9,0.9,E,8,0.07,F,8,0.12,F,8,0,1,D,9,0,C,8,271.7998516
1/1/2001,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,-0.1,E,9,-4,E,9,72,A,7,1010,E,9,170,E,9,4.7,E,9,16100,C,8,19069,E,9,0.9,E,8,0.07,F,8,0.12,F,8,0,1,D,9,0,C,8,271.5038002
1/1/2001,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,0.9,E,9,-3,E,9,73,A,7,1010,E,9,170,E,9,4.4,E,9,16100,C,8,20715,E,9,0.9,E,8,0.07,F,8,0.12,F,8,0,1,D,9,0,C,8,271.8893946
1/1/2001,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,2,A,7,-3,A,7,67,A,7,1010,E,9,80,A,7,1.5,A,7,16100,B,7,77777,A,7,0.9,E,8,0.07,F,8,0.12,F,8,0,1,D,9,0,C,8,272.6402464
1/1/2001,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2.5,E,9,-2.5,E,9,68,A,7,1010,E,9,80,E,9,1.6,E,9,16100,C,8,77777,E,9,0.8,E,8,0.07,F,8,0.12,F,8,0,1,D,9,0,C,8,273.3672701
1/1/2001,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3,E,9,-1,E,9,74,A,7,1010,E,9,90,E,9,1.8,E,9,16100,C,8,77777,E,9,0.8,E,8,0.07,F,8,0.12,F,8,0,1,D,9,0,C,8,273.9648257
1/1/2001,8:00,82,1167,21,2,8,255,2,15,7,2,8,28,2,8,158,2,15,16,2,8,23,2,19,0,E,9,0,E,9,4.5,E,9,-0.5,E,9,70,A,7,1010,E,9,80,E,9,3,E,9,16100,C,8,77777,E,9,0.8,E,8,0.07,F,8,0.12,F,8,0,1,D,9,0,C,8,276.3770914
1/1/2001,9:00,317,1415,184,2,8,634,2,15,41,2,8,189,2,8,523,2,15,71,2,8,81,2,19,0,E,9,0,E,9,6,E,9,1,E,9,70,A,7,1010,E,9,80,E,9,2.6,E,9,16100,C,8,77777,E,9,0.8,E,8,0.07,F,8,0.12,F,8,0,1,D,9,0,C,8,281.271076
1/1/2001,10:00,519,1415,346,2,8,781,2,15,58,2,8,363,2,8,733,2,15,93,2,8,123,2,19,0,E,9,0,E,9,8.5,E,9,2.5,E,9,66,A,7,1010,E,9,100,E,9,2.7,E,9,16100,C,8,77777,E,9,0.8,E,8,0.07,F,8,0.12,F,8,0,1,D,9,0,C,8,284.4820245
