722927,CARLSBAD/PALOMAR,CA,-8,33.133,-117.283,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2000,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,9,A,7,9,A,7,100,A,7,1005,A,7,110,A,7,1.5,A,7,16100,B,7,77777,A,7,1.5,E,8,0.087,F,8,0.16,F,8,0,1,D,9,0,C,8,282
1/1/2000,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,9,A,7,8,A,7,93,A,7,1005,A,7,0,A,7,0,A,7,11300,B,7,1800,A,7,1.4,E,8,0.087,F,8,0.16,F,8,0,1,D,9,0,C,8,281.2865371
1/1/2000,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,9,A,7,8,A,7,93,A,7,1006,A,7,110,A,7,2.6,A,7,11300,B,7,1800,A,7,1.4,E,8,0.087,F,8,0.16,F,8,0,1,D,9,10,C,8,280.9120967
1/1/2000,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,9,A,7,9,A,7,100,A,7,1006,A,7,110,A,7,2.1,A,7,9700,B,7,1800,A,7,1.3,E,8,0.087,F,8,0.16,F,8,0,1,D,9,61,C,8,280.7287074
1/1/2000,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,9,A,7,8,A,7,93,A,7,1006,A,7,140,A,7,2.1,A,7,11300,B,7,1230,A,7,1.3,E,8,0.087,F,8,0.16,F,8,0,1,D,9,0,C,8,280.6409847
1/1/2000,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,9,A,7,8,A,7,93,A,7,1007,A,7,0,A,7,0,A,7,16100,B,7,1080,A,7,1.3,E,8,0.087,F,8,0.16,F,8,0,1,D,9,0,C,8,280.5994455
1/1/2000,7:00,1,153,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,8,E,9,8,E,9,9,A,7,8,A,7,93,A,7,1007,A,7,100,A,7,2.1,A,7,16100,B,7,1800,A,7,1.2,E,8,0.087,F,8,0.16,F,8,0,1,D,9,0,C,8,280.5798651
1/1/2000,8:00,150,1415,21,2,8,0,2,15,21,2,8,24,2,8,0,2,15,24,2,8,78,2,19,10,E,9,10,E,9,10,A,7,9,A,7,93,A,7,1008,A,7,120,A,7,1.5,A,7,14500,B,7,1050,A,7,1.2,E,8,0.087,F,8,0.16,F,8,0,1,D,9,61,C,8,280.8342249
1/1/2000,9:00,389,1415,86,2,8,0,2,15,86,2,8,98,2,8,0,2,15,98,2,8,321,2,19,10,E,9,10,E,9,11,A,7,9,A,7,87,A,7,1009,A,7,130,A,7,1.5,A,7,16100,B,7,810,A,7,1.1,E,8,0.087,F,8,0.16,F,8,0,1,D,9,0,C,8,281.2266139
1/1/2000,10:00,582,1415,230,2,8,98,2,15,189,2,8,252,2,8,95,2,15,212,2,8,520,2,19,10,E,9,10,E,9,12,A,7,9,A,7,82,A,7,1009,A,7,170,A,7,3.1,A,7,16100,B,7,1800,A,7,1.1,E,8,0.087,F,8,0.16,F,8,0,1,D,9,0,C,8,281.8698927
