722976,FULLERTON MUNICIPAL,CA,-8,33.867,-117.983,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2004,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6,A,7,-1,A,7,60,A,7,1015,A,7,0,A,7,0,A,7,12900,B,7,77777,A,7,1.5,E,8,0.116,F,8,0.16,F,8,0,1,D,9,0,C,8,279
1/1/2004,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6,A,7,-1,A,7,60,A,7,1015,A,7,90,A,7,2.6,A,7,11300,B,7,77777,A,7,1.5,E,8,0.116,F,8,0.16,F,8,0,1,D,9,0,C,8,278.2337598
1/1/2004,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,6,E,9,6,A,7,-1,A,7,60,A,7,1015,A,7,90,A,7,2.1,A,7,14500,B,7,77777,A,7,1.5,E,8,0.116,F,8,0.16,F,8,0,1,D,9,0,C,8,277.9128487
1/1/2004,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,7,E,9,6,A,7,1,A,7,70,A,7,1015,A,7,0,A,7,0,A,7,14500,B,7,77777,A,7,1.5,E,8,0.116,F,8,0.16,F,8,0,1,D,9,0,C,8,277.7552411
1/1/2004,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,5,A,7,1,A,7,75,A,7,1016,A,7,0,A,7,0,A,7,14500,B,7,77777,A,7,1.6,E,8,0.116,F,8,0.16,F,8,0,1,D,9,0,C,8,277.3713118
1/1/2004,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,6,A,7,-1,A,7,60,A,7,1016,A,7,90,A,7,1.5,A,7,16100,B,7,77777,A,7,1.6,E,8,0.116,F,8,0.16,F,8,0,1,D,9,0,C,8,277.3089013
1/1/2004,7:00,0,35,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,10,E,9,9,E,9,6,A,7,-1,A,7,60,A,7,1017,A,7,90,A,7,2.6,A,7,14500,B,7,77777,A,7,1.7,E,8,0.116,F,8,0.16,F,8,0,1,D,9,0,C,8,277.469113
1/1/2004,8:00,129,1415,22,2,8,4,2,15,22,2,8,26,2,8,0,2,15,26,2,8,79,2,19,7,E,9,6,E,9,8,A,7,1,A,7,61,A,7,1018,A,7,0,A,7,0,A,7,12900,B,7,77777,A,7,1.8,E,8,0.116,F,8,0.16,F,8,0,1,D,9,0,C,8,278.1818345
1/1/2004,9:00,367,1415,88,2,8,5,2,15,87,2,8,99,2,8,2,2,15,99,2,8,315,2,19,10,E,9,6,E,9,9,A,7,1,A,7,57,A,7,1019,A,7,90,A,7,3.1,A,7,14500,B,7,77777,A,7,1.9,E,8,0.116,F,8,0.16,F,8,0,1,D,9,0,C,8,278.9958701
1/1/2004,10:00,561,1415,279,2,8,247,2,15,180,2,8,293,2,8,243,2,15,196,2,8,390,2,19,9,E,9,6,E,9,12,A,7,0,A,7,44,A,7,1020,A,7,90,A,7,1.5,A,7,12900,B,7,77777,A,7,2,E,8,0.116,F,8,0.16,F,8,0,1,D,9,0,C,8,281.2103439
1/1/2004,11:00,697,1415,183,2,8,12,2,15,178,2,8,211,2,8,10,2,15,206,2,8,727,2,19,10,E,9,8,E,9,15,A,7,-1,A,7,33,A,7,1019,A,7,80,A,7,1.5,A,7,16100,B,7,77777,A,7,2,E,8,0.116,F,8,0.16,F,8,0,1,D,9,0,C,8,283.1790744
1/1/2004,12:00,764,1415,421,2,8,269,2,15,275,2,8,455,2,8,277,2,15,304,2,8,707,2,19,8,E,9,6,E,9,16,A,7,-2,A,7,28,A,7,1018,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,2,E,8,0.116,F,8,0.16,F,8,0,1,D,9,0,C,8,285.1149905
1/1/2004,13:00,759,1415,544,2,8,637,2,15,201,2,8,570,2,8,644,2,15,223,2,8,445,2,19,9,E,9,5,E,9,17,A,7,0,A,7,32,A,7,1017,A,7,290,B,8,2.1,A,7,12900,B,7,77777,A,7,2,E,8,0.116,F,8,0.16,F,8,0,1,D,9,0,C,8,288.9281341
1/1/2004,14:00,680,1415,329,2,8,161,2,15,251,2,8,354,2,8,163,2,15,275,2,8,618,2,19,1,E,9,1,E,9,18,A,7,1,A,7,32,A,7,1017,A,7,210,A,7,2.1,A,7,16100,B,7,77777,A,7,2,E,8,0.116,F,8,0.16,F,8,0,1,D,9,0,C,8,289.5613582
1/1/2004,15:00,535,1415,236,2,8,123,2,15,189,2,8,253,2,8,119,2,15,208,2,8,439,2,19,8,E,9,6,E,9,17,A,7,-1,A,7,29,A,7,1016,A,7,210,A,7,3.1,A,7,16100,B,7,77777,A,7,2,E,8,0.116,F,8,0.16,F,8,0,1,D,9,0,C,8,289.0861772
1/1/2004,16:00,333,1415,188,2,8,205,2,15,140,2,8,199,2,8,169,2,15,159,2,8,306,2,19,10,E,9,6,E,9,17,A,7,1,A,7,34,A,7,1017,A,7,200,A,7,3.1,A,7,16100,B,7,77777,A,7,1.9,E,8,0.116,F,8,0.16,F,8,0,1,D,9,0,C,8,289.2543902
1/1/2004,17:00,94,1238,23,2,8,92,2,15,17,2,8,27,2,8,42,2,15,23,2,8,29,2,19,9,E,9,6,E,9,15,A,7,7,A,7,59,A,7,1017,A,7,230,A,7,2.1,A,7,14500,B,7,77777,A,7,2,E,8,0.116,F,8,0.16,F,8,0,1,D,9,0,C,8,287.8963258
1/1/2004,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,13,A,7,9,A,7,77,A,7,1017,A,7,210,A,7,1.5,A,7,9700,B,7,77777,A,7,2.1,E,8,0.116,F,8,0.16,F,8,0,1,D,9,0,C,8,286.2774084
