723040,CAPE HATTERAS NWS BLDG,NC,-5,35.267,-75.55,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1988,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,9,A,7,15,A,7,12.2,A,7,84,A,7,1029,A,7,210,A,7,4.1,A,7,11300,B,7,460,A,7,2.3,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,288
1/1/1988,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,8,A,7,15,A,7,11.1,A,7,78,A,7,1028,A,7,260,A,7,3.6,A,7,11300,B,7,460,A,7,2.2,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,287.0229682
1/1/1988,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,6,A,7,15,A,7,11.1,A,7,78,A,7,1028,A,7,240,A,7,4.6,A,7,11300,B,7,7620,A,7,2.2,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,286.7268461
1/1/1988,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,9,A,7,16.1,A,7,11.1,A,7,72,A,7,1028,A,7,230,A,7,4.1,A,7,11300,B,7,460,A,7,2.1,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,286.9590798
1/1/1988,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,15.6,A,7,11.7,A,7,78,A,7,1028,A,7,260,A,7,5.7,A,7,11300,B,7,460,A,7,2.2,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,287.1089747
1/1/1988,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,3,A,7,14.4,A,7,11.7,A,7,84,A,7,1028,A,7,270,A,7,4.1,A,7,11300,B,7,77777,A,7,2.2,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,286.6973416
1/1/1988,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,A,7,3,A,7,13.3,A,7,12.2,A,7,93,A,7,1028,A,7,240,A,7,3.1,A,7,11300,B,7,77777,A,7,2.3,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,285.7588025
1/1/1988,8:00,76,1120,28,1,13,45,1,9,24,1,13,30,1,13,21,1,9,28,1,13,50,1,21,10,A,7,9,A,7,15,A,7,12.8,A,7,87,A,7,1028,A,7,270,A,7,4.6,A,7,11300,B,7,1220,A,7,2.4,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,285.793366
1/1/1988,9:00,307,1415,90,1,13,66,1,9,76,1,13,99,1,13,54,1,9,87,1,13,165,1,21,10,A,7,8,A,7,15,A,7,12.8,A,7,87,A,7,1028,A,7,230,A,7,5.2,A,7,11300,B,7,3050,A,7,2.4,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,285.9596959
1/1/1988,10:00,507,1415,147,1,9,61,1,9,125,1,13,161,1,9,57,1,9,141,1,13,351,1,18,10,A,7,9,A,7,16.7,A,7,13.9,A,7,84,A,7,1028,A,7,230,A,7,5.2,A,7,11300,B,7,910,A,7,2.5,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,286.5080818
