723083,FRANKLIN NAAS,VA,-5,36.7,-76.9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1997,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,6.8,B,8,3.5,B,8,79,A,7,1012,E,9,60,B,8,3.8,B,8,16100,C,8,852,B,8,1.7,E,8,0.065,F,8,0.15,F,8,0,1,D,9,0,C,8,279.8
1/1/1997,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,6,B,8,2.5,B,8,78,A,7,1012,E,9,60,B,8,3.5,B,8,16100,C,8,804,B,8,1.7,E,8,0.065,F,8,0.15,F,8,0,1,D,9,0,C,8,278.6170161
1/1/1997,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,5,B,8,1.3,B,8,77,A,7,1012,E,9,50,B,8,3.2,B,8,16100,C,8,756,B,8,1.7,E,8,0.065,F,8,0.15,F,8,0,1,D,9,0,C,8,277.8866767
1/1/1997,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,3.8,B,8,0,B,8,76,A,7,1012,E,9,50,B,8,2.9,B,8,16100,C,8,708,B,8,1.7,E,8,0.065,F,8,0.15,F,8,0,1,D,9,0,C,8,276.7139938
1/1/1997,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3,A,7,-1,A,7,74,A,7,1012,E,9,40,A,7,2.6,A,7,16100,B,7,660,A,7,1.7,E,8,0.065,F,8,0.15,F,8,0,1,D,9,0,C,8,275.6411741
1/1/1997,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3,A,7,-1,A,7,74,A,7,1012,E,9,50,A,7,4.1,A,7,16100,B,7,660,A,7,1.6,E,8,0.065,F,8,0.15,F,8,0,1,D,9,0,C,8,275.1482438
1/1/1997,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,1.8,B,8,-1.1,B,8,80,A,7,1012,E,9,60,B,8,4,B,8,16100,C,8,683,B,8,1.6,E,8,0.065,F,8,0.15,F,8,0,1,D,9,0,C,8,274.2863829
1/1/1997,8:00,47,908,7,1,25,0,1,28,7,1,25,8,1,25,0,1,28,8,1,25,27,1,45,10,B,8,10,B,8,1.5,B,8,-0.4,B,8,87,A,7,1012,E,9,70,B,8,3.9,B,8,16100,C,8,705,B,8,1.6,E,8,0.065,F,8,0.15,F,8,0,1,D,9,0,C,8,273.7656316
1/1/1997,9:00,265,1415,53,1,25,0,1,28,53,1,25,60,1,25,0,1,28,60,1,25,192,1,45,10,B,8,10,B,8,2.7,B,8,0.7,B,8,87,A,7,1012,E,9,70,B,8,3.7,B,8,16100,C,8,728,B,8,1.6,E,8,0.065,F,8,0.15,F,8,0,1,D,9,0,C,8,273.651597
1/1/1997,10:00,465,1415,100,1,24,0,1,27,100,1,24,114,1,24,0,1,27,114,1,24,389,1,43,10,E,9,10,A,7,3,A,7,1,A,7,87,A,7,1012,E,9,80,A,7,3.6,A,7,16100,B,7,750,A,7,1.6,E,8,0.065,F,8,0.15,F,8,0,1,D,9,0,C,8,273.6752946
