723085,NORFOLK NAS,VA,-5,36.95,-76.283,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,10,A,7,6,A,7,76,A,7,1027,A,7,210,A,7,3.6,A,7,11300,B,7,77777,A,7,2.3,E,8,0.065,F,8,0.15,F,8,0,1,D,9,0,C,8,283
1/1/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,11,A,7,6,A,7,71,A,7,1027,A,7,210,A,7,3.6,A,7,11300,B,7,77777,A,7,2.3,E,8,0.065,F,8,0.15,F,8,0,1,D,9,0,C,8,282.5145928
1/1/2005,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,11,A,7,6,A,7,71,A,7,1027,A,7,220,A,7,3.1,A,7,11300,B,7,77777,A,7,2.2,E,8,0.065,F,8,0.15,F,8,0,1,D,9,0,C,8,282.5227455
1/1/2005,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,11,A,7,6,A,7,71,A,7,1027,A,7,230,A,7,3.6,A,7,11300,B,7,77777,A,7,2.2,E,8,0.065,F,8,0.15,F,8,0,1,D,9,0,C,8,282.5265657
1/1/2005,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,9,A,7,6,A,7,81,A,7,1027,A,7,230,A,7,2.6,A,7,11300,B,7,77777,A,7,2.1,E,8,0.065,F,8,0.15,F,8,0,1,D,9,0,C,8,281.770202
1/1/2005,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,9,A,7,6,A,7,81,A,7,1027,A,7,230,A,7,2.6,A,7,11300,B,7,77777,A,7,2.1,E,8,0.065,F,8,0.15,F,8,0,1,D,9,0,C,8,281.160272
1/1/2005,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,8,A,7,6,A,7,87,A,7,1028,A,7,220,A,7,2.1,A,7,11300,B,7,77777,A,7,2,E,8,0.065,F,8,0.15,F,8,0,1,D,9,0,C,8,280.6161477
1/1/2005,8:00,52,955,6,2,9,122,2,21,3,2,9,11,2,9,71,2,21,7,2,9,11,2,25,9,E,9,9,E,9,10,A,7,6,A,7,76,A,7,1028,A,7,220,A,7,2.6,A,7,11300,B,7,3300,A,7,2,E,8,0.065,F,8,0.15,F,8,0,1,D,9,0,C,8,280.8925412
1/1/2005,9:00,270,1415,147,2,9,418,2,21,67,2,9,152,2,9,307,2,21,93,2,9,123,2,25,9,E,9,9,E,9,11,A,7,7,A,7,76,A,7,1029,A,7,230,A,7,2.6,A,7,11300,B,7,3300,A,7,2,E,8,0.065,F,8,0.15,F,8,0,1,D,9,0,C,8,281.9632461
1/1/2005,10:00,468,1415,291,2,9,507,2,21,122,2,9,301,2,9,462,2,21,147,2,9,234,2,25,9,A,7,4,E,9,12,A,7,7,A,7,71,A,7,1030,A,7,250,A,7,2.6,A,7,11300,B,7,3300,A,7,2,E,8,0.065,F,8,0.15,F,8,0,1,D,9,0,C,8,283.8392958
