723119,GREENVILLE DOWNTOWN AP,SC,-5,34.85,-82.35,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1994,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,B,8,1,B,8,-2.4,B,8,-8,B,8,62,A,7,983,E,9,340,B,8,0.7,B,8,11300,C,8,17167,B,8,0.9,E,8,0.074,F,8,0.17,F,8,0,1,D,9,0,C,8,270.6
1/1/1994,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,4,B,8,2,B,8,-2.7,B,8,-7.8,B,8,65,A,7,983,E,9,330,B,8,0.9,B,8,11300,C,8,15556,B,8,0.9,E,8,0.074,F,8,0.17,F,8,0,1,D,9,0,C,8,269.7282923
1/1/1994,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,B,8,2,B,8,-3,B,8,-7.5,B,8,68,A,7,983,E,9,330,B,8,1.1,B,8,11300,C,8,13944,B,8,0.9,E,8,0.074,F,8,0.17,F,8,0,1,D,9,0,C,8,269.2987175
1/1/1994,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,B,8,3,B,8,-3.3,B,8,-7.5,B,8,70,A,7,983,E,9,320,B,8,1.3,B,8,11300,C,8,12333,B,8,0.9,E,8,0.074,F,8,0.17,F,8,0,1,D,9,0,C,8,268.932957
1/1/1994,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,B,8,3,B,8,-3.9,B,8,-7.8,B,8,71,A,7,983,E,9,310,B,8,1.6,B,8,11300,C,8,10722,B,8,0.9,E,8,0.074,F,8,0.17,F,8,0,1,D,9,0,C,8,268.5155398
1/1/1994,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,B,8,4,B,8,-3.9,B,8,-7.3,B,8,75,A,7,984,E,9,310,B,8,1.8,B,8,11300,C,8,9111,B,8,0.9,E,8,0.074,F,8,0.17,F,8,0,1,D,9,0,C,8,268.1891599
1/1/1994,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,4,E,9,-3.4,A,7,-6.2,A,7,79,A,7,984,E,9,300,A,7,2,A,7,11300,B,7,7500,A,7,0.9,E,8,0.074,F,8,0.17,F,8,0,1,D,9,0,C,8,268.1805998
1/1/1994,8:00,15,507,2,1,11,0,1,16,2,1,11,0,1,11,0,1,16,0,1,11,0,1,22,10,A,7,9,E,9,-2.3,A,7,-6.7,A,7,69,A,7,985,E,9,300,A,7,3,A,7,11300,B,7,7500,A,7,0.9,E,8,0.074,F,8,0.17,F,8,0,1,D,9,0,C,8,268.6293673
1/1/1994,9:00,208,1415,47,1,11,10,1,16,46,1,11,53,1,11,1,1,16,53,1,11,158,1,22,10,A,7,9,E,9,-0.6,A,7,-5,A,7,69,A,7,986,E,9,0,A,7,0,A,7,48300,B,7,7500,A,7,0.9,E,8,0.074,F,8,0.17,F,8,0,1,D,9,0,C,8,269.492489
1/1/1994,10:00,429,1415,107,1,11,27,1,16,98,1,11,117,1,11,24,1,16,109,1,11,269,1,22,10,A,7,9,E,9,1.1,A,7,-5.6,A,7,58,A,7,986,E,9,0,A,7,0,A,7,48300,B,7,900,A,7,0.9,E,8,0.074,F,8,0.17,F,8,0,1,D,9,0,C,8,270.6239937
