723125,ANDERSON COUNTY AP,SC,-5,34.5,-82.717,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1994,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,-4.5,A,7,-7.8,A,7,75,A,7,993,E,9,290,A,7,2,A,7,11300,B,7,77777,A,7,0.7,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,268.5
1/1/1994,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,1,E,9,-5,A,7,-7.3,A,7,82,A,7,993,E,9,50,A,7,2.5,A,7,11300,B,7,77777,A,7,0.7,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,267.7110608
1/1/1994,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,1,E,9,-4.5,A,7,-7.3,A,7,79,A,7,993,E,9,90,A,7,1.5,A,7,11300,B,7,77777,A,7,0.7,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,267.4005745
1/1/1994,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,1,E,9,-4.5,A,7,-7.8,A,7,75,A,7,994,E,9,50,A,7,1.5,A,7,11300,B,7,77777,A,7,0.7,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,267.3341826
1/1/1994,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,1,E,9,-5,A,7,-7.3,A,7,82,A,7,993,E,9,0,A,7,0,A,7,11300,B,7,77777,A,7,0.7,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,267.1474556
1/1/1994,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,5,E,9,-4.5,A,7,-6.7,A,7,83,A,7,994,E,9,40,A,7,2,A,7,11300,B,7,77777,A,7,0.8,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,267.1174318
1/1/1994,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,5,E,9,-4.5,A,7,-6.7,A,7,83,A,7,994,E,9,40,A,7,2,A,7,11300,B,7,77777,A,7,0.8,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,267.1963437
1/1/1994,8:00,14,483,2,1,11,1,1,16,2,1,11,0,1,11,0,1,16,0,1,11,0,1,22,9,A,7,5,E,9,-4.5,A,7,-6.2,A,7,86,A,7,995,E,9,40,A,7,2,A,7,11300,B,7,77777,A,7,0.8,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,267.2288547
1/1/1994,9:00,207,1415,54,1,11,35,1,16,49,1,11,59,1,11,26,1,16,56,1,11,121,1,22,9,A,7,5,E,9,-1.2,A,7,-4.5,A,7,76,A,7,996,E,9,50,A,7,2,A,7,11300,B,7,1200,A,7,0.8,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,268.2534571
1/1/1994,10:00,430,1415,69,1,11,0,1,16,69,1,11,81,1,11,0,1,16,81,1,11,282,1,22,10,A,7,10,E,9,0.5,A,7,-3.9,A,7,70,A,7,996,E,9,0,A,7,0,A,7,9700,B,7,870,A,7,0.9,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,269.8042395
1/1/1994,11:00,604,1415,111,1,11,0,1,16,111,1,11,130,1,11,0,1,16,130,1,11,474,1,22,10,A,7,10,E,9,3.3,A,7,-3.4,A,7,59,A,7,997,E,9,10,A,7,2.5,A,7,11300,B,7,810,A,7,0.9,E,8,0.076,F,8,0.17,F,8,0,1,D,9,5,C,8,271.6495284
1/1/1994,12:00,716,1415,139,1,11,0,1,16,139,1,11,163,1,11,0,1,16,163,1,11,612,1,22,10,A,7,10,E,9,4.4,A,7,-3.9,A,7,53,A,7,996,E,9,350,A,7,3,A,7,9700,B,7,810,A,7,0.9,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,273.2229764
1/1/1994,13:00,758,1415,150,1,11,0,1,16,150,1,11,176,1,11,0,1,16,176,1,11,668,1,22,10,A,7,10,E,9,6.1,A,7,-4.5,A,7,45,A,7,995,E,9,340,A,7,2,A,7,16100,B,7,750,A,7,1,E,8,0.076,F,8,0.17,F,8,0,1,D,9,5,C,8,274.6466869
1/1/1994,14:00,727,1415,142,1,11,0,1,16,142,1,11,167,1,11,0,1,16,167,1,11,627,1,22,10,A,7,10,E,9,7.2,A,7,-5,A,7,40,A,7,995,E,9,300,A,7,2.5,A,7,16100,B,7,750,A,7,1,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,276.0023996
1/1/1994,15:00,625,1415,145,1,11,0,1,16,145,1,11,167,1,11,0,1,16,167,1,11,592,1,22,10,A,7,10,E,9,7.7,A,7,-5.6,A,7,36,A,7,995,E,9,360,A,7,2.5,A,7,11300,B,7,3900,A,7,1,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,276.9747844
1/1/1994,16:00,460,1415,95,1,11,0,1,16,95,1,11,109,1,11,0,1,16,109,1,11,373,1,22,10,A,7,10,E,9,8.3,A,7,-6.2,A,7,33,A,7,995,E,9,360,A,7,2.5,A,7,11300,B,7,3300,A,7,1.1,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,277.8690005
1/1/1994,17:00,243,1415,38,1,11,0,1,17,38,1,11,44,1,11,0,1,17,44,1,11,144,1,23,10,B,8,10,B,8,8,B,8,-5,B,8,37,A,7,996,E,9,280,B,8,2.5,B,8,11300,C,8,1995,B,8,1.1,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,278.5513992
1/1/1994,18:00,30,696,4,1,11,0,1,16,4,1,11,5,1,11,0,1,16,5,1,11,16,1,22,10,A,7,10,E,9,6.6,A,7,-3.9,A,7,45,A,7,996,E,9,200,A,7,2.5,A,7,11300,B,7,690,A,7,1.2,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,278.5471617
1/1/1994,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,6.1,A,7,-3.4,A,7,49,A,7,996,E,9,260,A,7,2.5,A,7,11300,B,7,840,A,7,1.2,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,278.2025336
1/1/1994,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,6.1,A,7,-2.8,A,7,51,A,7,996,E,9,180,A,7,2.5,A,7,11300,B,7,1500,A,7,1.2,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,277.9470203
1/1/1994,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,5.5,A,7,-2.8,A,7,54,A,7,996,E,9,190,A,7,2.5,A,7,11300,B,7,1800,A,7,1.3,E,8,0.076,F,8,0.17,F,8,0,1,D,9,51,C,8,277.6352831
1/1/1994,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,3.8,A,7,-0.6,A,7,73,A,7,997,E,9,130,A,7,2.5,A,7,11300,B,7,900,A,7,1.3,E,8,0.076,F,8,0.17,F,8,0,1,D,9,51,C,8,276.7237168
1/1/1994,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,3.3,A,7,-1.2,A,7,71,A,7,996,E,9,190,A,7,2.5,A,7,11300,B,7,840,A,7,1.3,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,275.8535365
