723240,CHATTANOOGA LOVELL FIELD AP,TN,-5,35.033,-85.2,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2000,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,7.8,A,7,7.8,A,7,100,A,7,995,A,7,0,A,7,0,A,7,16000,B,7,2134,A,7,1.4,E,8,0,F,8,0,F,8,0,1,D,9,41,C,8,280.8
1/1/2000,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,7.8,A,7,7.8,A,7,100,A,7,995,A,7,0,A,7,0,A,7,16000,B,7,1463,A,7,1.4,E,8,0,F,8,0,F,8,0,1,D,9,41,C,8,280.098382
1/1/2000,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,8.9,A,7,8.9,A,7,100,A,7,996,A,7,0,A,7,0,A,7,16000,B,7,1402,A,7,1.4,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,280.0836799
1/1/2000,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,8.3,A,7,8.3,A,7,100,A,7,995,A,7,0,A,7,0,A,7,16000,B,7,3048,A,7,1.4,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,280.0892072
1/1/2000,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,6.7,A,7,6.7,A,7,100,A,7,995,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,1.4,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,279.5090869
1/1/2000,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,6.1,A,7,6.1,A,7,100,A,7,996,A,7,0,A,7,0,A,7,12800,B,7,518,A,7,1.4,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,278.7494296
1/1/2000,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,7.8,A,7,7.8,A,7,100,A,7,997,A,7,0,A,7,0,A,7,12800,B,7,396,A,7,1.4,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,278.7654468
1/1/2000,8:00,3,224,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,8.9,A,7,8.9,A,7,100,A,7,997,A,7,0,A,7,0,A,7,11200,B,7,244,A,7,1.4,E,8,0,F,8,0,F,8,0,1,D,9,10,C,8,279.4801912
1/1/2000,9:00,160,1415,14,2,9,0,2,21,14,2,9,17,2,9,0,2,21,17,2,9,56,2,25,10,E,9,10,E,9,9.4,A,7,9.4,A,7,100,A,7,998,A,7,0,A,7,0,A,7,4800,B,7,122,A,7,1.4,E,8,0,F,8,0,F,8,0,1,D,9,10,C,8,280.1409955
1/1/2000,10:00,388,1415,45,2,9,0,2,21,45,2,9,54,2,9,0,2,21,54,2,9,190,2,25,10,E,9,10,E,9,10,A,7,10,A,7,100,A,7,998,A,7,0,A,7,0,A,7,2000,B,7,183,A,7,1.4,E,8,0,F,8,0,F,8,0,1,D,9,10,C,8,280.6055516
1/1/2000,11:00,569,1415,66,2,9,0,2,21,66,2,9,80,2,9,0,2,21,80,2,9,299,2,25,10,E,9,10,E,9,11.1,A,7,11.1,A,7,100,A,7,998,A,7,0,A,7,0,A,7,1600,B,7,122,A,7,1.4,E,8,0,F,8,0,F,8,0,1,D,9,10,C,8,281.1871933
1/1/2000,12:00,691,1415,82,2,9,0,2,21,82,2,9,100,2,9,0,2,21,100,2,9,387,2,25,10,E,9,10,A,7,11.7,A,7,11.7,A,7,100,A,7,998,A,7,0,A,7,0,A,7,1200,B,7,30,A,7,1.3,E,8,0,F,8,0,F,8,3,1,D,9,10,C,8,281.7796967
1/1/2000,13:00,744,1415,134,2,9,0,2,21,134,2,9,158,2,9,0,2,21,158,2,9,605,2,25,10,E,9,10,E,9,12.8,A,7,12.8,A,7,100,A,7,997,A,7,0,A,7,0,A,7,2400,B,7,91,A,7,1.3,E,8,0,F,8,0,F,8,0,1,D,9,10,C,8,282.3446521
1/1/2000,14:00,725,1415,141,2,9,0,2,21,141,2,9,165,2,9,0,2,21,165,2,9,623,2,25,10,E,9,10,E,9,13.3,A,7,13.3,A,7,100,A,7,997,A,7,0,A,7,0,A,7,2800,B,7,91,A,7,1.4,E,8,0,F,8,0,F,8,0,1,D,9,10,C,8,282.8679016
1/1/2000,15:00,635,1415,79,2,9,0,2,21,79,2,9,95,2,9,0,2,21,95,2,9,364,2,25,10,E,9,10,E,9,14.4,A,7,13.9,A,7,97,A,7,996,A,7,0,A,7,0,A,7,3200,B,7,914,A,7,1.5,E,8,0,F,8,0,F,8,0,1,D,9,10,C,8,283.8009845
1/1/2000,16:00,481,1415,122,2,9,6,2,21,120,2,9,138,2,9,4,2,21,137,2,9,451,2,25,5,E,9,5,E,9,15.6,A,7,14.4,A,7,93,A,7,996,A,7,320,A,7,2.1,A,7,4000,B,7,77777,A,7,1.5,E,8,0,F,8,0,F,8,0,1,D,9,10,C,8,284.8817958
1/1/2000,17:00,273,1415,122,2,9,223,2,21,79,2,9,128,2,9,164,2,21,96,2,9,154,2,25,8,E,9,8,E,9,15.6,A,7,14.4,A,7,93,A,7,996,A,7,0,A,7,0,A,7,4800,B,7,914,A,7,1.6,E,8,0,F,8,0,F,8,0,1,D,9,10,C,8,287.1747969
1/1/2000,18:00,49,908,8,2,9,114,2,21,5,2,9,13,2,9,62,2,21,10,2,9,13,2,25,8,E,9,8,E,9,13.3,A,7,13.3,A,7,100,A,7,996,A,7,0,A,7,0,A,7,9600,B,7,1981,A,7,1.7,E,8,0,F,8,0,F,8,0,1,D,9,10,C,8,287.9295687
1/1/2000,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,8,A,7,12.2,A,7,12.2,A,7,100,A,7,996,A,7,0,A,7,0,A,7,8000,B,7,1829,A,7,1.7,E,8,0,F,8,0,F,8,0,1,D,9,10,C,8,286.4699189
