723270,NASHVILLE INTERNATIONAL AP,TN,-6,36.117,-86.683,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1987,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-1.1,A,7,-2.8,A,7,89,A,7,995,A,7,0,A,7,0,A,7,16100,B,7,7620,A,7,0.7,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,271.9
1/1/1987,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-0.6,A,7,-1.7,A,7,92,A,7,995,A,7,0,A,7,0,A,7,16100,B,7,7620,A,7,0.7,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,271.406885
1/1/1987,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-1.1,A,7,-2.2,A,7,92,A,7,995,A,7,0,A,7,0,A,7,16100,B,7,7620,A,7,0.7,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,271.1036318
1/1/1987,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,A,7,3,A,7,-1.7,A,7,-2.2,A,7,96,A,7,994,A,7,0,A,7,0,A,7,6400,B,7,77777,A,7,0.7,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,270.6814269
1/1/1987,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,A,7,3,A,7,-1.7,A,7,-2.8,A,7,92,A,7,994,A,7,0,A,7,0,A,7,6400,B,7,77777,A,7,0.7,E,8,0,F,8,0,?,0,0,1,D,9,45,C,8,270.3535753
1/1/1987,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,A,7,3,A,7,-2.8,A,7,-3.9,A,7,92,A,7,994,A,7,280,A,7,1.5,A,7,6400,B,7,77777,A,7,0.7,E,8,0,F,8,0,?,0,0,1,D,9,45,C,8,269.8879302
1/1/1987,7:00,0,12,0,1,0,0,1,0,0,1,0,0,1,1,0,1,2,0,1,2,0,1,1,5,A,7,5,A,7,-3.3,A,7,-4.4,A,7,92,A,7,995,A,7,180,A,7,1,A,7,4000,B,7,77777,A,7,0.7,E,8,0,F,8,0,?,0,0,1,D,9,10,C,8,269.2902554
1/1/1987,8:00,122,1415,54,1,13,331,1,9,23,1,13,53,1,13,173,1,9,38,1,13,41,1,21,2,A,7,0,A,7,-3.3,A,7,-4.4,A,7,92,A,7,995,A,7,0,A,7,0,A,7,4800,B,7,77777,A,7,0.7,E,8,0,F,8,0,?,0,0,1,D,9,45,C,8,269.7039499
1/1/1987,9:00,349,1415,212,1,13,698,1,9,39,1,13,224,1,13,600,1,9,75,1,13,86,1,21,0,A,7,0,A,7,0,A,7,-1.7,A,7,89,A,7,995,A,7,150,A,7,1.5,A,7,4800,B,7,77777,A,7,0.7,E,8,0,F,8,0,?,0,0,1,D,9,45,C,8,271.8294544
1/1/1987,10:00,534,1415,368,1,9,834,1,9,51,1,13,386,1,9,783,1,9,90,1,13,118,1,18,0,A,7,0,A,7,3.3,A,7,0,A,7,79,A,7,995,A,7,200,A,7,1.5,A,7,6400,B,7,77777,A,7,0.7,E,8,0,F,8,0,?,0,0,1,D,9,45,C,8,275.3730948
1/1/1987,11:00,660,1415,123,1,9,0,1,9,122,1,13,143,1,9,0,1,9,143,1,13,532,1,18,10,A,7,10,A,7,5,A,7,-1.1,A,7,65,A,7,994,A,7,280,A,7,3.1,A,7,8000,B,7,1070,A,7,0.7,E,8,0,F,8,0,?,0,0,1,D,9,4,C,8,276.7057485
1/1/1987,12:00,720,1415,221,1,9,4,1,9,218,1,13,249,1,9,3,1,9,247,1,13,850,1,18,10,A,7,10,A,7,5,A,7,-1.7,A,7,62,A,7,994,A,7,300,A,7,4.1,A,7,11300,B,7,1070,A,7,0.8,E,8,0,F,8,0,?,0,0,1,D,9,4,C,8,275.684488
