723347,DYERSBURG MUNICIPAL AP,TN,-6,36.017,-89.4,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1997,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,11.3,E,9,11.3,E,9,100,A,7,1001,E,9,0,E,9,0,E,9,11300,C,8,1951,E,9,1.9,E,8,0.072,F,8,0.17,F,8,0,1,D,9,0,C,8,284.3
1/1/1997,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,9,E,9,11.8,E,9,11.8,E,9,100,A,7,1001,E,9,0,E,9,0,E,9,11300,C,8,2296,E,9,1.9,E,8,0.072,F,8,0.17,F,8,0,1,D,9,0,C,8,283.7075669
1/1/1997,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,12.3,E,9,12.3,E,9,100,A,7,1001,E,9,180,E,9,0.3,E,9,11300,C,8,1442,E,9,1.9,E,8,0.072,F,8,0.17,F,8,0,1,D,9,0,C,8,283.6652407
1/1/1997,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,12.8,E,9,12.8,E,9,100,A,7,1001,E,9,0,E,9,0,E,9,11300,C,8,2388,E,9,1.8,E,8,0.072,F,8,0.17,F,8,0,1,D,9,0,C,8,283.9118165
1/1/1997,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,13.7,E,9,13.7,E,9,100,A,7,1001,E,9,0,E,9,0,E,9,11300,C,8,2433,E,9,1.8,E,8,0.072,F,8,0.17,F,8,0,1,D,9,0,C,8,284.4343069
1/1/1997,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,E,9,5,E,9,14.2,E,9,14.2,E,9,100,A,7,1001,E,9,0,E,9,0,E,9,11300,C,8,21479,E,9,1.8,E,8,0.072,F,8,0.17,F,8,0,1,D,9,0,C,8,285.0200578
1/1/1997,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,9,E,9,10.3,E,9,10.3,E,9,100,A,7,1001,E,9,0,E,9,0,E,9,11300,C,8,2225,E,9,1.8,E,8,0.072,F,8,0.17,F,8,0,1,D,9,0,C,8,284.1775181
1/1/1997,8:00,83,1191,32,1,28,245,1,31,15,1,28,34,1,28,138,1,31,24,1,28,31,1,50,0,E,9,0,E,9,9.1,E,9,9.1,E,9,100,A,7,1001,E,9,240,E,9,0.6,E,9,11300,C,8,21571,E,9,1.8,E,8,0.072,F,8,0.17,F,8,0,1,D,9,0,C,8,283.364287
1/1/1997,9:00,312,1415,176,1,28,626,1,31,38,1,28,183,1,28,516,1,31,69,1,28,78,1,50,0,E,9,0,E,9,9.6,E,9,9.6,E,9,100,A,7,1001,E,9,0,E,9,0,E,9,11300,C,8,21616,E,9,1.8,E,8,0.072,F,8,0.17,F,8,0,1,D,9,0,C,8,283.7694465
1/1/1997,10:00,506,1415,330,1,28,778,1,31,51,1,28,348,1,28,724,1,31,88,1,28,115,1,50,0,E,9,0,E,9,10.1,E,9,10.1,E,9,100,A,7,1001,E,9,210,E,9,0.3,E,9,11300,C,8,21662,E,9,1.8,E,8,0.072,F,8,0.17,F,8,0,1,D,9,0,C,8,284.8803364
