723403,LITTLE ROCK ADAMS FIELD,AR,-6,34.75,-92.233,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1982,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,5,A,7,-0.6,A,7,68,A,7,1009,A,7,340,A,7,4.6,A,7,8000,B,7,1370,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,278
1/1/1982,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,4.4,A,7,-1.7,A,7,65,A,7,1009,A,7,350,A,7,3.6,A,7,8000,B,7,2440,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,277.0702156
1/1/1982,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,2.2,A,7,-2.8,A,7,70,A,7,1010,A,7,350,A,7,4.6,A,7,11300,B,7,77777,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,275.4406605
1/1/1982,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,1.7,A,7,-3.9,A,7,67,A,7,1010,A,7,10,A,7,4.1,A,7,11300,B,7,77777,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,273.9835941
1/1/1982,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,0,A,7,-3.9,A,7,75,A,7,1010,A,7,360,A,7,5.2,A,7,11300,B,7,77777,A,7,0.7,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,273.2464941
1/1/1982,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-0.6,A,7,-4.4,A,7,75,A,7,1011,A,7,10,A,7,4.1,A,7,8000,B,7,77777,A,7,0.7,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,272.0060255
1/1/1982,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-1.1,A,7,-5,A,7,75,A,7,1011,A,7,360,A,7,3.6,A,7,11300,B,7,77777,A,7,0.7,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,271.5790614
1/1/1982,8:00,60,1002,37,1,13,234,1,9,15,1,13,31,1,13,109,1,9,24,1,13,28,1,21,0,A,7,0,A,7,-1.1,A,7,-5.6,A,7,72,A,7,1012,A,7,30,A,7,3.1,A,7,11300,B,7,77777,A,7,0.8,E,8,0,F,8,0,?,0,0,1,D,9,45,C,8,271.8054377
1/1/1982,9:00,289,1415,160,1,13,560,1,9,45,1,13,166,1,13,436,1,9,76,1,13,84,1,21,3,A,7,1,A,7,0.6,A,7,-5.6,A,7,64,A,7,1013,A,7,20,A,7,5.2,A,7,11300,B,7,77777,A,7,0.8,E,8,0,F,8,0,?,0,0,1,D,9,5,C,8,273.1178231
1/1/1982,10:00,496,1415,275,1,13,556,1,13,78,1,13,286,1,13,514,1,13,105,1,13,151,1,23,4,A,7,3,A,7,2.2,A,7,-5.6,A,7,57,A,7,1013,A,7,70,A,7,4.1,A,7,11300,B,7,77777,A,7,0.8,E,8,0,F,8,0,?,0,0,1,D,9,5,C,8,274.658918
1/1/1982,11:00,648,1415,375,1,13,583,1,13,107,1,13,392,1,13,567,1,13,132,1,13,220,1,23,6,A,7,4,A,7,3.9,A,7,-5,A,7,53,A,7,1013,A,7,70,A,7,5.2,A,7,11300,B,7,3050,A,7,0.9,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,277.6134764
1/1/1982,12:00,734,1415,446,1,13,621,1,13,122,1,13,468,1,13,615,1,13,147,1,13,264,1,23,7,A,7,4,A,7,4.4,A,7,-4.4,A,7,53,A,7,1013,A,7,60,A,7,2.6,A,7,9700,B,7,7620,A,7,0.9,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,279.7207539
1/1/1982,13:00,750,1415,375,1,13,422,1,13,151,1,13,405,1,13,427,1,13,177,1,13,323,1,23,7,A,7,4,A,7,5,A,7,-4.4,A,7,51,A,7,1012,A,7,60,A,7,3.1,A,7,11300,B,7,7620,A,7,0.9,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,280.6314156
1/1/1982,14:00,693,1415,453,1,9,707,1,9,107,1,13,479,1,9,697,1,9,136,1,13,228,1,18,5,A,7,2,A,7,6.1,A,7,-3.9,A,7,49,A,7,1012,A,7,80,A,7,5.7,A,7,11300,B,7,77777,A,7,1,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,283.1126534
1/1/1982,15:00,567,1415,303,1,13,492,1,13,106,1,13,327,1,13,474,1,13,137,1,13,203,1,23,8,A,7,5,A,7,6.1,A,7,-3.3,A,7,51,A,7,1010,A,7,110,A,7,4.6,A,7,11300,B,7,9140,A,7,1,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,284.3189851
