723416,STUTTGART (AWOS),AR,-6,34.6,-91.567,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1991,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,E,9,-6,E,9,-16.6,E,9,39,A,7,1005,E,9,170,E,9,2.1,E,9,16100,C,8,77777,E,9,1.6,E,8,0.073,F,8,0.17,F,8,0,1,D,9,0,C,8,267
1/1/1991,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,1,E,9,-6.2,E,9,-14.2,E,9,49,A,7,1005,E,9,150,E,9,2,E,9,16100,C,8,20267,E,9,1.6,E,8,0.073,F,8,0.17,F,8,0,1,D,9,0,C,8,266.3146594
1/1/1991,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,E,9,2,E,9,-4.3,E,9,-12.8,E,9,47,A,7,1005,E,9,130,E,9,2,E,9,16100,C,8,18473,E,9,1.6,E,8,0.073,F,8,0.17,F,8,0,1,D,9,0,C,8,266.5628794
1/1/1991,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,E,9,3,E,9,-2.5,E,9,-9.5,E,9,55,A,7,1005,E,9,110,E,9,2,E,9,16100,C,8,16680,E,9,1.6,E,8,0.073,F,8,0.17,F,8,0,1,D,9,0,C,8,267.6677895
1/1/1991,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,E,9,3,E,9,-1.7,E,9,-8.1,E,9,58,A,7,1005,E,9,100,E,9,2,E,9,16100,C,8,14887,E,9,1.6,E,8,0.073,F,8,0.17,F,8,0,1,D,9,0,C,8,268.7959912
1/1/1991,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,4,E,9,4,E,9,0.2,E,9,-5.7,E,9,61,A,7,1005,E,9,80,E,9,1.9,E,9,16100,C,8,13093,E,9,1.6,E,8,0.073,F,8,0.17,F,8,0,1,D,9,0,C,8,270.1300413
1/1/1991,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,E,9,5,E,9,2,E,9,-4.3,E,9,60,A,7,1005,E,9,70,E,9,1.9,E,9,16100,C,8,11300,E,9,1.6,E,8,0.073,F,8,0.17,F,8,0,1,D,9,0,C,8,271.7428551
1/1/1991,8:00,69,1073,25,1,17,56,1,21,21,1,17,27,1,17,20,1,21,25,1,17,37,1,32,6,E,9,6,E,9,3.8,E,9,-0.9,E,9,71,A,7,1005,E,9,50,E,9,3.1,E,9,16100,C,8,9507,E,9,1.6,E,8,0.073,F,8,0.17,F,8,0,1,D,9,0,C,8,273.5391544
1/1/1991,9:00,302,1415,146,1,17,202,1,21,102,1,17,150,1,17,156,1,21,117,1,17,208,1,32,7,E,9,7,E,9,6.7,E,9,1.5,E,9,69,A,7,1005,E,9,80,E,9,5.3,E,9,16100,C,8,7713,E,9,1.6,E,8,0.073,F,8,0.17,F,8,0,1,D,9,0,C,8,275.7535679
1/1/1991,10:00,507,1415,212,1,17,199,1,21,141,1,17,226,1,17,191,1,21,157,1,17,290,1,32,8,E,9,8,E,9,7.5,E,9,3.8,E,9,77,A,7,1005,E,9,100,E,9,4.3,E,9,16100,C,8,5920,E,9,1.6,E,8,0.073,F,8,0.17,F,8,0,1,D,9,0,C,8,277.4149004
