723445,FAYETTEVILLE DRAKE FIELD,AR,-6,36,-94.167,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2004,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,10,A,7,6,A,7,76,A,7,976,A,7,180,A,7,2.6,A,7,16100,B,7,1110,A,7,1.7,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,283
1/1/2004,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,11,A,7,6,A,7,71,A,7,976,A,7,190,A,7,4.1,A,7,16100,B,7,1290,A,7,1.8,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,282.5145928
1/1/2004,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,11,A,7,6,A,7,71,A,7,976,A,7,200,A,7,5.1,A,7,16100,B,7,1470,A,7,1.9,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,282.5227455
1/1/2004,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,11,A,7,6,A,7,71,A,7,976,A,7,200,A,7,4.6,A,7,16100,B,7,660,A,7,2,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,282.5265657
1/1/2004,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,11,A,7,7,A,7,76,A,7,976,A,7,200,A,7,3.6,A,7,16100,B,7,600,A,7,2.1,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,282.5283487
1/1/2004,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,12,A,7,8,A,7,76,A,7,976,A,7,200,A,7,4.1,A,7,16100,B,7,540,A,7,2.1,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,282.8690803
1/1/2004,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,12,A,7,9,A,7,82,A,7,976,A,7,200,A,7,7.2,A,7,16100,B,7,1500,A,7,2.2,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,283.2191946
1/1/2004,8:00,32,743,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,8,E,9,8,E,9,12,A,7,9,A,7,82,A,7,976,A,7,200,A,7,5.7,A,7,16100,B,7,77777,A,7,2.3,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,283.3777133
1/1/2004,9:00,241,1415,65,2,9,0,2,21,65,2,9,72,2,9,0,2,21,72,2,9,213,2,25,10,E,9,9,E,9,13,A,7,11,A,7,88,A,7,977,A,7,190,A,7,6.2,A,7,16100,B,7,77777,A,7,2.4,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,283.563884
1/1/2004,10:00,450,1415,155,2,9,57,2,21,137,2,9,170,2,9,53,2,21,153,2,9,357,2,25,10,E,9,10,E,9,14,A,7,12,A,7,88,A,7,977,A,7,190,A,7,8.7,A,7,16100,B,7,1050,A,7,2.5,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,283.9396146
