723546,PONCA CITY MUNICIPAL AP [SGP - ARM],OK,-6,36.61,-97.49,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2002,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6.1,A,7,-10,A,7,71,A,7,989,A,7,0,A,7,0,A,7,16000,B,7,1676,A,7,0.6,E,8,0.075,F,8,0.19,F,8,0,1,D,9,0,C,8,266.9
1/1/2002,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6.7,A,7,-10.6,A,7,71,A,7,989,A,7,0,A,7,0,A,7,16000,B,7,1676,A,7,0.6,E,8,0.075,F,8,0.19,F,8,0,1,D,9,0,C,8,265.9936427
1/1/2002,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-7.8,A,7,-11.1,A,7,75,A,7,990,A,7,0,A,7,0,A,7,16000,B,7,1676,A,7,0.6,E,8,0.075,F,8,0.19,F,8,0,1,D,9,0,C,8,265.1412406
1/1/2002,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-8.3,A,7,-10.6,A,7,82,A,7,990,A,7,0,A,7,0,A,7,16000,B,7,1829,A,7,0.6,E,8,0.075,F,8,0.19,F,8,0,1,D,9,0,C,8,264.4371763
1/1/2002,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-6.1,A,7,-10.6,A,7,67,A,7,990,A,7,40,A,7,3.6,A,7,16000,B,7,1829,A,7,0.6,E,8,0.075,F,8,0.19,F,8,0,1,D,9,0,C,8,264.6846771
1/1/2002,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-8.9,A,7,-12.2,A,7,75,A,7,990,A,7,30,A,7,2.1,A,7,16000,B,7,1676,A,7,0.6,E,8,0.075,F,8,0.19,F,8,0,1,D,9,0,C,8,264.3021821
1/1/2002,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6.7,A,7,-10.6,A,7,71,A,7,991,A,7,60,A,7,2.6,A,7,16000,B,7,1829,A,7,0.6,E,8,0.075,F,8,0.19,F,8,0,1,D,9,0,C,8,264.2977418
1/1/2002,8:00,8,389,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,8,E,9,8,E,9,-8.3,A,7,-12.2,A,7,71,A,7,991,A,7,10,A,7,2.1,A,7,16000,B,7,1829,A,7,0.6,E,8,0.075,F,8,0.19,F,8,0,1,D,9,0,C,8,264.2160848
1/1/2002,9:00,181,1415,116,2,9,475,2,21,55,2,9,114,2,9,285,2,21,78,2,9,86,2,25,10,E,9,10,E,9,-4.4,A,7,-11.1,A,7,56,A,7,993,A,7,60,A,7,3.1,A,7,16000,B,7,1676,A,7,0.6,E,8,0.075,F,8,0.19,F,8,0,1,D,9,0,C,8,266.1718786
1/1/2002,10:00,398,1415,263,2,9,683,2,21,70,2,9,271,2,9,590,2,21,104,2,9,130,2,25,0,E,9,0,E,9,-2.2,A,7,-11.1,A,7,46,A,7,993,A,7,70,A,7,3.1,A,7,16000,B,7,77777,A,7,0.6,E,8,0.075,F,8,0.19,F,8,0,1,D,9,0,C,8,269.1465579
