723550,FORT SILL POST FIELD AF,OK,-6,34.65,-98.4,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1.2,E,9,-3.9,E,9,80,A,7,989,E,9,10,E,9,7.7,E,9,2000,C,8,3000,E,9,2.1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,271.8
1/1/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1.7,E,9,-4.5,E,9,79,A,7,988,E,9,10,E,9,9.7,E,9,2000,C,8,3000,E,9,2.1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,270.3675032
1/1/2005,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.3,E,9,-5.6,E,9,76,A,7,987,E,9,10,E,9,9.7,E,9,2000,C,8,2700,E,9,2.2,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,271.0001069
1/1/2005,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.8,E,9,-6.2,E,9,75,A,7,988,E,9,20,E,9,7.2,E,9,2000,C,8,2400,E,9,2.3,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,272.7231699
1/1/2005,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3.4,E,9,-6.7,E,9,75,A,7,988,E,9,20,E,9,6.6,E,9,2000,C,8,2400,E,9,2.4,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,270.4145951
1/1/2005,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3.9,E,9,-7.3,E,9,75,A,7,987,E,9,30,E,9,7.2,E,9,2000,C,8,2400,E,9,2.5,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,269.2828069
1/1/2005,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-5,E,9,-6.7,E,9,86,A,7,988,E,9,30,E,9,6.6,E,9,2000,C,8,600,E,9,2.5,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,267.4358114
1/1/2005,8:00,10,413,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,10,E,9,10,E,9,-4.5,E,9,-6.7,E,9,83,A,7,988,E,9,360,E,9,7.2,E,9,2000,C,8,600,E,9,2.5,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,267.9836294
1/1/2005,9:00,194,1415,79,2,8,154,2,15,58,2,8,82,2,8,92,2,15,70,2,8,112,2,19,10,E,9,10,E,9,-3.3,E,9,-5,E,9,87,A,7,987,E,9,30,E,9,7.7,E,9,2000,C,8,600,E,9,2.5,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,268.181689
1/1/2005,10:00,419,1415,73,2,8,0,2,15,73,2,8,85,2,8,0,2,15,85,2,8,292,2,19,10,E,9,10,E,9,-2.3,E,9,-4.8,E,9,81,A,7,988,E,9,20,E,9,5.1,E,9,2000,C,8,600,E,9,2.5,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,268.4255824
1/1/2005,11:00,595,1415,223,2,8,86,2,15,187,2,8,245,2,8,84,2,15,209,2,8,522,2,19,10,E,9,10,E,9,-0.2,E,9,-4.5,E,9,70,A,7,988,E,9,30,E,9,6.1,E,9,2000,C,8,600,E,9,2.5,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,269.1771804
1/1/2005,12:00,710,1415,200,2,8,6,2,15,197,2,8,228,2,8,5,2,15,225,2,8,788,2,19,10,E,9,10,E,9,1.1,E,9,-1.8,E,9,80,A,7,987,E,9,10,E,9,6.1,E,9,2000,C,8,600,E,9,2.5,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,270.0912551
1/1/2005,13:00,755,1415,224,2,8,18,2,15,214,2,8,255,2,8,15,2,15,247,2,8,865,2,19,10,E,9,10,E,9,2.1,E,9,-3.5,E,9,64,A,7,986,E,9,20,E,9,7.2,E,9,2000,C,8,600,E,9,2.5,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,270.9519747
1/1/2005,14:00,728,1415,129,2,8,0,2,15,129,2,8,152,2,8,0,2,15,152,2,8,581,2,19,10,E,9,10,E,9,3.1,E,9,-0.7,E,9,76,A,7,985,E,9,30,E,9,4.1,E,9,2000,C,8,330,E,9,2.5,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,272.0954563
1/1/2005,15:00,630,1415,146,2,8,0,2,15,146,2,8,168,2,8,0,2,15,168,2,8,597,2,19,10,E,9,10,E,9,4.6,E,9,-2.4,E,9,59,A,7,984,E,9,70,E,9,3,E,9,2000,C,8,180,E,9,2.4,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,273.3796225
1/1/2005,16:00,468,1415,111,2,8,0,2,15,111,2,8,126,2,8,0,2,15,126,2,8,421,2,19,10,E,9,10,E,9,1.4,E,9,-4.4,E,9,63,A,7,983,E,9,80,E,9,3,E,9,2000,C,8,360,E,9,2.4,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,273.1750189
1/1/2005,17:00,253,1415,88,2,8,129,2,15,64,2,8,92,2,8,91,2,15,76,2,8,121,2,19,10,E,9,10,E,9,-0.4,E,9,-6.1,E,9,62,A,7,983,E,9,70,E,9,1,E,9,2000,C,8,360,E,9,2.4,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,272.8133912
1/1/2005,18:00,35,766,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,10,E,9,10,E,9,-1.6,E,9,-6.1,E,9,68,A,7,983,E,9,90,E,9,2.5,E,9,2000,C,8,360,E,9,2.5,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,271.742468
1/1/2005,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.3,E,9,-6.7,E,9,69,A,7,983,E,9,120,E,9,2.5,E,9,2000,C,8,300,E,9,2.4,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,270.4279731
1/1/2005,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.7,E,9,-7,E,9,69,A,7,983,E,9,110,E,9,2.5,E,9,2000,C,8,180,E,9,2.4,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,269.8334201
1/1/2005,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.8,E,9,-7.3,E,9,68,A,7,982,E,9,120,E,9,1.6,E,9,2000,C,8,180,E,9,2.3,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,269.4116151
1/1/2005,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.8,E,9,-6.2,E,9,75,A,7,982,E,9,120,E,9,3.1,E,9,2000,C,8,180,E,9,2.3,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,269.175948
1/1/2005,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3.4,E,9,-6.2,E,9,79,A,7,982,E,9,130,E,9,2.7,E,9,2000,C,8,150,E,9,2.3,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,268.876553
1/1/2005,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3.4,E,9,-6.7,E,9,75,A,7,981,E,9,110,E,9,3.8,E,9,2000,C,8,90,E,9,2.3,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,268.6138239
1/2/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,-3.4,E,9,-6.2,E,9,79,A,7,980,E,9,120,E,9,4.9,E,9,2000,C,8,60,E,9,2.3,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,268.4817036
1/2/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,-3.4,E,9,-6.2,E,9,79,A,7,980,E,9,110,E,9,4.9,E,9,2000,C,8,60,E,9,2.4,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,268.4165276
1/2/2005,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,-2.8,E,9,-6.2,E,9,75,A,7,979,E,9,110,E,9,6.5,E,9,2000,C,8,150,E,9,2.4,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,268.5785168
1/2/2005,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,-2.8,E,9,-6.2,E,9,75,A,7,978,E,9,100,E,9,5,E,9,2000,C,8,60,E,9,2.4,E,8,0.058,F,8,0.19,F,8,0,1,D,9,10,C,8,268.7697755
1/2/2005,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,-3.4,E,9,-6.2,E,9,79,A,7,978,E,9,90,E,9,5.6,E,9,2000,C,8,60,E,9,2.3,E,8,0.058,F,8,0.19,F,8,0,1,D,9,10,C,8,268.6715816
1/2/2005,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,-5,E,9,-7.3,E,9,82,A,7,978,E,9,70,E,9,3.5,E,9,2000,C,8,60,E,9,2.3,E,8,0.058,F,8,0.19,F,8,0,1,D,9,10,C,8,267.9890488
1/2/2005,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,-4.5,E,9,-6.2,E,9,86,A,7,978,E,9,50,E,9,5.2,E,9,2000,C,8,90,E,9,2.4,E,8,0.058,F,8,0.19,F,8,0,1,D,9,10,C,8,267.5516181
1/2/2005,8:00,10,413,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,10,E,9,9,E,9,-3.9,E,9,-6.7,E,9,79,A,7,978,E,9,30,E,9,5.7,E,9,2000,C,8,60,E,9,2.5,E,8,0.058,F,8,0.19,F,8,0,1,D,9,10,C,8,267.599109
1/2/2005,9:00,193,1415,124,2,8,300,2,15,83,2,8,126,2,8,178,2,15,101,2,8,177,2,19,10,E,9,9,E,9,-2.3,E,9,-4.5,E,9,83,A,7,978,E,9,30,E,9,5.7,E,9,2000,C,8,60,E,9,2.6,E,8,0.058,F,8,0.19,F,8,0,1,D,9,10,C,8,268.691673
1/2/2005,10:00,419,1415,73,2,8,0,2,15,73,2,8,85,2,8,0,2,15,85,2,8,292,2,19,10,E,9,9,E,9,-0.6,E,9,-4.5,E,9,72,A,7,978,E,9,10,E,9,7.2,E,9,2000,C,8,90,E,9,2.7,E,8,0.058,F,8,0.19,F,8,0,1,D,9,10,C,8,269.5331583
1/2/2005,11:00,596,1415,289,2,8,221,2,15,196,2,8,313,2,8,219,2,15,220,2,8,465,2,19,10,E,9,9,E,9,2.7,E,9,-5,E,9,54,A,7,978,E,9,30,E,9,7.2,E,9,2000,C,8,90,E,9,2.8,E,8,0.058,F,8,0.19,F,8,0,1,D,9,10,C,8,271.4450289
