723560,TULSA INTERNATIONAL AIRPORT,OK,-6,36.2,-95.883,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1996,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,6.1,A,7,5,A,7,93,A,7,983,A,7,20,A,7,6.7,A,7,11200,B,7,152,A,7,1.4,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,279.1
1/1/1996,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,6.1,A,7,4.4,A,7,89,A,7,984,A,7,30,A,7,3.6,A,7,16000,B,7,213,A,7,1.4,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,278.6291798
1/1/1996,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,5.6,A,7,4.4,A,7,92,A,7,984,A,7,20,A,7,5.2,A,7,11200,B,7,213,A,7,1.4,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,278.346172
1/1/1996,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,5,A,7,3.3,A,7,89,A,7,984,A,7,20,A,7,7.7,A,7,16000,B,7,213,A,7,1.4,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,276.5348056
1/1/1996,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,4.4,A,7,3.3,A,7,93,A,7,984,A,7,20,A,7,5.7,A,7,11200,B,7,213,A,7,1.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,276.3908965
1/1/1996,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,4.4,A,7,2.2,A,7,86,A,7,985,A,7,10,A,7,5.7,A,7,16000,B,7,274,A,7,1.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,276.2070001
1/1/1996,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,3.9,A,7,1.7,A,7,86,A,7,986,A,7,10,A,7,5.7,A,7,16000,B,7,335,A,7,1.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,275.9606693
1/1/1996,8:00,18,554,2,1,10,0,1,16,2,1,10,0,1,10,0,1,16,0,1,10,0,1,21,10,E,9,10,E,9,3.3,A,7,1.1,A,7,85,A,7,987,A,7,10,A,7,6.7,A,7,16000,B,7,823,A,7,1.4,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,276.4281352
1/1/1996,9:00,212,1415,33,1,10,0,1,16,33,1,10,38,1,10,0,1,16,38,1,10,124,1,21,10,E,9,10,E,9,3.3,A,7,0.6,A,7,82,A,7,987,A,7,10,A,7,6.2,A,7,16000,B,7,823,A,7,1.4,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,275.5034312
1/1/1996,10:00,425,1415,80,1,10,0,1,16,80,1,10,92,1,10,0,1,16,92,1,10,316,1,21,10,E,9,10,E,9,3.3,A,7,0.6,A,7,82,A,7,988,A,7,360,A,7,7.2,A,7,16000,B,7,701,A,7,1.4,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,274.8670801
1/1/1996,11:00,588,1415,120,1,10,0,1,16,120,1,10,139,1,10,0,1,16,139,1,10,498,1,21,10,E,9,10,E,9,3.3,A,7,0,A,7,79,A,7,988,A,7,10,A,7,5.2,A,7,16000,B,7,488,A,7,1.4,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,274.325909
1/1/1996,12:00,690,1415,145,1,10,0,1,16,145,1,10,169,1,10,0,1,16,169,1,10,621,1,21,10,E,9,10,E,9,3.3,A,7,0,A,7,79,A,7,987,A,7,10,A,7,6.7,A,7,16000,B,7,488,A,7,1.3,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,273.9116496
1/1/1996,13:00,722,1415,153,1,11,0,1,16,153,1,11,178,1,11,0,1,16,178,1,11,662,1,22,10,B,8,10,B,8,2.8,A,7,-0.6,A,7,78,A,7,986,A,7,10,A,7,7.2,A,7,16000,B,7,488,A,7,1.3,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,273.4765998
1/1/1996,14:00,683,1415,144,1,10,0,1,16,144,1,10,167,1,10,0,1,16,167,1,10,615,1,21,10,E,9,10,E,9,2.8,A,7,-0.6,A,7,78,A,7,985,A,7,10,A,7,7.7,A,7,16000,B,7,549,A,7,1.3,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,273.1988455
1/1/1996,15:00,575,1415,117,1,10,0,1,16,117,1,10,135,1,10,0,1,16,135,1,10,483,1,21,10,E,9,10,E,9,2.8,A,7,-1.1,A,7,75,A,7,985,A,7,10,A,7,8.2,A,7,16000,B,7,549,A,7,1.3,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,273.1876427
1/1/1996,16:00,406,1415,76,1,10,0,1,16,76,1,10,87,1,10,0,1,16,87,1,10,298,1,21,10,E,9,10,E,9,2.2,A,7,-1.1,A,7,78,A,7,986,A,7,10,A,7,6.7,A,7,16000,B,7,610,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,273.1685326
1/1/1996,17:00,189,1415,29,1,10,0,1,16,29,1,10,34,1,10,0,1,16,34,1,10,108,1,21,10,E,9,10,E,9,2.8,A,7,-1.7,A,7,71,A,7,986,A,7,10,A,7,4.6,A,7,16000,B,7,853,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,273.4934108
1/1/1996,18:00,10,413,1,1,10,0,1,16,1,1,10,0,1,10,0,1,16,0,1,10,0,1,21,10,E,9,10,E,9,2.2,A,7,-2.2,A,7,71,A,7,987,A,7,10,A,7,6.7,A,7,16000,B,7,732,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,273.7467667
1/1/1996,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,1.7,A,7,-2.2,A,7,74,A,7,987,A,7,10,A,7,6.2,A,7,16000,B,7,610,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,273.6490828
1/1/1996,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,1.7,A,7,-2.2,A,7,74,A,7,987,A,7,360,A,7,7.2,A,7,16000,B,7,671,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,273.5090673
1/1/1996,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,1.7,A,7,-2.2,A,7,74,A,7,987,A,7,360,A,7,7.7,A,7,16000,B,7,914,A,7,1.1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,273.4408639
1/1/1996,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,1.7,A,7,-2.2,A,7,74,A,7,987,A,7,360,A,7,6.7,A,7,16000,B,7,701,A,7,1.1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,273.4079538
1/1/1996,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,1.1,A,7,-1.1,A,7,84,A,7,987,A,7,360,A,7,7.2,A,7,6400,B,7,762,A,7,1.1,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,274.6115848
1/1/1996,24:00:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,0.6,A,7,-0.6,A,7,91,A,7,987,A,7,360,A,7,5.7,A,7,3200,B,7,610,A,7,1.1,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,272.5446165
1/2/1996,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,0.6,A,7,0,A,7,96,A,7,987,A,7,350,A,7,5.7,A,7,3200,B,7,640,A,7,1,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,272.4158716
1/2/1996,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,0.6,A,7,0,A,7,96,A,7,987,A,7,360,A,7,5.7,A,7,4800,B,7,518,A,7,1,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,272.3530161
1/2/1996,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,0.6,A,7,0,A,7,96,A,7,987,A,7,350,A,7,6.7,A,7,4800,B,7,579,A,7,1,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,272.3226103
